# n=10 m=19 count=795630 keep=50
8.06276942815447	I?bF`xw{?	0.429567056377,0.508725800627,1.18362867873,1.20139925096,3.84383956776
8.10062088015197	I?bF`xw]?	0.414213562373,0.561552812809,1,1.32163717426,3.85577250664
8.19638354297976	I?BEFo}}?	0.90242001946,1.41739553759,3.92084321817
8.2203693901378	I?opuNo{?	0.462598422975,1.05126975439,1.472833909,3.83822410357
8.28989250958001	I?B@hzw}?	0.501775057677,1.10154836812,1.25494456052,3.90510174564
8.29969474095449	I?B@xzo}?	0.521991713548,0.890863130619,1.49687937686,3.87207107445
8.32336081983424	I??F?~{~?	0.791287847478,1.30277563773,4
8.32336081983425	I?BfFBwFo	0.791287847478,1.30277563773,4
8.34114447257431	I?B@xyw}?	0.44679067847,1,1.29125565279,3.9337236051
8.36458155370219	I??E@~{~?	0.788915981947,1.2028362755,4.03675340112
8.39890496457558	I?BD`zw}?	0.755916274679,1,1.18914915856,3.92599284627
8.40416887790234	I?bF`xwl?	0.414213562373,0.823663500757,1,1.34246514526,3.84082826665
8.41756678899659	I?AFbjw^?	0.822061529064,1,1,3.96759141438
8.42135588400068	I?B@~bg}?	0.311402762303,0.816493834209,1,1.26334880606,3.88093697663
8.43626711026885	I?B@~bo}?	0.516174394938,0.923672085724,1.34289064757,3.93869339896
8.44173870308644	I?BF@zw}?	0.534924062312,0.821853161404,1.45970850184,3.91783146924
8.4686883430712	I?`cnbo]_	0.434281436286,0.549127468918,1,1.23389449951,3.93141849262
8.47224450255441	I?B@|ro}?	0.422352476347,0.570006704185,0.916558800767,1.40976657603,3.89119948233
8.47387948402635	I?bFF`wN_	0.334586816038,0.437828779559,0.740829401289,1,1.27346121718,3.87294531757
8.47521382570966	I?B@nbw}?	0.539701136862,1,1.16422882007,3.97850571988
8.48053902617764	I?AFFp{^?	0.565429198662,0.829914206381,1.34158342819,3.95881613146
8.48502415377281	I?`F`xwlG	0.414213562373,0.473229025054,0.68723016835,1,1,3.95186288528
8.49425919779705	I?B@|qw}?	0.482829447562,0.797289161295,1.37821476163,3.96560070941
8.49525237816534	I?AFbZw^?	0.477259996474,0.524753282615,0.903777464695,1.35567429398,3.91630473396
8.51189575700313	I?B@|pw}?	0.724888921355,1,1.30936923883,3.90793858768
8.51202470661585	I??CFz{^_	0.754461754898,0.906398714088,4.13778365047
8.51342406315389	I?bAV`{l_	0.414213562373,0.450912451356,0.568641051452,1,1.22924319818,3.91205031453
8.51623657147353	I?AFfP{^?	0.814359565636,1,1.2239759521,3.91853772956
8.5170565201239	I?AFfRw^?	0.362286272572,0.842845065471,1,1,3.95921928825
8.52148314843118	I?AFFrw^?	0.603619136783,0.84726138263,1.20754237169,3.99763888517
8.53432713798095	I?AFf`{}?	0.503266333042,0.863861714426,1.19460785387,4.01344056264
8.55354151874626	I?B@hzi}?	0.420327113996,0.777660826739,1,1.25608146962,3.89799558956
8.55800346640112	I?AFbjw}?	0.527243884432,0.834713072318,1.16821156647,4.02722648675
8.55897775738848	I?bBV_{l_	0.414213562373,0.514763490096,1,1,1,3.88875602621
8.56419211932442	I?`cn`w]_	0.526593905043,0.728777583094,1,1.25105215341,3.89751750763
8.57740290977137	I?bBV_{}?	0.692878333792,1,1,1,3.88552731612
8.59039103859436	I?ABfrw^?	0.530663123158,0.766549457781,1.23878444731,4.02325772356
8.59185933403726	I?B@hzwqo	0.811338383025,1,1.2360679775,3.92501277925
8.59471814088178	I?`F`xw|?	0.498141162813,0.765957765804,1,1.27083001819,3.89164146456
8.60286475346698	I?AFf`{^?	0.851176649376,1.45897614394,3.96859568064
8.61058164131455	I?B@pzw}?	0.791287847478,1.57309821438,3.93824925464
8.62536138801207	I?`Ff`wn?	0.312946063528,0.725040369611,0.859222635544,1.35863546408,3.92652374883
8.62784556535713	I?AFFp]^?	0.461941269078,0.700855210035,1,1.20478837417,3.93341362906
8.63603777049874	I?`fF`wFo	0.435868031067,0.74632627964,1,1.22771262112,3.92196068749
8.65532369079747	I?B@nRw}?	0.501221467178,1.06960344085,1.31115807359,3.94219655991
8.65930076136124	I?BEFo}n?	0.732050807569,0.795977661587,1.42644266978,3.93129536522
8.65954373512577	I?BF@w}}?	0.743431643975,0.817473964316,1.48434780538,3.90324237477
8.66347807164938	I?`c~`w{?	0.258281957865,0.693964816962,0.865707898828,1.61524492388,3.84144699358
8.66645542413237	I?`cjVo}?	0.88748834512,1,1.36264213038,3.87582588437
8.66854859029737	I?bF`xwy?	0.205894627032,0.444070863249,0.857817682442,1,1.39312290863,3.84087417737
