q,D,epsilon,a,weight,numerator,denominator
7589,7589,1,2,2,103,2
7589,7589,1,3,3,39,1
7589,7589,1,4,4,-39,1
7589,7589,1,5,2,-31,2
7589,7589,1,6,5,-103,2
7589,7589,1,7,3,-9,1
7589,7589,1,8,6,12,1
7589,7589,1,9,6,103,2
7589,7589,1,10,4,9,1
7589,7589,1,11,1,-103,2
7589,7589,1,13,1,-12,1
7589,7589,1,14,5,31,2
14071,-14071,-1,2,2,188,1
14071,-14071,-1,3,3,111,2
14071,-14071,-1,4,4,195,2
14071,-14071,-1,5,2,64,1
14071,-14071,-1,6,5,385,2
14071,-14071,-1,7,3,-63,1
14071,-14071,-1,8,6,63,1
14071,-14071,-1,9,6,-111,2
14071,-14071,-1,10,4,-385,2
14071,-14071,-1,11,1,-3,2
14071,-14071,-1,13,1,3,2
14071,-14071,-1,14,5,-195,2
29023,-29023,-1,2,2,-226,1
29023,-29023,-1,3,3,23,2
29023,-29023,-1,4,4,343,2
29023,-29023,-1,5,2,241,1
29023,-29023,-1,6,5,249,2
29023,-29023,-1,7,3,-30,1
29023,-29023,-1,8,6,30,1
29023,-29023,-1,9,6,-23,2
29023,-29023,-1,10,4,-249,2
29023,-29023,-1,11,1,291,2
29023,-29023,-1,13,1,-291,2
29023,-29023,-1,14,5,-343,2
