q,D,epsilon,a,weight,numerator,denominator
9521,9521,1,2,2,7,2
9521,9521,1,3,3,-27,1
9521,9521,1,4,4,27,1
9521,9521,1,5,2,33,2
9521,9521,1,6,5,-7,2
9521,9521,1,7,3,3,1
9521,9521,1,8,6,-18,1
9521,9521,1,9,6,-123,2
9521,9521,1,10,4,-3,1
9521,9521,1,11,1,123,2
9521,9521,1,13,1,18,1
9521,9521,1,14,5,-33,2
11131,-11131,-1,2,2,-35,1
11131,-11131,-1,3,3,91,1
11131,-11131,-1,4,4,65,2
11131,-11131,-1,5,2,31,2
11131,-11131,-1,6,5,-91,1
11131,-11131,-1,7,3,-107,1
11131,-11131,-1,8,6,-31,2
11131,-11131,-1,9,6,35,1
11131,-11131,-1,10,4,-65,2
11131,-11131,-1,11,1,-75,2
11131,-11131,-1,13,1,227,2
11131,-11131,-1,14,5,107,1
