m6-b7-l6-hard-witness-positive-gain-coordinate-residual-singleton-parent-v1
residual-manifest-bytes	13269
residual-manifest-sha256	ed2f787c0a10ecb5663479db61446ce36bfb5d75cc39bb3f48e2bb8cddf79706
residual-hash-ledger-bytes	17655
residual-hash-ledger-sha256	785268882c06117261f99ab6efabd4e4d61ce9565dc5c87a08273ed47607c96a
residual-producer-bytes	10609
residual-producer-sha256	b4359639f46a2eff5a99a41b43f268d02af17749a88187d81cc31a69b31c8d52
residual-checker-bytes	12276
residual-checker-sha256	53d9e62e6fd4c99a9891785f50242087a630fe9ef9dafba82d15db722f5cbe8e
coordinate-certificates-bytes	9990
coordinate-certificates-sha256	19d3d8e1a3f5e11545ae6095b1cc74b674512d59b12f2212d19c34fbb9b976f3
positive-gain-certificates-bytes	3687
positive-gain-certificates-sha256	ab44c6fccf70dc5bae6b30b82f9e3983fe9c065b82d8301db3fc76bac13e5b59
no-gain-certificates-bytes	26475
no-gain-certificates-sha256	f780c44424d7925b3b2a1e3d7ee1cbc757a7fc0b1daf14264d9699cc9d1532ec
witness-orbit-certificates-bytes	6987
witness-orbit-certificates-sha256	cd46a986097405c2d270f15f2525df67e586cc53137e09ef5eafeafd42f2bd02
state-certificates-bytes	5030
state-certificates-sha256	037a4a6e51ef5cd76dc070bd461481ef90ac5520a875c0a96973c60f991172c7
residual-leaves	153
memberships	1382
split	one CNF per residual membership with a positive unit selecting its exact parent
selector-cover	for each residual leaf, all parent selectors exactly once
selector-disjoint	distinct guarded parent hole projections are incompatible
selector-exhaustive	the residual leaf parent-selector ALO supplies at least one selector
proof-status	scout-only; no LRAT generated or committed
columns	membership-ordinal,key,residual-leaf-ordinal,residual-key,parent-ordinal,accepted-ordinal,cover-index,parent-fingerprint,selector,variables,clauses
0020	r003-o01-w01-c16-p02-a24123	003	o01-w01-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0021	r003-o01-w01-c16-p03-a28682	003	o01-w01-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0022	r003-o01-w01-c16-p04-a28744	003	o01-w01-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0023	r003-o01-w01-c16-p05-a28749	003	o01-w01-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0024	r004-o01-w01-c17-p00-a24090	004	o01-w01-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0025	r004-o01-w01-c17-p01-a24118	004	o01-w01-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0026	r004-o01-w01-c17-p02-a24123	004	o01-w01-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0027	r004-o01-w01-c17-p03-a28682	004	o01-w01-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0028	r004-o01-w01-c17-p04-a28744	004	o01-w01-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0029	r004-o01-w01-c17-p05-a28749	004	o01-w01-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0030	r005-o01-w02-c16-p00-a24090	005	o01-w02-c16	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0031	r005-o01-w02-c16-p01-a24118	005	o01-w02-c16	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0032	r005-o01-w02-c16-p02-a24123	005	o01-w02-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0033	r005-o01-w02-c16-p03-a28682	005	o01-w02-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0034	r005-o01-w02-c16-p04-a28744	005	o01-w02-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0035	r005-o01-w02-c16-p05-a28749	005	o01-w02-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0036	r006-o01-w02-c17-p00-a24090	006	o01-w02-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0037	r006-o01-w02-c17-p01-a24118	006	o01-w02-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0038	r006-o01-w02-c17-p02-a24123	006	o01-w02-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0039	r006-o01-w02-c17-p03-a28682	006	o01-w02-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0040	r006-o01-w02-c17-p04-a28744	006	o01-w02-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0041	r006-o01-w02-c17-p05-a28749	006	o01-w02-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0042	r007-o01-w03-c16-p00-a24090	007	o01-w03-c16	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0043	r007-o01-w03-c16-p01-a24118	007	o01-w03-c16	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0044	r007-o01-w03-c16-p02-a24123	007	o01-w03-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0045	r007-o01-w03-c16-p03-a28682	007	o01-w03-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0046	r007-o01-w03-c16-p04-a28744	007	o01-w03-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0047	r007-o01-w03-c16-p05-a28749	007	o01-w03-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0048	r008-o01-w03-c17-p00-a24090	008	o01-w03-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0049	r008-o01-w03-c17-p01-a24118	008	o01-w03-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0050	r008-o01-w03-c17-p02-a24123	008	o01-w03-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0051	r008-o01-w03-c17-p03-a28682	008	o01-w03-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0052	r008-o01-w03-c17-p04-a28744	008	o01-w03-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0053	r008-o01-w03-c17-p05-a28749	008	o01-w03-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0054	r009-o01-w04-c16-p00-a24090	009	o01-w04-c16	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0055	r009-o01-w04-c16-p01-a24118	009	o01-w04-c16	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0056	r009-o01-w04-c16-p02-a24123	009	o01-w04-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0057	r009-o01-w04-c16-p03-a28682	009	o01-w04-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0058	r009-o01-w04-c16-p04-a28744	009	o01-w04-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0059	r009-o01-w04-c16-p05-a28749	009	o01-w04-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0060	r010-o01-w04-c17-p00-a24090	010	o01-w04-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0061	r010-o01-w04-c17-p01-a24118	010	o01-w04-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0062	r010-o01-w04-c17-p02-a24123	010	o01-w04-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0063	r010-o01-w04-c17-p03-a28682	010	o01-w04-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0064	r010-o01-w04-c17-p04-a28744	010	o01-w04-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0065	r010-o01-w04-c17-p05-a28749	010	o01-w04-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0066	r011-o02-w00-c16-p00-a24090	011	o02-w00-c16	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0067	r011-o02-w00-c16-p01-a24118	011	o02-w00-c16	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0068	r011-o02-w00-c16-p02-a24123	011	o02-w00-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0069	r011-o02-w00-c16-p03-a28682	011	o02-w00-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0070	r011-o02-w00-c16-p04-a28744	011	o02-w00-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0071	r011-o02-w00-c16-p05-a28749	011	o02-w00-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0072	r012-o02-w00-c17-p00-a24090	012	o02-w00-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0073	r012-o02-w00-c17-p01-a24118	012	o02-w00-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0074	r012-o02-w00-c17-p02-a24123	012	o02-w00-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0075	r012-o02-w00-c17-p03-a28682	012	o02-w00-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0076	r012-o02-w00-c17-p04-a28744	012	o02-w00-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0077	r012-o02-w00-c17-p05-a28749	012	o02-w00-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0078	r013-o02-w01-c16-p00-a24090	013	o02-w01-c16	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0079	r013-o02-w01-c16-p01-a24118	013	o02-w01-c16	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0080	r013-o02-w01-c16-p02-a24123	013	o02-w01-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0081	r013-o02-w01-c16-p03-a28682	013	o02-w01-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0082	r013-o02-w01-c16-p04-a28744	013	o02-w01-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0083	r013-o02-w01-c16-p05-a28749	013	o02-w01-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0084	r014-o02-w01-c17-p00-a24090	014	o02-w01-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0085	r014-o02-w01-c17-p01-a24118	014	o02-w01-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0086	r014-o02-w01-c17-p02-a24123	014	o02-w01-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0087	r014-o02-w01-c17-p03-a28682	014	o02-w01-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0088	r014-o02-w01-c17-p04-a28744	014	o02-w01-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0089	r014-o02-w01-c17-p05-a28749	014	o02-w01-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0090	r015-o02-w02-c16-p00-a24090	015	o02-w02-c16	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0091	r015-o02-w02-c16-p01-a24118	015	o02-w02-c16	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0092	r015-o02-w02-c16-p02-a24123	015	o02-w02-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0093	r015-o02-w02-c16-p03-a28682	015	o02-w02-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0094	r015-o02-w02-c16-p04-a28744	015	o02-w02-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0095	r015-o02-w02-c16-p05-a28749	015	o02-w02-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0096	r016-o02-w02-c17-p00-a24090	016	o02-w02-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0097	r016-o02-w02-c17-p01-a24118	016	o02-w02-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0098	r016-o02-w02-c17-p02-a24123	016	o02-w02-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0099	r016-o02-w02-c17-p03-a28682	016	o02-w02-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0100	r016-o02-w02-c17-p04-a28744	016	o02-w02-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0101	r016-o02-w02-c17-p05-a28749	016	o02-w02-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0102	r017-o03-w00-c17-p00-a28687	017	o03-w00-c17	00	28687	119460	3500aba76cab94f81173410881c3761d1d7bccfbb85808920614569ff246c791	23617	23622	143669
0103	r017-o03-w00-c17-p01-a28756	017	o03-w00-c17	01	28756	119586	fb37b70b416f3ea9a96a12aa1f9b864b2be23cde7f42a8108c2c3120ca30468e	23618	23622	143669
0104	r017-o03-w00-c17-p02-a28759	017	o03-w00-c17	02	28759	119589	4fef8d5264b01498f079811c2f98c21fdce95ee68b50c8982b67b77756ba16e9	23619	23622	143669
0105	r017-o03-w00-c17-p03-a48857	017	o03-w00-c17	03	48857	148145	403ece1dee6105b04a1a5b1a62124f90111f99f2f24c0ab7fe0f564b941c54b7	23620	23622	143669
0106	r017-o03-w00-c17-p04-a48944	017	o03-w00-c17	04	48944	148302	7c50b2ce37d9f355989c9d6b36ee08ffbaa594763b95c38edbd913d152cd9df1	23621	23622	143669
0107	r017-o03-w00-c17-p05-a48959	017	o03-w00-c17	05	48959	148317	cb88528cc79fd1b8efddbb82f6f3656d38db523abffe6106d4aa6df543d199c4	23622	23622	143669
0108	r018-o03-w01-c16-p00-a28687	018	o03-w01-c16	00	28687	119460	3500aba76cab94f81173410881c3761d1d7bccfbb85808920614569ff246c791	23617	23622	143669
0109	r018-o03-w01-c16-p01-a28756	018	o03-w01-c16	01	28756	119586	fb37b70b416f3ea9a96a12aa1f9b864b2be23cde7f42a8108c2c3120ca30468e	23618	23622	143669
0110	r018-o03-w01-c16-p02-a28759	018	o03-w01-c16	02	28759	119589	4fef8d5264b01498f079811c2f98c21fdce95ee68b50c8982b67b77756ba16e9	23619	23622	143669
0111	r018-o03-w01-c16-p03-a48857	018	o03-w01-c16	03	48857	148145	403ece1dee6105b04a1a5b1a62124f90111f99f2f24c0ab7fe0f564b941c54b7	23620	23622	143669
0112	r018-o03-w01-c16-p04-a48944	018	o03-w01-c16	04	48944	148302	7c50b2ce37d9f355989c9d6b36ee08ffbaa594763b95c38edbd913d152cd9df1	23621	23622	143669
0113	r018-o03-w01-c16-p05-a48959	018	o03-w01-c16	05	48959	148317	cb88528cc79fd1b8efddbb82f6f3656d38db523abffe6106d4aa6df543d199c4	23622	23622	143669
0114	r019-o03-w02-c17-p00-a28687	019	o03-w02-c17	00	28687	119460	3500aba76cab94f81173410881c3761d1d7bccfbb85808920614569ff246c791	23617	23622	143669
0115	r019-o03-w02-c17-p01-a28756	019	o03-w02-c17	01	28756	119586	fb37b70b416f3ea9a96a12aa1f9b864b2be23cde7f42a8108c2c3120ca30468e	23618	23622	143669
0116	r019-o03-w02-c17-p02-a28759	019	o03-w02-c17	02	28759	119589	4fef8d5264b01498f079811c2f98c21fdce95ee68b50c8982b67b77756ba16e9	23619	23622	143669
0117	r019-o03-w02-c17-p03-a48857	019	o03-w02-c17	03	48857	148145	403ece1dee6105b04a1a5b1a62124f90111f99f2f24c0ab7fe0f564b941c54b7	23620	23622	143669
0118	r019-o03-w02-c17-p04-a48944	019	o03-w02-c17	04	48944	148302	7c50b2ce37d9f355989c9d6b36ee08ffbaa594763b95c38edbd913d152cd9df1	23621	23622	143669
0119	r019-o03-w02-c17-p05-a48959	019	o03-w02-c17	05	48959	148317	cb88528cc79fd1b8efddbb82f6f3656d38db523abffe6106d4aa6df543d199c4	23622	23622	143669
0120	r020-o03-w03-c17-p00-a28687	020	o03-w03-c17	00	28687	119460	3500aba76cab94f81173410881c3761d1d7bccfbb85808920614569ff246c791	23617	23622	143669
0121	r020-o03-w03-c17-p01-a28756	020	o03-w03-c17	01	28756	119586	fb37b70b416f3ea9a96a12aa1f9b864b2be23cde7f42a8108c2c3120ca30468e	23618	23622	143669
0122	r020-o03-w03-c17-p02-a28759	020	o03-w03-c17	02	28759	119589	4fef8d5264b01498f079811c2f98c21fdce95ee68b50c8982b67b77756ba16e9	23619	23622	143669
0123	r020-o03-w03-c17-p03-a48857	020	o03-w03-c17	03	48857	148145	403ece1dee6105b04a1a5b1a62124f90111f99f2f24c0ab7fe0f564b941c54b7	23620	23622	143669
0124	r020-o03-w03-c17-p04-a48944	020	o03-w03-c17	04	48944	148302	7c50b2ce37d9f355989c9d6b36ee08ffbaa594763b95c38edbd913d152cd9df1	23621	23622	143669
0125	r020-o03-w03-c17-p05-a48959	020	o03-w03-c17	05	48959	148317	cb88528cc79fd1b8efddbb82f6f3656d38db523abffe6106d4aa6df543d199c4	23622	23622	143669
0126	r021-o03-w04-c16-p00-a28687	021	o03-w04-c16	00	28687	119460	3500aba76cab94f81173410881c3761d1d7bccfbb85808920614569ff246c791	23617	23622	143669
0127	r021-o03-w04-c16-p01-a28756	021	o03-w04-c16	01	28756	119586	fb37b70b416f3ea9a96a12aa1f9b864b2be23cde7f42a8108c2c3120ca30468e	23618	23622	143669
0128	r021-o03-w04-c16-p02-a28759	021	o03-w04-c16	02	28759	119589	4fef8d5264b01498f079811c2f98c21fdce95ee68b50c8982b67b77756ba16e9	23619	23622	143669
0129	r021-o03-w04-c16-p03-a48857	021	o03-w04-c16	03	48857	148145	403ece1dee6105b04a1a5b1a62124f90111f99f2f24c0ab7fe0f564b941c54b7	23620	23622	143669
