m6-b7-l4-profile-root-cardinality-manifest-v1
clean-parent-manifest-bytes	1838
clean-parent-manifest-sha256	6e7eee0ddd5b4c7ef02cdf459c9a0647f720513e7ee4987a3a8b0c17af37eeda
clean-remaining-stream-bytes	2262190
clean-remaining-stream-sha256	416b7e51a73637784342a374be8e15a1a58032b61fc1140f39f0768d1ff4b642
clean-partition-manifest-bytes	2104
clean-partition-manifest-sha256	733e06c8aa9881e0006409efff23729f1bf88d8af7b1a70e8a78fd3775b53217
parent-group	B7-l4
parents	1649
states	28
state-parent-incidences	10036
profiles	40
profile-parent-incidences	14464
S7-permutations	5040
global-arcs	147
global-high	3
root-A	1,2,3,4,5,6,7,8
root-B	9,10,11,12,13,14,15
root-identity	e(A,B)=36+H(A)+high(A)
added-variables	2433
added-clauses	9571
certificate-status	not-started
ordering	internal-C,high-mask,(cb16,cb17),(h16,h17),intersection-t
columns	position,key,state-ordinal,state-key,h16,h17,internal,high-mask,cb16,cb17,t,S7-orbit-size,parents,variables,clauses,member-sha256
26	p26	21	h22-cr-m11-b21	2	2	17>16	11	2	1	1	42	565	26614	238763	4452a49b2e564b0c377d9850c0ed8a260683c6d0c64430e43793d014dc62d7dd
27	p27	27	h31-cr-m11-b30	3	1	17>16	11	3	0	0	35	34	26083	157520	0ef3e81c555e58aca471b31d5602166c3de255480ec0a85edaa24ab5596af4fe
28	p28	00	h12-ch-m00-b01	1	2	h	00	0	1	0	7	450	26499	221168	97ba73a532b94a2a20d86977e4c0df9466cf79afdbe84b4fe519827eabe12526
29	p29	10	h21-ch-m00-b10	2	1	h	00	1	0	0	7	44	26093	159050	ead4d1b3020d0d78f3999d92f74446a604787ebb88d2a7fbb63916153f83be49
30	p30	01	h12-ch-m01-b02	1	2	h	01	0	2	0	21	450	26499	221168	97ba73a532b94a2a20d86977e4c0df9466cf79afdbe84b4fe519827eabe12526
31	p31	11	h21-ch-m01-b11	2	1	h	01	1	1	0	42	44	26093	159050	ead4d1b3020d0d78f3999d92f74446a604787ebb88d2a7fbb63916153f83be49
32	p32	11	h21-ch-m01-b11	2	1	h	01	1	1	1	7	44	26093	159050	ead4d1b3020d0d78f3999d92f74446a604787ebb88d2a7fbb63916153f83be49
33	p33	02	h12-ch-m10-b11	1	2	h	10	1	1	0	42	450	26499	221168	97ba73a532b94a2a20d86977e4c0df9466cf79afdbe84b4fe519827eabe12526
34	p34	02	h12-ch-m10-b11	1	2	h	10	1	1	1	7	450	26499	221168	97ba73a532b94a2a20d86977e4c0df9466cf79afdbe84b4fe519827eabe12526
35	p35	12	h21-ch-m10-b20	2	1	h	10	2	0	0	21	44	26093	159050	ead4d1b3020d0d78f3999d92f74446a604787ebb88d2a7fbb63916153f83be49
36	p36	03	h12-ch-m11-b12	1	2	h	11	1	2	0	105	450	26499	221168	97ba73a532b94a2a20d86977e4c0df9466cf79afdbe84b4fe519827eabe12526
37	p37	03	h12-ch-m11-b12	1	2	h	11	1	2	1	42	450	26499	221168	97ba73a532b94a2a20d86977e4c0df9466cf79afdbe84b4fe519827eabe12526
38	p38	13	h21-ch-m11-b21	2	1	h	11	2	1	0	105	44	26093	159050	ead4d1b3020d0d78f3999d92f74446a604787ebb88d2a7fbb63916153f83be49
39	p39	13	h21-ch-m11-b21	2	1	h	11	2	1	1	42	44	26093	159050	ead4d1b3020d0d78f3999d92f74446a604787ebb88d2a7fbb63916153f83be49
