m6-b7-l6-hard-witness-positive-gain-v1
witness-manifest-bytes	7151
witness-manifest-sha256	0329c78e2f563670c623206daf8b6b143c3813eac2f50d5e6f7c12b6b791186a
witness-hash-ledger-bytes	11078
witness-hash-ledger-sha256	d38e453e802408fb61b0c8f91641f16e231cfbec875993256b8dfe5acfa59513
witness-scout-bytes	48447
witness-scout-sha256	1452d679f8cbb12350ec37564f69303fdbc04b3cecf1c037d66f99d8e72d1a3a
no-gain-manifest-bytes	6831
no-gain-manifest-sha256	a464607da5ca77da9beb4d5634ea5bc51036f44cad3f22354abfae0da9fe83f4
no-gain-hash-ledger-bytes	11440
no-gain-hash-ledger-sha256	35ceea03f8b3f9d4cc054da5c3114e8fa9b04d1955f2a9bf64b163750fccab90
no-gain-scout-bytes	48487
no-gain-scout-sha256	43bf624d24ca9459bf4de999385ed27367392a174aba46fe95b0773e6d1d7a64
no-gain-certificate-ledger-bytes	26475
no-gain-certificate-ledger-sha256	f780c44424d7925b3b2a1e3d7ee1cbc757a7fc0b1daf14264d9699cc9d1532ec
leaves	117
parent-incidences	1066
children-per-source	1
refinement	positive-gain
partition	positive ALO versus committed conjunction of negative units
partition-exhaustive	P or not-P, where P is the listed path-variable ALO
partition-disjoint	P and not-P is propositionally false
columns	leaf-ordinal,key,parent-orbit,parent-key,high-C,ordered-witnesses,positive-path-literals,alo-clauses,parents,variables,clauses
059	o23-w03	23	s21-t0	16,17	14,14	32	1	10	23626	144280
060	o23-w04	23	s21-t0	16,17	14,15	32	1	10	23626	144280
061	o23-w05	23	s21-t0	16,17	17,9	32	1	10	23626	144280
062	o23-w06	23	s21-t0	16,17	17,14	32	1	10	23626	144280
063	o24-w00	24	s21-t1	16,17	11,10	32	1	10	23626	144280
064	o24-w01	24	s21-t1	16,17	11,13	32	1	10	23626	144280
065	o24-w02	24	s21-t1	16,17	13,10	32	1	10	23626	144280
066	o24-w03	24	s21-t1	16,17	13,13	32	1	10	23626	144280
067	o24-w04	24	s21-t1	16,17	13,14	32	1	10	23626	144280
068	o24-w05	24	s21-t1	16,17	17,10	32	1	10	23626	144280
069	o24-w06	24	s21-t1	16,17	17,13	32	1	10	23626	144280
070	o25-w00	25	s21-t2	16,17	11,12	32	1	10	23626	144280
071	o25-w01	25	s21-t2	16,17	12,12	32	1	10	23626	144280
072	o25-w02	25	s21-t2	16,17	12,13	32	1	10	23626	144280
073	o25-w03	25	s21-t2	16,17	17,12	32	1	10	23626	144280
074	o30-w00	30	s24-t2	16	11	16	1	10	23626	144279
075	o31-w00	31	s25-t0	16,17	11,9	32	1	10	23626	144280
076	o31-w01	31	s25-t0	16,17	11,14	32	1	10	23626	144280
077	o31-w02	31	s25-t0	16,17	11,16	32	1	10	23626	144280
078	o31-w03	31	s25-t0	16,17	14,9	32	1	10	23626	144280
079	o31-w04	31	s25-t0	16,17	14,14	32	1	10	23626	144280
080	o31-w05	31	s25-t0	16,17	14,15	32	1	10	23626	144280
081	o31-w06	31	s25-t0	16,17	14,16	32	1	10	23626	144280
082	o32-w00	32	s25-t1	16,17	11,10	32	1	10	23626	144280
083	o32-w01	32	s25-t1	16,17	11,13	32	1	10	23626	144280
084	o32-w02	32	s25-t1	16,17	11,16	32	1	10	23626	144280
085	o32-w03	32	s25-t1	16,17	13,10	32	1	10	23626	144280
086	o32-w04	32	s25-t1	16,17	13,13	32	1	10	23626	144280
087	o32-w05	32	s25-t1	16,17	13,14	32	1	10	23626	144280
088	o32-w06	32	s25-t1	16,17	13,16	32	1	10	23626	144280
089	o33-w00	33	s25-t2	16,17	11,12	32	1	10	23626	144280
090	o33-w01	33	s25-t2	16,17	11,16	32	1	10	23626	144280
091	o33-w02	33	s25-t2	16,17	12,12	32	1	10	23626	144280
092	o33-w03	33	s25-t2	16,17	12,13	32	1	10	23626	144280
093	o33-w04	33	s25-t2	16,17	12,16	32	1	10	23626	144280
094	o36-w00	36	s27-t2	17	11	16	1	10	23626	144279
095	o37-w00	37	s28-t0	16	12	16	1	10	23626	144279
096	o37-w01	37	s28-t0	16	13	16	1	10	23626	144279
097	o37-w02	37	s28-t0	16	17	16	1	10	23626	144279
098	o39-w00	39	s29-t0	16,17	12,9	32	1	10	23626	144280
099	o39-w01	39	s29-t0	16,17	12,14	32	1	10	23626	144280
100	o39-w02	39	s29-t0	16,17	14,9	32	1	10	23626	144280
101	o39-w03	39	s29-t0	16,17	14,14	32	1	10	23626	144280
102	o39-w04	39	s29-t0	16,17	14,15	32	1	10	23626	144280
103	o39-w05	39	s29-t0	16,17	17,9	32	1	10	23626	144280
104	o39-w06	39	s29-t0	16,17	17,14	32	1	10	23626	144280
105	o40-w00	40	s29-t1	16,17	12,10	32	1	10	23626	144280
106	o40-w01	40	s29-t1	16,17	12,13	32	1	10	23626	144280
107	o40-w02	40	s29-t1	16,17	13,10	32	1	10	23626	144280
108	o40-w03	40	s29-t1	16,17	13,13	32	1	10	23626	144280
109	o40-w04	40	s29-t1	16,17	13,14	32	1	10	23626	144280
110	o40-w05	40	s29-t1	16,17	17,10	32	1	10	23626	144280
111	o40-w06	40	s29-t1	16,17	17,13	32	1	10	23626	144280
112	o41-w00	41	s29-t2	16,17	12,11	32	1	10	23626	144280
113	o41-w01	41	s29-t2	16,17	12,12	32	1	10	23626	144280
114	o41-w02	41	s29-t2	16,17	12,13	32	1	10	23626	144280
115	o41-w03	41	s29-t2	16,17	17,11	32	1	10	23626	144280
116	o41-w04	41	s29-t2	16,17	17,12	32	1	10	23626	144280
