013	o03-i13	03	4	23626	144285	10402070	7a72eb9c1340ffffe3db90f1f1b28d03cf89d76fbf1a10c97ca36d04322e6b7a	7124967	d089730e09e85d5c01a053abdf8a1b58989ee613a1dc2aa8c3995ccf3d2249f7	474872	b40e09bf0856cb309dc1af85ccfab75ad76f74334675265690308c83e6ccb96f	257363467	332036088	certificates/m6-b7-l6-early-c-inaccessible-pair-child-013.lrat.xz
014	o03-i14	03	1	23626	144288	10402090	b09ef48ce146ef5fc9f32e1b48d8ead66651dece9b88be329bcbe49fcb37c2c6	7123892	f625af93af3dbdbdbeca0b6a11e7230b61b7d8118329dac1bcf53596cb340c59	474320	49f64f7feb9f785cc420ed75e3a3dc8bda4b5bc732bfe36b091d02e754a4fb0d	256083571	330260211	certificates/m6-b7-l6-early-c-inaccessible-pair-child-014.lrat.xz
015	o03-i15	03	5	23626	144284	10402062	ec72ee64e76d3cb9d76db42091cfca700d69fc5f8ad8b4d17016c232f5513ad8	7102544	2e55e669369cdbab7249256b47541e66425ef6fdc29a5afd955a8e632818f197	468584	514821361fe3d0799529e6ce7b1e6fd3b42d2a7b9a5a7fc7e0b8e8deca44d66e	252613195	329014500	certificates/m6-b7-l6-early-c-inaccessible-pair-child-015.lrat.xz
016	o03-i16	03	5	23626	144284	10402063	e62dc8c18083bc163089cf69c03b6f1c13940a33e945839cebce6cdb69745e70	7127022	f1b574df3698c76514e5a90885f3e70aa3f311764565bd48b2b4e0e553784430	474780	b779c81176e97a83b8eae622a8ac71b851b06aa383d6a6d0e0e137d77b6ab143	255593912	329545888	certificates/m6-b7-l6-early-c-inaccessible-pair-child-016.lrat.xz
017	o03-i17	03	1	23626	144288	10402090	3faf5c2962d029a13ec4a668e57aee2b0b211a56b6cf51a8b76544fdaa99b570	7102544	2de5711ebabdcfb88e3d796518e67a50a2ccb7adc45b6543fe7c85284823fdb0	468932	6b8e9950a43bb66f7a4daf22b58272c29baf541e0b531ce941da4f7b9f9bd920	252494416	330255925	certificates/m6-b7-l6-early-c-inaccessible-pair-child-017.lrat.xz
018	o03-i18	03	1	23626	144288	10402091	b251c91c515cff8f2aa4a0c451056b9571fb9e719aab82c98ca249751348c7d5	7124314	b740c1c1e6f576e352e3906c2b27e9416c8b144e6e4a629e6e2ca09a81057c24	474424	aa07ecd4b07a3595ef58f543851e7e722aadd8d80b782306d66caa21c1fb3cb1	251358520	334376574	certificates/m6-b7-l6-early-c-inaccessible-pair-child-018.lrat.xz
019	o03-i19	03	10	23626	144279	10402029	f2d19291f4b5f95aa32f473046be46b2e3251eb133da20ecd3928f3194161cf6	7102544	4a5af0fa9f540c55c3f684eea7c7bae8400a9d79e815115db9b7d0828af64752	468948	d0d7e7f35d8b10dc0b65237039adbdab43fa763c8a73c2a6ec12406b606888ad	252900657	330612509	certificates/m6-b7-l6-early-c-inaccessible-pair-child-019.lrat.xz
020	o03-i20	03	10	23626	144279	10402030	9a533c84ec786e1135996693f402f2c097caaab42f9aa49c1bd9d5ed65e209ff	7102544	4a5af0fa9f540c55c3f684eea7c7bae8400a9d79e815115db9b7d0828af64752	468948	d0d7e7f35d8b10dc0b65237039adbdab43fa763c8a73c2a6ec12406b606888ad	252898143	330156154	certificates/m6-b7-l6-early-c-inaccessible-pair-child-020.lrat.xz
021	o03-i21	03	10	23626	144279	10402030	d0730249e6a5e8a3c344dbb96d4039e93ff6e7b9ffac760272b935a9be272a0c	7179530	94de3c8f53236c028bfe8738e6d35ea655fea1e46266a5dc9c134b71f9977a73	489140	61eb615bcb73e3706aa16707987dd765dae6b18df9a435e3b57f6870382f4483	260999912	330685309	certificates/m6-b7-l6-early-c-inaccessible-pair-child-021.lrat.xz
022	o11-i00	11	4	23626	144285	10402070	3be4962101e56efabee925adec7ffbc75fedaf2ef45d765d51cdcda709cf2fef	7121670	71f0a816ee8e6b7ebeb0c25050a265089d09e7fe77f8becff2d48c2037b5e18b	473564	327d139a024ff9dc4308d9344158dd8eb03e140e59b58ae64e7d37959c6db91e	257811864	329560159	certificates/m6-b7-l6-early-c-inaccessible-pair-child-022.lrat.xz
023	o11-i01	11	3	23626	144286	10402077	6abd6e8a40c31dce752a1719bf397a366c204787500550bb41164d2949e4b5b7	7121564	730781d95f13e585f51e27d5921daa68f7b80240dd054049280fe22dcfd1b436	473508	eb5423197c0913680966cb2878d4b7cd06af428e1e2e6b91ac89d6179dab33a0	256624344	330590950	certificates/m6-b7-l6-early-c-inaccessible-pair-child-023.lrat.xz
024	o11-i02	11	2	23626	144287	10402084	e3f75269c6df92937332f46de8ebd3457ea8a990c02c0a8665a51b6031b17d4c	7121481	d312d8ffc8563455bc65e9c620ddc0c93a1140b811d60b64c6d56e89cc4bdf1e	473080	5eb94436385be688749814ba6b09768ee32f1d55753a8e43f2aa3f3bee52c40a	254689167	329437622	certificates/m6-b7-l6-early-c-inaccessible-pair-child-024.lrat.xz
025	o11-i03	11	1	23626	144288	10402091	22190ce7e9a379ed5285765c7f7ffc84dda22ac59a785ea69dd84b02f4e35fb3	7121310	50b3f6b79e5b101f6b7fd4bd20d9b7b7d2c8415913323ffd60c318e677e15ab9	473348	e49f98181dccc74868cab0d80921c5cbe6844e8313c07b88cad669ae3ae04b92	250290415	329041594	certificates/m6-b7-l6-early-c-inaccessible-pair-child-025.lrat.xz
026	o11-i04	11	5	23626	144284	10402064	7bc58fbdbbca5e9412a6848486b8bef7f258cbbba07c0ad7b70e0021969ca429	7124222	09fd58ffb9e4b88370360e752ae73d8cb699d3ad6b48fb909e8b55b71a945827	473748	5e7a1267050ec7dd48adb62f76b235a6ed9eb1b19966ce56702f08cfb2ed8303	253708239	329072635	certificates/m6-b7-l6-early-c-inaccessible-pair-child-026.lrat.xz
027	o11-i05	11	5	23626	144284	10402064	d02e449248396df4668bd032bd7a7bfe71412175c396c3f8b78b9f0a5e502e93	7121467	794835ea4da7c8ed8e5ec3218146277e62b1cbf9a81c52b07a1fe5138f902f09	472996	82efbbd474e88a10f7d2aabe81621b6bac8a06aded4a165a2b3149ff634c5263	258454138	328956883	certificates/m6-b7-l6-early-c-inaccessible-pair-child-027.lrat.xz
028	o11-i06	11	4	23626	144285	10402070	9c47ddecf505c4100ff19e2faa7dcc63df8693328fa3dc8d1b2ce86dade48ee4	7215757	314bbb8ad1eef53d2618bb349d9018f60896b3e4d0b4c6d084f3588bb8c2ae42	501820	8bc9b28bbeb51bd30b5a04ab4692011257ed5c6b7f1a7537a2132b7b729a68bb	260853802	331046542	certificates/m6-b7-l6-early-c-inaccessible-pair-child-028.lrat.xz
029	o11-i07	11	3	23626	144286	10402077	0bdf9b3fcc3da7c16620cbf87f8e30ec02111b5f9cc5aebaf160fcc8b0764390	7186246	a820dbf7b57d28115fbae9158ff1f42dbb14c12ff053739a7f024966472aac36	492428	b93bcb45b3de890d3f045ae3a709cb528303b2f154c52950e5dbe8163ec18ec2	258074468	330552410	certificates/m6-b7-l6-early-c-inaccessible-pair-child-029.lrat.xz
030	o11-i08	11	2	23626	144287	10402084	ece81cf256ac6a386b471817692f6137f4c13bdcf4e5f603c37ba555ca55609c	7136883	ffc8b3d6f1d3a6056a93095a2dfbbfc46d8c80ad80e720e1f13a6ebed3e1667a	477920	dfd5ee8124ce230dfb0bda6409f91d78c911d8b505f9233aa8e994c8ed9204a0	263945446	331408695	certificates/m6-b7-l6-early-c-inaccessible-pair-child-030.lrat.xz
031	o11-i09	11	1	23626	144288	10402091	fbc77388f09f9b4cfec57de25fb0be81466675ed0181870784459d5911f35ed2	7125361	cf221c0e3c7d3a5bbae2cf3ea86fc21ef28959432b7a35bbb82cd66fe9a73acf	474556	b47ea22e15777a6f63bb7c8bf345810f1111078e5791e0becfbd270bac97c98b	253124613	330909696	certificates/m6-b7-l6-early-c-inaccessible-pair-child-031.lrat.xz
032	o11-i10	11	7	23626	144282	10402050	6a8cd76c74d325dbb357cdb70051a97e8fd63a26ed0fe5600acfa869e4cc786c	7161996	49d303f7756d8d47600b06e5fa5f873dc2d460de1d26a7d05aad0dea878bbd8b	483508	3d00e1cea588dcf18ec734dc94eaa98f53de7da038ffcdaefbda44d746bc7151	254240327	329587124	certificates/m6-b7-l6-early-c-inaccessible-pair-child-032.lrat.xz
