m6-b7-l2-parent-chunk-cover-manifest-v1
profile-producer-bytes	13024
profile-producer-sha256	8d6ddc5ffe3b2d0b95d4723c3ea9d8c2c3e5d582d6c25f43d1df477b53beb548
profiles	4
parents-per-profile	8119
parent-incidences	32476
parent-chunk-cap	50
chunks-per-profile	163
leaves	652
cover	disjoint-and-exhaustive-within-each-profile
ordering	profile-position,parent-offset
certificate-status	not-started
columns	leaf-ordinal,key,profile-position,profile-key,chunk,start,stop,parents,variables,clauses,member-sha256
035	p00-c035	00	p00	035	1750	1800	50	26099	159968	4e553c105f5834bbec9e18d48a7a27511f0fa5f18a2b54c38d154b59234fd943
036	p00-c036	00	p00	036	1800	1850	50	26099	159968	b7eaf345c60c599f161cf7928cc27a03ef488c4e7566f690d3437d6340ea7653
037	p00-c037	00	p00	037	1850	1900	50	26099	159968	ef756a3408d1084eaff10e7d76710519ac5216a0201e81c281e4dd2239d28a9d
038	p00-c038	00	p00	038	1900	1950	50	26099	159968	669b88f430161ebb488c44ea0acd33d2f1e87ac1e41834f1f78f87e41549785d
039	p00-c039	00	p00	039	1950	2000	50	26099	159968	8c28809686235ea03d1315bd574b1b9a5c3349a7be4f78bda32f4d62c642ebb5
040	p00-c040	00	p00	040	2000	2050	50	26099	159968	39d957a3dfa1cf9bf63826038b93fc608403e95eb3fb790aaa67a0e465ed3de6
041	p00-c041	00	p00	041	2050	2100	50	26099	159968	0efe6cab9ad9bff8aaa58b14b06c06bf3f6ba107caa60addd386621e9aa628a5
042	p00-c042	00	p00	042	2100	2150	50	26099	159968	46313510ae2849667e866faf3ca8adb82533a5343db18e8e3749e0cf160630dc
043	p00-c043	00	p00	043	2150	2200	50	26099	159968	140554089c9d1610c4ab299587068c38b83d4af08d441fcba28d9f0804356699
044	p00-c044	00	p00	044	2200	2250	50	26099	159968	a504e10c77b0764cd0c5a1813f1b82f238706c5bbc75b55bb170103bca2d31d9
045	p00-c045	00	p00	045	2250	2300	50	26099	159968	4ed6ffa9d2d782d3baeaa179044ee15af27c7b976f8b99391611c1b7a1363ee5
046	p00-c046	00	p00	046	2300	2350	50	26099	159968	b0c8194bbaa3d6640648950bf8175db966bd41aa3497d8127e548cefbf9e1e55
047	p00-c047	00	p00	047	2350	2400	50	26099	159968	b6889e015e907bede3b2b9f2d783ec059165af16338e25b30cb701c02f697393
048	p00-c048	00	p00	048	2400	2450	50	26099	159968	89dc79e2eb0d681af64e510412e542822527b78e94b802c7999a1b2d2f9dcd29
049	p00-c049	00	p00	049	2450	2500	50	26099	159968	170e7bd74644f2bb9e6ebee1c58f315f5f651bbbd9e13642efa5bbacba06fa16
050	p00-c050	00	p00	050	2500	2550	50	26099	159968	fbe299d40e3db47a263f28344d21c841035ad554fd0bdbfed53b7831d004adce
051	p00-c051	00	p00	051	2550	2600	50	26099	159968	94adf1c5e58f50a71e99d96cd18e76ade62c31be10103ae5cd2eb82d1e559dbd
052	p00-c052	00	p00	052	2600	2650	50	26099	159968	5f72a5d61277a5bfc208c3978a9a2d8d47fb2f93f001e1107569e6175d6bf553
053	p00-c053	00	p00	053	2650	2700	50	26099	159968	9168a9ef1879f1586000b32d476446a53f4a3fb41e277842a5105ba6cf6e8173
054	p00-c054	00	p00	054	2700	2750	50	26099	159968	0cacb9e0bc9016e6edc9a6a4ac9f6f2928cecdd24714e3ba6dcb66de26bdb516
055	p00-c055	00	p00	055	2750	2800	50	26099	159968	34f2fc5d780e4bd99ccc1b2a1db31221a65cb9bfd6ef0f5f73adfd1844f91662
056	p00-c056	00	p00	056	2800	2850	50	26099	159968	7631c3d38d6c393e7adc5d4cd97027d8832c9258d75abcc57f2e514fcc9e8e57
057	p00-c057	00	p00	057	2850	2900	50	26099	159968	a38cff1b01f79d422f66c71248e451e043efdfb67bebf96aa33bb373767ff379
058	p00-c058	00	p00	058	2900	2950	50	26099	159968	33fb3be81ea5879d35028b3155ed551dbab5c4e836b54ea73975bec675ac75d6
059	p00-c059	00	p00	059	2950	3000	50	26099	159968	7e99e5e0cf799bcac726d741b597e70a389f716189bbcc67e93555183e61357b
060	p00-c060	00	p00	060	3000	3050	50	26099	159968	5ea14f292a5d43a830d3fe3734a4b97275cc44f222d2ae39c6ce1c13f3fba238
061	p00-c061	00	p00	061	3050	3100	50	26099	159968	eb09e5111fb38495d47279ca9d1e7803654ea782fa9b4905e812007501342a50
062	p00-c062	00	p00	062	3100	3150	50	26099	159968	6ed93ab871274e22eb5c30a5912990a2b794c55d09ffc355ea4cc2553b23729a
063	p00-c063	00	p00	063	3150	3200	50	26099	159968	752bbc7db36f12c0a96f859680b761d96e6fafbf1618b968687b7dcdf4de3f84
