m6-clean-sink-balanced-shards-v1
clean-parent-manifest-bytes	1838
clean-parent-manifest-sha256	6e7eee0ddd5b4c7ef02cdf459c9a0647f720513e7ee4987a3a8b0c17af37eeda
clean-remaining-stream-bytes	2262190
clean-remaining-stream-sha256	416b7e51a73637784342a374be8e15a1a58032b61fc1140f39f0768d1ff4b642
clean-partition-manifest-bytes	2104
clean-partition-manifest-sha256	733e06c8aa9881e0006409efff23729f1bf88d8af7b1a70e8a78fd3775b53217
clean-sink-theorem-bytes	4156
clean-sink-theorem-sha256	bd0631529bb4658061663460b718ef2ee3186d02fdc599fb2673d3cff3b94ee2
balanced-partition-theorem-bytes	2490
balanced-partition-theorem-sha256	a6aa643ae2cad46349a8a1aee88f837e112532aef2858913c9e19289e8200a87
excluded-certificate-ledger-bytes	1807
excluded-certificate-ledger-sha256	e46e7189e50d423f721e481868b6c5b2cbe4f3ab9d208407f652a27c4c6359e2
excluded-certificate-verifier-bytes	7741
excluded-certificate-verifier-sha256	91f5b7c89d3ab23b63df2eea5b632aa64f1465f1baf6c15d9676ea5d4002aea9
excluded-certified-group	B6-l4:2470
cap	500
groups	7
q-hcc-cells	35
shards	57
parents	16392
columns	shard-ordinal,key,parent-group,q,H_CC,cell-part,cell-parts,parents,first-selector,last-selector,variables,clauses,member-sha256
24	B7-l2-q2-c0-s00	B7-l2	2	0	0	3	404	23617	24020	24020	204542	47ce4b108105f2e13e0e3e77d407c1a6daf4e074e9c58d65c5a7c22ac5549a44
25	B7-l2-q2-c0-s01	B7-l2	2	0	1	3	404	23617	24020	24020	204542	5b48cf847dbdd3b28769896425083c92bfa87d4a8fde83539f9c3ac14f74b470
26	B7-l2-q2-c0-s02	B7-l2	2	0	2	3	404	23617	24020	24020	204542	0b2e062419283f86e8201007c8921d0aca2de6f64110ece43c23baaa831030c5
27	B7-l2-q3-c0-s00	B7-l2	3	0	0	1	213	23617	23829	23829	175319	d7966a614fd931dedf7408acf6856e0670ec81ffad81f90ad9e96e06f88aec4d
28	B7-l2-q4-c0-s00	B7-l2	4	0	0	1	27	23617	23643	23643	146861	5c9b13e5113c707458e3989079127f9f7a435a2cc156234ac21844b101d544fe
29	B7-l3-q0-c0-s00	B7-l3	0	0	0	5	413	23617	24029	24029	205919	0e04c8547b35bdf72951315ea1510bbbf6e8087139e0bba728d9911c3f2262e1
30	B7-l3-q0-c0-s01	B7-l3	0	0	1	5	413	23617	24029	24029	205919	c05837ddec0391f710f80d91968fb118c4548f6cad86185029e31c6b70290359
31	B7-l3-q0-c0-s02	B7-l3	0	0	2	5	413	23617	24029	24029	205919	f0f1aa13d874e7aded8e1db3cb73233bfa9076d35e8a02bd2fdd3998b87757d9
32	B7-l3-q0-c0-s03	B7-l3	0	0	3	5	413	23617	24029	24029	205919	08297e49d45b848f43bfbccf871db7e06b0af12fbcd5e931a69a4ffeaae54e3a
33	B7-l3-q0-c0-s04	B7-l3	0	0	4	5	412	23617	24028	24028	205766	3142275bd9460f65d347e15a1ae7dc67b2638ef4cee214224af3edbeac5ef0c1
34	B7-l3-q0-c1-s00	B7-l3	0	1	0	2	362	23617	23978	23978	198116	4394b491b6f61ed13c5e1087628644052bc2ccbb401393570ef9ec56bb1b7391
35	B7-l3-q0-c1-s01	B7-l3	0	1	1	2	362	23617	23978	23978	198116	d221a524fe5ae5eda0d0b17df549dec5c8dc9c9ef0f417e1431063ffa15f7e8b
36	B7-l3-q1-c0-s00	B7-l3	1	0	0	3	436	23617	24052	24052	209438	438b85569c40adda1b8c80c70275f4d4d6d61005a1be6055d4a41edc4449154e
37	B7-l3-q1-c0-s01	B7-l3	1	0	1	3	435	23617	24051	24051	209285	9166965e2d738bf3bafd0afec694f8ef339a5fa40c84cecdb82d129d541bd5f5
38	B7-l3-q1-c0-s02	B7-l3	1	0	2	3	435	23617	24051	24051	209285	5896556861f8fa783c1f144f79bd4f767f6d43d1bf670577bd3c359a878377e2
39	B7-l3-q1-c1-s00	B7-l3	1	1	0	1	389	23617	24005	24005	202247	59e7f8086fa9604c44f1e164e774a6fb1206fd9a276fd8f30bfd74b3d2b137aa
40	B7-l3-q2-c0-s00	B7-l3	2	0	0	1	341	23617	23957	23957	194903	fba59a7113ece7be3670944a8ab67b00fadd5b25d97044fac2a9654243aa9271
41	B7-l3-q2-c1-s00	B7-l3	2	1	0	1	141	23617	23757	23757	164303	3e0b8b6538a5e000cc792c27c05384a52a1fcf45b539c13684c97b2459d910d5
42	B7-l3-q3-c0-s00	B7-l3	3	0	0	1	36	23617	23652	23652	148238	101ecdff89b75021859fc0380d478b68783a96d7c857b3cecc90a9a761182386
43	B7-l3-q3-c1-s00	B7-l3	3	1	0	1	15	23617	23631	23631	145025	acce66e93cdf58bb12d7914d030f1bd6ece3daff711f1cb7e88eecb38c4f599f
44	B7-l4-q0-c0-s00	B7-l4	0	0	0	2	409	23617	24025	24025	205307	06a0f462cf4ca849853e8026f13ac14a6ddffbde444e254dff49eab4265191bf
45	B7-l4-q0-c0-s01	B7-l4	0	0	1	2	409	23617	24025	24025	205307	10be32b5e164f479db5e45ae5cafea2c946b1c9b349c6eadd5a2f3883130c79f
46	B7-l4-q0-c1-s00	B7-l4	0	1	0	1	322	23617	23938	23938	191996	d5cf76542c1990d9a203c338b8ede60f6d63c635e2d133ded4de68c107b11c25
47	B7-l4-q1-c0-s00	B7-l4	1	0	0	1	290	23617	23906	23906	187100	2b41e8c9cc403a5aafdd2fdd74819d3bdd64af36656c3a4452c61218f2c940d6
48	B7-l4-q1-c1-s00	B7-l4	1	1	0	1	148	23617	23764	23764	165374	944396b330c46291b7ef556006db0466ab4397fae1fd2d0c54f4ad3de592315c
49	B7-l4-q2-c0-s00	B7-l4	2	0	0	1	47	23617	23663	23663	149921	0b00d4ef38704cff3f59c3e424fefa824e49f2044ab627ba26967a0e447df574
50	B7-l4-q2-c1-s00	B7-l4	2	1	0	1	24	23617	23640	23640	146402	d25d8b45492182eea24f7ec8e5a980b9e9e64360eeafa3c78fbaa72f86ccd83e
51	B7-l5-q0-c0-s00	B7-l5	0	0	0	1	159	23617	23775	23775	167057	55625b1ea255ca0b06444270a79261d80fac4de395dcf207ac1f838d56ed56e0
52	B7-l5-q0-c1-s00	B7-l5	0	1	0	1	110	23617	23726	23726	159560	ec56cc7b248762d995317fc01f3f44cd9b418f7b1d3e7b99d35e75453bac713b
53	B7-l5-q1-c0-s00	B7-l5	1	0	0	1	32	23617	23648	23648	147626	8345ca96ae3bfcecad432f14391915fd5ef647e8e1359d9879381c3071fbf8c7
54	B7-l5-q1-c1-s00	B7-l5	1	1	0	1	21	23617	23637	23637	145943	e76c15d70461b11532a3acf25ce956d1d33c85cdad483fa579f678979a176099
55	B7-l6-q0-c0-s00	B7-l6	0	0	0	1	26	23617	23642	23642	146708	fe57a16817b28993e800104355c5453c4541b9a69ed316c76bbb11b34c20c4f4
56	B7-l6-q0-c1-s00	B7-l6	0	1	0	1	16	23617	23632	23632	145178	3df6b686206de00f8788884266042acc456330ce8ef46d94819381f0b95e4f30
