m6-b7-l6-hard-orbits-v1
state-manifest-bytes	4382
state-manifest-sha256	a3b8f9d17b50dbfccd5f00740b33c6e90f6f10d26a3854dd627a45681e5c890e
state-hash-ledger-bytes	3163
state-hash-ledger-sha256	eec464838f7d01e6cf053c7cbf8fa1442068d78738f4bd2772b15a8417543ae4
state-scout-bytes	6948
state-scout-sha256	69c1d56145ec2544702717b252bd1e3796c882c68ca95023488b959e2af2f763
state-certificate-ledger-bytes	5030
state-certificate-ledger-sha256	037a4a6e51ef5cd76dc070bd461481ef90ac5520a875c0a96973c60f991172c7
hard-states	19
hard-state-incidences	170
orbit-leaves	42
parent-orbit-incidences	392
forced-C-B-arc-literals	14
columns	orbit-ordinal,key,state-ordinal,state-key,t,cb16,cb17,parents,variables,clauses,member-sha256
31	s25-t0	25	h33-cf-m11-b23	0	2	3	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
32	s25-t1	25	h33-cf-m11-b23	1	2	3	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
33	s25-t2	25	h33-cf-m11-b23	2	2	3	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
34	s27-t0	27	h33-cr-m01-b22	0	2	2	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
35	s27-t1	27	h33-cr-m01-b22	1	2	2	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
36	s27-t2	27	h33-cr-m01-b22	2	2	2	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
37	s28-t0	28	h33-cr-m10-b31	0	3	1	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
38	s28-t1	28	h33-cr-m10-b31	1	3	1	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
39	s29-t0	29	h33-cr-m11-b32	0	3	2	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
40	s29-t1	29	h33-cr-m11-b32	1	3	2	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
41	s29-t2	29	h33-cr-m11-b32	2	3	2	10	23626	144277	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
