m6-b7-l6-early-c-certificate-residual-exact-pair-hashes-v1
manifest-bytes	1666
manifest-sha256	ca7dd34a8382f5c5ff7d250c38daa1914f8cec6bde9efeb4945d9c8a1ef1b5d4
children	20
columns	cell,source-child,key,compatible-parents,variables,clauses,cnf-bytes,cnf-sha256
000	001	o03-i01	1	23626	144295	10402037	f38efca4a02ffaf56f46b82e245fab536f597cef6bc37cb6a54dac2510318433
001	033	o11-i11	7	23626	144331	10402545	795870204f3102fcc3ed2c6213482b51db0741fac0915f5d2c8568ae9bdbff87
002	037	o11-i15	5	23626	144319	10402377	87207b198b562939bd6258feaaf542ced367a0129e176093f2edc5b72c8b391f
003	041	o11-i19	5	23626	144319	10402377	926fe1dc8a6db6514cffa13b67bb403ffe3c5eb29cff42b2f5f31b1464d4f0ac
004	045	o11-i23	4	23626	144313	10402293	8f57c20f85aef0f962de0ed389e85971f05a2a2d3a14ea8d66a35b52567bcfd3
005	055	o23-i02	2	23622	143685	10392145	401897c638f506a4f36f06d7a042df03faff639444058e5f8b125126cb2d71ee
006	079	o25-i09	3	23626	144307	10402209	22d9e0429b58a8ef8e73f5e9cbf195384b09d058b2bc71bd5d34243daede2109
007	087	o25-i17	4	23626	144313	10402293	3fcb6b8dd7dd2b34460349adb063d08325e0e2b6c915671fdfc4cf3dbf9a2f6a
008	091	o25-i21	5	23626	144319	10402377	90d0d959917f431f6db6bb38d34474dcbd7efbd302be4bd7d3c060ea4cfa4f3a
009	109	o28-i09	5	23626	144319	10402378	22416ce70521c037c697047382eef4c9aa4d707cdc3ef24d75a48c2c708a18d6
010	113	o28-i13	8	23626	144337	10402631	0090931eac29570eac69c46e3fd340b42ceeb9bab19e7e6b5bcc51fb8ff850b9
011	117	o28-i17	8	23626	144337	10402631	9ce072e8f1fe8b66ee8fef2ef2dfc8e7087da49d9bca9f869ab72364925c818c
012	120	o28-i20	4	23626	144313	10402295	2404214fa8a30009871d1f4415aa938b08deb056a75aba10fc51bd56ba709d06
013	127	o47-i02	2	23622	143685	10392149	55d533bebb252cf9e0b8dc1a32336c1c27c63d9723bdfec976f2331c113cebd8
014	155	o49-i13	4	23626	144313	10402297	bc5e9609f2cde17bf06452fd0f0d71d9534f2ffc39ddf333d896b1785dbc0c54
015	159	o49-i17	6	23626	144325	10402465	6228c3947eb8abe8a9065fe3c864cc7e1dbca843b45f2ff8b0277a7b34da55c4
016	163	o49-i21	4	23626	144313	10402297	e267aee2b9553c409e29e73eb9e55bf575d08494093b00f0e988edd63157813d
017	181	o54-i09	10	23626	144349	10402802	dcbfb1ebccf8a17519e448060d35da78094d507be47f0c45b6e745f84ce77d83
018	185	o54-i13	9	23626	144343	10402717	75ee047c18c0e91db184daeee436546dfaefaff594037bd55c773964a671b0cd
019	187	o54-i15	5	23626	144319	10402381	1901b3832f1376fa10ff2e05f992c3162f0ba57386d5538acbeb6834ba5d9fd7
