columns	leaf-ordinal,key,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,solve-nanoseconds,check-nanoseconds,artifact
101	o39-w03	10	23626	144311	10402709	fe9ba1005a9651bf57877885069b0f6f62191f258d6e47e39420f026027d9bab	7103184	ced933341c0b6b1793f1bf37e20c6dd6313d08b8df0242f0ec045906eb258f5a	469160	530bf12e7c16dc314ba924ad0165f7f28199edc94bd97fef3f4f1182a2e9033d	252695333	329789505	certificates/m6-b7-l6-hard-witness-no-gain-leaf-101.lrat.xz
102	o39-w04	10	23626	144311	10402709	12fd857eb8cfa1e8379f33950de3e91b1f17e4bdbff9fc3bd30d978f3580b573	7104738	b5fd85fa65975e3c5fd99a1e17b1d645a2f789ac3fbe3c6ff5ad286dcc8316c5	469612	aebfa46734c64a0d2a4db3892a0cf804c2a15b326723b2c2af88a1162a1a038f	252444257	329800742	certificates/m6-b7-l6-hard-witness-no-gain-leaf-102.lrat.xz
103	o39-w05	10	23626	144311	10402708	a44ec7ba6540e6afdfab3f80276fcc33c8ef90b27b69e307c5389b256be25e60	7104783	a515e2b7a0ca4df4bbf1c3967dedff201c57246a6ae04ea01fa6b83e4d403a61	469600	a735a9982740ad4b5ab2a098dd1cf25464138390948acf284b9c37751d5a4be9	253110636	329358931	certificates/m6-b7-l6-hard-witness-no-gain-leaf-103.lrat.xz
104	o39-w06	10	23626	144311	10402709	43d0e25b88cdd3322f1b1b76c78e7ff65733503f8f1a495926595cc68312f9cc	7104132	a3879456c18671b6414c3206d3b3fbe7327528f0d1534f2e94a4f64749f2e856	469416	29b12141c4dc94c3d0ecd21d5b4ad7814029671a1eaa565670df15d394f692b4	253775665	335626455	certificates/m6-b7-l6-hard-witness-no-gain-leaf-104.lrat.xz
107	o40-w02	10	23626	144311	10402709	04970dceecd9c9f3ce3aa09f5e5031bb5ffc230a17f2a48d58fb6ee74a435d4b	7105434	593833f2888f03a02441c3aafc1ed1fba78685f333a4567ee9497f9a5eaa8292	469832	a1fb4d34dd673967bdca69509501d3e7bcf514db3a0a83a70f0c0dab0768ffb8	258323108	330466333	certificates/m6-b7-l6-hard-witness-no-gain-leaf-107.lrat.xz
108	o40-w03	10	23626	144311	10402709	70d885b572043c30d1e13039a395533cca8cf9f249b7fefbeb8a577c340999fc	7103235	f8597a668567f531d2b033d0e72b04396851e67ffce5fee0cabd4472906c845b	469120	eb7717f0a70cde113e3a03f6a1a9f24f09cfe84f64db2b3993ce651e56f2df57	252114252	329170908	certificates/m6-b7-l6-hard-witness-no-gain-leaf-108.lrat.xz
109	o40-w04	10	23626	144311	10402709	82c2b9e56b51ec90f0407ecb45f3962f777dfe29209b309a81a8381cab6fbf21	7104783	29b76dc76bb5b2ca1bd4aa9a9fed4500ddac06eada6bf060cfc97e87a6cf6347	469616	bd33a10a075256077b24bcc55aa9820e631c2660acfa2864a7d8842df54038c3	251773832	329621875	certificates/m6-b7-l6-hard-witness-no-gain-leaf-109.lrat.xz
110	o40-w05	10	23626	144311	10402709	8b0c8dcc57334996b8e19271137b2eb5981065610f12cb287a01fb450177d664	7105015	fbde29d6e6fcb767d1d45db2758177777fd3387e7349bffc231cdb7ea911a3d6	469660	f0dafb3704051f38ed017ffce13de536b67a84e30d7650d775e757163d0fe21b	251825699	332582750	certificates/m6-b7-l6-hard-witness-no-gain-leaf-110.lrat.xz
111	o40-w06	10	23626	144311	10402709	4e8f26fc11e3fbf32b66e639c381d9b4f73105598ca9164a51ca68a74bd137ba	7104356	5f1cba6dc17e9fb0c5a8a85e8a17f8ff5e828d5f7cd70ed05d6689e8fde19f17	469424	e4924334ccf0b7d987ba610825b084202296d488cbce15fca8fc3070d1871594	252615974	330534474	certificates/m6-b7-l6-hard-witness-no-gain-leaf-111.lrat.xz
112	o41-w00	10	23626	144311	10402709	8a306e21790534437ddf34305b38e2ebb771f38aa6c7d39f2f059079ec315654	7106034	57156bd02d71b0a67567b0b1ad47086d52012fd77405f68f929edeac714a70c4	469868	59a816b021b5c051c718bc812087ca70aca715ad67d2032ded03a814d75ac679	254052651	329527693	certificates/m6-b7-l6-hard-witness-no-gain-leaf-112.lrat.xz
113	o41-w01	10	23626	144311	10402709	41f23666aa9cd1d03db0344799590f12c418edbf078b8e4a0cde3a26487c4b00	7103556	a0ad3745fa66e16641f854b51c8ba03e9296aa0d426b5c71e795b2d0968e9daf	469116	fa8124483321180be32eda24798abf0436dd71c32991031d1529c9c74baee37a	252580942	329278179	certificates/m6-b7-l6-hard-witness-no-gain-leaf-113.lrat.xz
114	o41-w02	10	23626	144311	10402709	9386f8e40d4f4336052d0d5865436d38c00713464d8db89437ea6b9ea33182d0	7105139	079d393bfa8084ca42fab8ac8ae53bfef65f967f9e3e00d98c57d95f33b9aa32	469604	274e642b9ef516d896de004bd541e8faeabfa8ca22b4220f40176b60c1f2b08b	254190848	329947913	certificates/m6-b7-l6-hard-witness-no-gain-leaf-114.lrat.xz
115	o41-w03	10	23626	144311	10402709	b75701797ea5003b879f11eff6f2b3361ef3e3e5c4575145505baaffb83491c7	7135888	96420d3cd4c90ebacb64652b03b25ea5f6c270efd2b54206820c0be5f682346f	477188	223e1110e819c1ed4abe38eb40dca28ee1a381b4b09b0e5c483a170cc9812a41	256567715	330597949	certificates/m6-b7-l6-hard-witness-no-gain-leaf-115.lrat.xz
