columns	leaf-ordinal,key,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,solve-nanoseconds,check-nanoseconds,artifact
020	o05-w05	6	23622	143699	10392749	061ff505e08473854230e8049307f16d2438510b6d0599e2e6c8e3c8bc1e8a5c	7105672	92e7cb2a1ec21fcebd0517ea66e49de0166b3d7d97bc7e6bb3c8a0442e9a8954	470436	e3c915baeb7204baf8983be4e67c6d4c126f08556639a90056ab02f8816ba001	253973983	329578510	certificates/m6-b7-l6-hard-witness-no-gain-leaf-020.lrat.xz
021	o05-w06	6	23622	143699	10392750	3ece1dade4a2808fe39b5738b833027273cd051573d03de63c5f97d69969478d	7104785	84504e5f8f61597f390fc2f698cda9306e934b954fc22eb12bf896c3a0224c22	470136	8e3e025c39bc1e2d7d2526b0a3d69710dc8a2b7c1d4af8861305e4cdd324dc44	254682234	330581446	certificates/m6-b7-l6-hard-witness-no-gain-leaf-021.lrat.xz
022	o06-w00	6	23622	143699	10392750	f4c22fb37d5f0ecdc60d624184d9d35359e4123e1863322b1c2aeed0c26db1bd	14906106	9dd438db83deb88f673a91fb39ee6cd0d7a771fefd0f356908c69ad5ba496e32	1404768	e87108aaab8584c257e1342c7e0a146638d5bda60746178e6e84deee9add3e45	662361452	470874460	certificates/m6-b7-l6-hard-witness-no-gain-leaf-022.lrat.xz
023	o06-w01	6	23622	143699	10392750	c09e6a5f248e999525ed2887a4e8a8d02dcd1644cf6f31a22425663f53df0f40	7104450	a0f490bb40fa1233f9a74abe8c464c771201154d044cd12126ab5a21c62ace73	470032	31049aab08cb175020818c7e2ebe207c07ea50fffeefd9c06699bf75c9b67307	251117577	329854894	certificates/m6-b7-l6-hard-witness-no-gain-leaf-023.lrat.xz
024	o06-w02	6	23622	143699	10392750	b97d52c3bc42222220a9524fe5c7da3b7dffd5a37146b594adf2c82b62e876fe	7105902	20116edd2a1fa2295c92d5345b3aa717f829f6636b2c22dd28320742736806aa	470488	9cec9d5bdf6dd34b87e25b6087385591ccd7d46359ad2b3fea01ccf08ef91e8f	254364419	330080933	certificates/m6-b7-l6-hard-witness-no-gain-leaf-024.lrat.xz
025	o06-w03	6	23622	143699	10392750	94cff6c170dcc389dc06daa4d0eb7f3581aa47bcdd03b1d622677272a19edf3a	7105350	d516d38bf49f86641dc048b90560e5a3ddb3e6cd5cb0a83047d40c410d8b6429	470288	f03824a026ac4ada4f30a9166c80360d523940e405a06bcb2deb3e961f4e8c3e	254116236	329255978	certificates/m6-b7-l6-hard-witness-no-gain-leaf-025.lrat.xz
032	o12-w04	10	23626	144311	10402710	852aa5304f8fb1641368b55c9c508cbe6e2d8aad41fcc296e617c5b330770f80	7132352	36805adc47d2a8e0487572a3d798cc0798ae03968c85c3bfe2c866eb7f4f406a	476624	a1fc5d7012e6ed861b13d8ca5a89cdbd09e5ce0720a7f4273365570ddba2719f	255938670	332447814	certificates/m6-b7-l6-hard-witness-no-gain-leaf-032.lrat.xz
037	o13-w04	10	23626	144311	10402710	cd3eb9140e64de2b61592a78178c5fcd77b0fa3526d39086fa653918f303c67b	7131839	c05cea050215ba01fe821419747c15435901ab7e57aa23704988d6855d474c43	476412	717b1f93f363d73ac14906190f95c4a63f981ddd00dacdd22f23ee2fed61851a	255357158	329898860	certificates/m6-b7-l6-hard-witness-no-gain-leaf-037.lrat.xz
038	o14-w00	10	23626	144311	10402710	7828b42b8947e385d3874107bffa1be6ca606751535005044284b947f9e6a18d	13516107	38a9121da8ac82da252795e3d780d3d5a9facc651727580653af1ac3b7790390	1195920	337123e0730abd822950b91a5a794e9b4da3df58270d63aa8d43aa1e3ea42bbc	539881788	448718237	certificates/m6-b7-l6-hard-witness-no-gain-leaf-038.lrat.xz
040	o14-w02	10	23626	144311	10402710	acf983cf8fbcb3aedfd481645fc2b7c203db582cb21d909192f548ad3d8d6883	7131724	6fde6fd293181fd277eb39a84e2f7fdecd2ffe7bff568f707ea5daf8396672ff	476232	fa19037c6c7ee85137c6e50a84d4d43327a7099ece63804099438eee3b88cbd3	257523027	329278680	certificates/m6-b7-l6-hard-witness-no-gain-leaf-040.lrat.xz
041	o15-w00	10	23626	144294	10402568	839c159cbc613d97706cc86d1a472a10ce2a42bb684a086624f405169ec5e5dd	7104995	4245564a2bc69edc8754e57108a060c459cbc3b2fb9dd1237b66f68d09e2a439	469656	7d176d364e014122815c7bd028e7d2dbcfc61f5c51345444b697549a65995cd7	255002783	331045865	certificates/m6-b7-l6-hard-witness-no-gain-leaf-041.lrat.xz
