m6-b7-l6-hard-witness-no-gain-v1
witness-manifest-bytes	7151
witness-manifest-sha256	0329c78e2f563670c623206daf8b6b143c3813eac2f50d5e6f7c12b6b791186a
witness-hash-ledger-bytes	11078
witness-hash-ledger-sha256	d38e453e802408fb61b0c8f91641f16e231cfbec875993256b8dfe5acfa59513
witness-scout-bytes	48447
witness-scout-sha256	1452d679f8cbb12350ec37564f69303fdbc04b3cecf1c037d66f99d8e72d1a3a
prior-certificate-ledger-bytes	6987
prior-certificate-ledger-sha256	cd46a986097405c2d270f15f2525df67e586cc53137e09ef5eafeafd42f2bd02
leaves	117
parent-incidences	1066
children-per-source	1
scope	exact-no-gain-only; gain refinements excluded
columns	leaf-ordinal,key,parent-orbit,parent-key,high-C,ordered-witnesses,negative-path-units,parents,variables,clauses
000	o00-w00	00	s01-t0	17	13	16	6	23622	143682
001	o01-w00	01	s03-t0	16,17	10,9	32	6	23622	143699
002	o01-w01	01	s03-t0	16,17	10,14	32	6	23622	143699
003	o01-w02	01	s03-t0	16,17	14,9	32	6	23622	143699
004	o01-w03	01	s03-t0	16,17	14,14	32	6	23622	143699
005	o01-w04	01	s03-t0	16,17	14,15	32	6	23622	143699
006	o02-w00	02	s03-t1	16,17	10,13	32	6	23622	143699
007	o02-w01	02	s03-t1	16,17	13,13	32	6	23622	143699
008	o02-w02	02	s03-t1	16,17	13,14	32	6	23622	143699
009	o03-w00	03	s05-t0	16,17	9,14	32	6	23622	143699
010	o03-w01	03	s05-t0	16,17	9,16	32	6	23622	143699
011	o03-w02	03	s05-t0	16,17	14,14	32	6	23622	143699
012	o03-w03	03	s05-t0	16,17	14,15	32	6	23622	143699
013	o03-w04	03	s05-t0	16,17	14,16	32	6	23622	143699
014	o04-w00	04	s07-t0	17	13	16	6	23622	143682
015	o05-w00	05	s09-t0	16,17	10,9	32	6	23622	143699
016	o05-w01	05	s09-t0	16,17	10,14	32	6	23622	143699
017	o05-w02	05	s09-t0	16,17	14,9	32	6	23622	143699
018	o05-w03	05	s09-t0	16,17	14,14	32	6	23622	143699
019	o05-w04	05	s09-t0	16,17	14,15	32	6	23622	143699
020	o05-w05	05	s09-t0	16,17	17,9	32	6	23622	143699
