m6-b7-l6-early-c-certificate-residual-exact-pair-singleton-parent-v1
grouped-producer-bytes	8899
grouped-producer-sha256	61ffaf4d38fad6e70034ce65491e1ecba035ae41dba318d5f44a876097fa1ca6
grouped-checker-bytes	16343
grouped-checker-sha256	42dc724e9e8ad825dfa84d897417945cbd255c8e3e9368b2a5abc92c3d0307ab
grouped-manifest-bytes	1666
grouped-manifest-sha256	ca7dd34a8382f5c5ff7d250c38daa1914f8cec6bde9efeb4945d9c8a1ef1b5d4
grouped-hashes-bytes	2361
grouped-hashes-sha256	0c719c2798c78c00c03c013396fa2d359d16abeacb9e9adc397527bead453455
grouped-cells	20
memberships	101
split	one CNF per cell-parent membership with one positive selector unit
pair-pattern	selected parent has two negative q units and seven positive q consequences
selector-disjoint	distinct selected parent projections are incompatible
selector-exhaustive	each grouped selector ALO is partitioned over all compatible parents
proof-status	scout-only; no LRAT generated
columns	membership,cell,source-child,key,profile,pair,parent,parent-projection-fingerprint,selector,variables,clauses
000	000	001	c000-o03-i01-p01	03	0,3	01	76617164c7d9ae5f0ed7d40b70a0e8772d808738af87619aa945b0ed22480661	23618	23626	144296
001	001	033	c001-o11-i11-p00	11	1,16	00	1b245415854fd396f80cfe1db4f7874d37ee925476c51f4090217959e36c5bba	23617	23626	144332
002	001	033	c001-o11-i11-p01	11	1,16	01	c0293a2318bc4237a8a1f4e9045488f78aef48b77d76eab89bd43ae8ef1f99eb	23618	23626	144332
003	001	033	c001-o11-i11-p03	11	1,16	03	348aadbca31fe2e078e3f8c368bddcf9801544832511ec6874612cb377d0b034	23620	23626	144332
004	001	033	c001-o11-i11-p04	11	1,16	04	8f2e88e74cf8fc51171bc464ef2a2f10a49ec923932b78a3d5d48c80f98ea8c8	23621	23626	144332
005	001	033	c001-o11-i11-p05	11	1,16	05	ba3df47ae9c6e391f1dc4cd0506fb959f876433e412f91484a5a082c05510187	23622	23626	144332
006	001	033	c001-o11-i11-p06	11	1,16	06	1771a70c6d7b297992030fb6c2abdffaa697390a067ac3923a7c8611cde45cb8	23623	23626	144332
007	001	033	c001-o11-i11-p07	11	1,16	07	dba6cc85c1ade615069a0ee6f52aea16b0d853d3b743419254801498ab0da7a8	23624	23626	144332
008	002	037	c002-o11-i15-p00	11	2,16	00	1b245415854fd396f80cfe1db4f7874d37ee925476c51f4090217959e36c5bba	23617	23626	144320
009	002	037	c002-o11-i15-p01	11	2,16	01	c0293a2318bc4237a8a1f4e9045488f78aef48b77d76eab89bd43ae8ef1f99eb	23618	23626	144320
010	002	037	c002-o11-i15-p02	11	2,16	02	00d01c4d87746f6fa208b803675a51d0fe01b2dba137f2f5f19157b726cc1f81	23619	23626	144320
011	002	037	c002-o11-i15-p06	11	2,16	06	1771a70c6d7b297992030fb6c2abdffaa697390a067ac3923a7c8611cde45cb8	23623	23626	144320
012	002	037	c002-o11-i15-p07	11	2,16	07	dba6cc85c1ade615069a0ee6f52aea16b0d853d3b743419254801498ab0da7a8	23624	23626	144320
013	003	041	c003-o11-i19-p01	11	3,16	01	c0293a2318bc4237a8a1f4e9045488f78aef48b77d76eab89bd43ae8ef1f99eb	23618	23626	144320
014	003	041	c003-o11-i19-p02	11	3,16	02	00d01c4d87746f6fa208b803675a51d0fe01b2dba137f2f5f19157b726cc1f81	23619	23626	144320
015	003	041	c003-o11-i19-p03	11	3,16	03	348aadbca31fe2e078e3f8c368bddcf9801544832511ec6874612cb377d0b034	23620	23626	144320
016	003	041	c003-o11-i19-p04	11	3,16	04	8f2e88e74cf8fc51171bc464ef2a2f10a49ec923932b78a3d5d48c80f98ea8c8	23621	23626	144320
017	003	041	c003-o11-i19-p08	11	3,16	08	572b2bd3d417138ce981bb44688b4dfcc01c0e76b0aa03b560d1c30191080a8a	23625	23626	144320
018	004	045	c004-o11-i23-p04	11	4,16	04	8f2e88e74cf8fc51171bc464ef2a2f10a49ec923932b78a3d5d48c80f98ea8c8	23621	23626	144314
019	004	045	c004-o11-i23-p05	11	4,16	05	ba3df47ae9c6e391f1dc4cd0506fb959f876433e412f91484a5a082c05510187	23622	23626	144314
020	004	045	c004-o11-i23-p08	11	4,16	08	572b2bd3d417138ce981bb44688b4dfcc01c0e76b0aa03b560d1c30191080a8a	23625	23626	144314
