m6-b7-l6-hard-witness-positive-gain-coordinate-residual-singleton-parent-hashes-v1
manifest-bytes	207703
manifest-sha256	953f94ea423c3cd573a3e9bce43ba9fb4d5d6fa80ac2ac1426e7129e6435c0c5
memberships	1382
columns	membership-ordinal,key,residual-leaf-ordinal,parent-ordinal,accepted-ordinal,cover-index,variables,clauses,cnf-sha256
0032	r005-o01-w02-c16-p02-a24123	005	02	24123	113021	23622	143669	1d7fb9813807537d98f06e5dde8287502391c69dc5de34ae1c779e21761c75df
0033	r005-o01-w02-c16-p03-a28682	005	03	28682	119452	23622	143669	e7411f3da3215d392191309740f3624e9e568332271bd525a39343fc314c14dc
0034	r005-o01-w02-c16-p04-a28744	005	04	28744	119564	23622	143669	7ce047bee3f93102b9d5b3ffec2c0832c1227237b910ccbf36218f4f9f215ff2
0035	r005-o01-w02-c16-p05-a28749	005	05	28749	119573	23622	143669	a4603e3900bf49316f5bebcf7097525614b35df06013214c70ad9739cf17481e
0036	r006-o01-w02-c17-p00-a24090	006	00	24090	112962	23622	143669	eace570f15bfe514fbcf00ae98c376ac35dffd3ab6d54f3d8e9f385868654f0f
0037	r006-o01-w02-c17-p01-a24118	006	01	24118	113012	23622	143669	2d0dd2fa2fbe36abd0490c46d5207e42af45106fb4e70d7448ca6c33847e7c41
0038	r006-o01-w02-c17-p02-a24123	006	02	24123	113021	23622	143669	faa736e9ea3743c6203afb3d8734f17642c6b3cabeb09982c76335d31729494d
0039	r006-o01-w02-c17-p03-a28682	006	03	28682	119452	23622	143669	17931e79a8f331b2ab8e5d25e292c2109eba635cde9a688b54b0a6ff8da5a672
0040	r006-o01-w02-c17-p04-a28744	006	04	28744	119564	23622	143669	1a41b7327251885e4bb0e5eebad62cc2bcd2c68e5a87718d72b785e5246b8739
0041	r006-o01-w02-c17-p05-a28749	006	05	28749	119573	23622	143669	138459a6fe74b338e3780f78ceb85a413c470f62ff4d91d1ef319d639e638897
0042	r007-o01-w03-c16-p00-a24090	007	00	24090	112962	23622	143669	50fc9ea6c3c7ccc8038845a90ca681419475c0deacf563c3d91a407175ec84c7
0043	r007-o01-w03-c16-p01-a24118	007	01	24118	113012	23622	143669	5029132ecbadb1545683f439204fc624786f13d382fb482bb18feadb7d79ea70
0044	r007-o01-w03-c16-p02-a24123	007	02	24123	113021	23622	143669	d713f0f416ce49d06468c2f3a0809a4d64704049245ab7c91600f846dddd23fb
0045	r007-o01-w03-c16-p03-a28682	007	03	28682	119452	23622	143669	4ee879ee58b2a49480945c0510f29056fd7ce830d5c98e17e7954be1a4f1feee
0046	r007-o01-w03-c16-p04-a28744	007	04	28744	119564	23622	143669	68620dc26fdf8a08300f37a2b07913677d0c92b73347d1edc1ccd94d1737c40e
