172	p01-c009	01	009	0450	0500	50	26099	159968	10784712	c8a1c35da6f8bb94d2d01f263cc22005856092f83adec859072f684ce2059032	26872638	3d719a1318a7d75b0a84e6de5265316ce6bdfc68b402d5bcde2480e132fbae08	3890920	3e62f702554044e1c192d9e807734772e8c8b920bbb5e2c1426c890444df803b	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-172.lrat.xz
173	p01-c010	01	010	0500	0550	50	26099	159968	10784713	4015ecffb3f1f261f913e2220c1ec2906f003167043d6ea4771e0a839b618c50	27628338	2047fae8a7c0f4b3358dd6c367e2fe8bd15d30acc3e31cff2729fdfb59b74537	3928760	3076ee54689b76bb9f36c5a4d21a1917e095bd5b4ba694cdec235c4ecaa73655	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-173.lrat.xz
174	p01-c011	01	011	0550	0600	50	26099	159968	10784713	e9c6d24fefce37813e06cb3deb9b14b254e693f5192786699ad8e395c9279361	26851523	6803b2346f8fe11a7723901787f450b49ef8a8113c9fe6bcb22255a407fd979b	3849396	a39bd3a9f543a80bcd539b4d0c8ddd84fad865ee9ebcfb0738268a773ac339e6	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-174.lrat.xz
175	p01-c012	01	012	0600	0650	50	26099	159968	10784713	20acc98175400fc59736d4b29f2a89b27bb830dd89dbc93c84925f678ec50c4a	31549618	e974cb0e01b9f32e05c70a8e2fc2c310741f0cb4f3cc988a258e491212276e85	4942280	e2522efb7cdd679efa77e9965d2820197f778f570e389512af2132490da907ce	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-175.lrat.xz
176	p01-c013	01	013	0650	0700	50	26099	159968	10784713	8efc2e063611b7bac08d6238223ee8f88f288cfa8693cf9d89ed950668e80e6a	33772241	f47e1dcecfc3bf481003313fd2b826f10da3fa0ef701d0ef8c749838e6964317	5445188	d9b94bcba6c5e96f8587ec204f520028b8401d22de9f5afa5f90733ba158518b	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-176.lrat.xz
177	p01-c014	01	014	0700	0750	50	26099	159968	10784713	f91c82c7ed30571b92c4e67ce6b72748292388f249fbe63bfe57bb99713e620a	27395985	b3eb147a78ec767731a033dc8302c2df9c5ee345e795472f352dfca1fbc78d5c	3978652	e04fb2e8cc2e46b4e72f277a263525139769ce726eb144ed458199a01a9d15be	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-177.lrat.xz
178	p01-c015	01	015	0750	0800	50	26099	159968	10784713	a8b1e99cc5fe7a157508715dd733022c16acb68236241c862fde3d2f6fc9c541	23927922	4d19d0f301d9e02476c69fa9830d82f98025463e91283736a526ae83bba4fa7a	3293828	2c0c1f8daa695eedcc2e0f7f37046f7ad5a9750a4f2d2c9e6530c93bf53666e5	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-178.lrat.xz
179	p01-c016	01	016	0800	0850	50	26099	159968	10784713	7e5b354cd3c72be590b0b8b456dbf3fb604d7cbc21fc93bb8a412d3e438f2e4f	30278877	bca61f830c04d90a94085bbf52be9502c6d426bc9fade50364df04f8c6fcb6cb	4643868	5980bc59cc3f1c89913429550270d94cc2e859b044540a35d8a756a97661647b	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-179.lrat.xz
180	p01-c017	01	017	0850	0900	50	26099	159968	10784713	1d5e9ad9222e6485edb67adf9ca53701bb785b0a164e88c739de47d41c2c58f9	31947196	cdc417632daddcc3ca5b4c69cd5c6335a7c0b5bcd21737077a445919bf8b4e26	4947804	331b86f07542fe8e8c8c109705f884b2ad7a6e23621f9893ae6d2f143c0ce428	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-180.lrat.xz
181	p01-c018	01	018	0900	0950	50	26099	159968	10784713	6e4cdff9146c3d804e1df08f49fcf1d3c779bc628b071fdcd3906e8b76589715	24745399	75af584bf414a9bd51b4d0f47e3f63b0a72899713d078b7ce5f8ec43348eed6f	3351204	84a969deb383ace76608f094fafbccf8253bb6371d2d25bd61ed37ab6dc9db91	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-181.lrat.xz
182	p01-c019	01	019	0950	1000	50	26099	159968	10784714	1cbdff8f031afb5709b19c9f44b8c39db20534196ba429e8f593f2989fddbcca	30960575	c94d1d72f9484e3caff0f1f01b06f5cb49783d8712f4163e7386efaa92755603	4740524	be62440e27f7939714fe3c780e3df016561ee88e850bf522bb9378908d99552f	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-182.lrat.xz
183	p01-c020	01	020	1000	1050	50	26099	159968	10784715	8a596e8ecefbae53bf5bb92c370086aa506cc97d891582e562ebac331b73e79d	30744813	75b7b7ce55c8357a94646f4951fe0da55a0993c784d6c83fa51d6b25ab0e5ecc	4660856	b2cd2ba7a985bb00c99a56bac5cbcdfdd014fc985e7ce85da3c13aad05104da9	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-183.lrat.xz
184	p01-c021	01	021	1050	1100	50	26099	159968	10784715	1e4f7133009086dc8304cf60f114ee54636318c40457beafd94d7a7dcd5fe27c	31323369	11f32dc2dea0d5dc286aa23167d9b8dd8ca58f5ef85a5c6188305b6d546623a0	4932460	34a2a911caef5f6e9f0bdcc310eb2ee1828bf928942cf7c334ff793e21c99d36	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-184.lrat.xz
185	p01-c022	01	022	1100	1150	50	26099	159968	10784715	0e407fb18e54dd4187633a0edf1399dae2ac9ae536241288e6e8273af18c5c3d	25372777	5487c47eebd608b1bcc7ff5041c7609c38208bf1257c86b2c12790dcf71e3e18	3436568	f8215a3287228e65e353f769cb3d74fc59b5eff5b30a82f4b5af4e281c3c4dc3	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-185.lrat.xz
186	p01-c023	01	023	1150	1200	50	26099	159968	10784715	de17ae7174c7f8526e8e542c4b4b9fa000c954b17490cb7d9e1c503e8b1885a0	25866384	c166ba895e9cf232d847cbc83a8e3c2f4fc58b30b801cc35f4611c90a18fd246	3710792	39146b291ccb56260fee05f930c1a061514a96d5d98775c8f55b36b0e3e2dc23	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-186.lrat.xz
187	p01-c024	01	024	1200	1250	50	26099	159968	10784715	c4d25189c639b332938e0e8ea40780c27ee0beaa0aa001712a8ca6a2b4155ac5	29161170	b8f1888df543582e458c3cb75963d91b42cb9c9881f6df197f12a7865d9f8fc5	4287772	015311f2615b760be47f9a5f4a9cc8cc3ad765a4d94702b580a51cb718e1e15f	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-187.lrat.xz
188	p01-c025	01	025	1250	1300	50	26099	159968	10784715	7be272c1f8977f18fb3cbebe01832c2cafed0a2c5dc96b8ae603c94343de616c	25471799	3ef0fd07ef19428a01e5a6ab2e72e084b1f9ae408a80e9642a031c819a4f8318	3474060	8ed23cc308353317f955ca67a858b596c1f402ac7d9822829b81581a3866772b	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-188.lrat.xz
189	p01-c026	01	026	1300	1350	50	26099	159968	10784715	16c5285c7ae60103b6aae073a9cb4ed561fbd6c93259c3cf4edcb2ec9154c8e1	31805162	70fbe71d6d950d75329927b39e763efb3fffe7e19d60715b04346b9d39e5b95f	5134152	9714d45364e37262e3b1e1691e4baa8612abc89558a148a809764196bb037342	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-189.lrat.xz
190	p01-c027	01	027	1350	1400	50	26099	159968	10784715	d5d0cfe2e1517623d482369a3261e978d8a90c7384f20a9e4fd797aa602f18f8	29874922	76eced0af4bac016a2853ad498abedf8cb18f37ed318bb86798860a13bd8021e	4792332	cdf7f368e310399aa50356a0ed517ee543683437985c81525addbdeac01b123b	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-190.lrat.xz
191	p01-c028	01	028	1400	1450	50	26099	159968	10784715	55903af5b5f0cb5a81e809a9a8201a05816e13a31cd33b55b974ab288fb614af	22972289	0a6b269fc4b4ef1807ca23e0b2f0b50916de731d142e507cdb42ff441fcf0703	3062356	3d4976e1edd4b7851f76d69b9776ff3709e24488f27b312ec39e28ca3e8988ac	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-191.lrat.xz
192	p01-c029	01	029	1450	1500	50	26099	159968	10784715	ab962104a6544a6d37cb634fccdba749bc0f0ac0ab86f479b833bf1eebefa18b	31021574	b08a33fb8c20540e84df5b2492c5ab7f344b0141cf3a02d0a7c77b53315041e3	5018136	d7a48eb50cd4cd4e3a4d66350c1ddb3159cc8bdf010f5485eb45d12a3b32f585	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-192.lrat.xz
193	p01-c030	01	030	1500	1550	50	26099	159968	10784715	bdd97f6088b615637f3144b3ecd721f786612dfb3cb530e9f376f7e6b1654125	33646743	8b73a5443847d28fad427462c15df32c37e405caa7f84e68e92f6c228821e368	5409984	29b81afcdb1e0ac1af645321f312839d3a16bf62908af99da45fc7fcff45fff1	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-193.lrat.xz
194	p01-c031	01	031	1550	1600	50	26099	159968	10784715	4a90222890aa838a38ce72e4cba7e43064f7b08d3ae97e3faeecc6326dc16b1d	26509303	85c2770951cdf6eeddeff3225a57a4732d36a421defaf7b54931ded77eefa0dd	3757340	6c2a81f115043087fdbb301560d7a8c5ec69b96e6d949aeb821e30259d5eb600	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-194.lrat.xz
195	p01-c032	01	032	1600	1650	50	26099	159968	10784715	795c986fdff0bbb7d5ca2121fba3752b5a1ad7896976ba446fca21252d456480	37241068	11e5d7a17b5db213f81d5b238d24d063213fc9513b34189699e97da1150fac86	6030364	8c7e82bded3ccd9fcefa7e001526b9906e3a7f4dd99470da4d508c9d6603b8d8	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-195.lrat.xz
196	p01-c033	01	033	1650	1700	50	26099	159968	10784715	a75311a2a4e465fabb4aead546b9501d8b0c37cee22c6f798c9dff2e0b13dfbc	28584300	90aed0f5d97f7c461d7cbfac2977e80e1e9f1a0f258219a8193429d341be31b3	4214900	44ef6253da9fcefe231af4bf4730bff0c8ab813e5f67d30f1d77aa05e8cc4761	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-196.lrat.xz
197	p01-c034	01	034	1700	1750	50	26099	159968	10784715	9b8c4e9229aee6575d53f48a5d22f82f282281abe837d94669b9c875aa599c6e	25677923	21796b8d8f14e989c7f0c9a1a7de4f4684bb0ebe5a575ab67a6785e576ed8940	3748120	58266d4b74e1a84d9bb3bd6bad42a45187985fabbd533089ca33618a5807d18d	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-197.lrat.xz
198	p01-c035	01	035	1750	1800	50	26099	159968	10784715	c9303022c093a1948d7fedc8f51eff7e800c6525e7f9ba35fb2cdddc6d1785f2	22784410	e13fba5044a6a1166c0930ccaa20de91bad0b7365a22bdabf9e64528d9b006f5	2994624	95b8ffac96823754a6e0e0ae56239e15869cd59aa8d04809f39292a087b11578	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-198.lrat.xz
199	p01-c036	01	036	1800	1850	50	26099	159968	10784715	c2712496c6626c4a04b3069d584290f87ae7516ae1a8f536453655e76319cae9	25663169	d8b13ce68561ed2f9575a7530514eaf530162d11dda843022bab383705a2e7b1	3601728	555b2ace7abdbd2032d88f215e609cb063e021fed35b47678638d1af26120a70	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-199.lrat.xz
200	p01-c037	01	037	1850	1900	50	26099	159968	10784715	1b1b8362ee706cd2e9502ffbad5116e0a46c535b8598db021f69e81d4a7369d0	29278165	72e30e3ac9963972d5d5eaf3a3d42a442cc42e8dd49c93de5734f1c33f5ac6ee	4410768	c02c31a9b94dd41a1231c031ac82e68621dcb080cd70e7fdd3e5657e818ae2e8	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-200.lrat.xz
201	p01-c038	01	038	1900	1950	50	26099	159968	10784715	600400def35be991892e666242ca517d6b628a2a9fc5367199f27c57cc1a2bef	31727484	92a4c85153fc3c08a46ac79c15a0b5ea1ff4b21cf6704ff8aed0623b363762af	4869948	75d1f967593a2c22bb1f50ed187ca1b239787f1d9d48486ce9f0de59c944a305	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-201.lrat.xz
202	p01-c039	01	039	1950	2000	50	26099	159968	10784715	b8fd1d0108698fbf97868e44649e87ba9bb30729eda41c9b263c4aa3d16ebc43	27448054	e88824d90ea539eb6afd923343dba1a98f41665ac63810be8366ecbbed16f636	4130828	4f081b193a66fadc385cb8ee9c7f046f3665e6b3d359ace6949a8afc457d928f	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-202.lrat.xz
203	p01-c040	01	040	2000	2050	50	26099	159968	10784715	168455303c2f96ffe1b92a483483b931432d03b47e0cad1e47a37eff18cc14d7	28771132	7a8a744794e8b76feaee6d2875bc2f2e9051ab1cf20d26dab6864bcd08befbd5	4230652	479c0675cdf1b68d2b168ac791d3279586ed81f1e467baa49a62274527b8da7a	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-203.lrat.xz
204	p01-c041	01	041	2050	2100	50	26099	159968	10784715	10b5ea4e1aa6cc9e8623ae74aae39d13e47bee8aead82dcce360d20227ca403d	25439225	2395b14b9881a161f5d7e0a18c6f34bf22ac1632a7d53192844a8167aa3c3199	3503668	212d99ffaa9a7ce1fd55e8e600863bf582929c777830a0c9c7eccb0c4b397d63	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-204.lrat.xz
205	p01-c042	01	042	2100	2150	50	26099	159968	10784715	70cfe833970fbc5d489f7ba2e3aa48d881567cced218650643cf072971aba749	30962365	0020b6616d4c3bdb92c4dbf6cb8f4a26c700d5bd6ddff89a85cd0373fad9512e	4693536	8338952bcf288a7850ec1d9d3ee32dd160391dc64a9ae784fe1b1c9a8324f2e3	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-205.lrat.xz
206	p01-c043	01	043	2150	2200	50	26099	159968	10784715	367c982075f9d2c7307870aa4f2aea97b6e1264d3d2e0bdde0694bfd5844ce33	33122245	b979de61002bde8543273f275a538e6a698bfbdc4d892f7b81ceb9c0feccc8e2	5166632	d76dffa5cf7c7ef01afbc58ec71c4b88aeffe83f0af0cbef867e531826ba9fc0	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-206.lrat.xz
207	p01-c044	01	044	2200	2250	50	26099	159968	10784715	b4f826a36f2f7a4d64b21e70ecc9d910d1e70d721b453a67ac25aa84138f9499	26041594	23fe606ecd03c6d1519115f1aa105e05cefd911ed1e351932f65dea847b0e161	3625636	c2c81228cbb7261bbd7211ecf3b5c9e5f305ffd42f0b3db982eb94f2cd20dd7d	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-207.lrat.xz
208	p01-c045	01	045	2250	2300	50	26099	159968	10784715	62d4157150f2f59b4136185242d999294d2c9b10788ddfdd2d249bce4608d9c4	32273484	f8581af895a37422f345ebb80c7172b7b5749e84d632c1fa0fca097509e0a131	5074496	5bd2405b7674d72c47e3afdb7b343ade85d2b72a6b21e1ea078c9169959bb787	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-208.lrat.xz
209	p01-c046	01	046	2300	2350	50	26099	159968	10784715	30f1b5dc2308d171f348876749edc8e624ff0281f1c1a110e287e607b016747e	30586047	442824e54d3aa509eb6354ee0e6cdaa35ffa38ceb5ae49d627084a9e60d2575f	4675624	ca106265bc614c1a764f90c794ee6179f0f0edb76af1a9083814fd4f84072514	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-209.lrat.xz
210	p01-c047	01	047	2350	2400	50	26099	159968	10784715	c43bb6e71c39e7ffffab570614e6d6b245a06c7f0d9f1a018c78e46d5283d64b	27447476	51ef637f842de7cc3524c1a11330e4d929410cbac580f5be70c199a36f4ae68a	3953968	1a5bff2197adaab7232eedf28d425420f96d1d6aae60c08ec3c2c6f89474347d	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-210.lrat.xz
211	p01-c048	01	048	2400	2450	50	26099	159968	10784715	00a4a3a922ac448a55dd51adb70a5114ac231674cf95a91785246dbf5290e1c6	32139919	3032984f62bd35f852daa4426b2198192c59e27b96b44b7cf632077c3e205b32	4859072	954f4d61bd6e25a545350ca99ed776d64f357e80990dc2b862546603c157cdbc	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-211.lrat.xz
212	p01-c049	01	049	2450	2500	50	26099	159968	10784715	d5d3e61962f0e128d8ecd0f35dd8427e8484dc47d79193eb51f13d689fda27ee	26210864	4a8fd93e60c82d0b4bffb5342b1deba64aea4cd8db1cae495f246089066b6c07	3748816	eabc8ba0967459b5f1f8622c98cf973472f967392f79ca1dc44b1e7986c756ef	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-212.lrat.xz
213	p01-c050	01	050	2500	2550	50	26099	159968	10784715	c6dfa5ea149bfc3a819706a77d1de9f97ed30d77ba4d190164755dab4e912fb1	32882622	9bcefc5d1eb66158d2fd45a37cf279a15c328080861313e8a79fe07d21ad8d4e	5204056	180ea10b2efefb86a64bc133b4576c9503e5cf0ba3d96ee38ab69efb62f55532	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-213.lrat.xz
214	p01-c051	01	051	2550	2600	50	26099	159968	10784715	9771c452376a029536acbb066aaf7c6c677cb8c43c2585fc8b00cc8ef4d60998	29299523	18bde7c780382bbfcc4fd11e1de12bebcf70ca9f5bfa02af23f160f29bab31a4	4457876	ae7f2318ac53c5c19369c3bcb231bbfdcf53d440193b637bb34065d2d41c88f4	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-214.lrat.xz
215	p01-c052	01	052	2600	2650	50	26099	159968	10784715	471b12e6126461a4b9fa8fc7ce0150b7b7b4be8b60c9542526460dbfe29fc544	27218493	c2103af85ff3c49006daa7b0e6fae8ef8cb7fb74bdfd7964d0e17233613ddac7	3874588	82efbbae577630c1cf265537bba7cdd7901cd31a8345fb8d09664734ac7b458f	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-215.lrat.xz
216	p01-c053	01	053	2650	2700	50	26099	159968	10784715	2b1da5f5d4ce563da3e015aef987aaee4c450e4a6a337d256263a909eae32a03	32976563	687b87346ae61fa3e67c8d649e931b21133016100a849323fb6d5f338049393d	5101116	508ab9bd9085ffc0dcf275f8fca47db3cbaba0b1ce48522eab0acb8a4b024760	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-216.lrat.xz
217	p01-c054	01	054	2700	2750	50	26099	159968	10784715	914717906e6c1d9f2d3b553df4cef3651cae4cc68077e1ab91090d2bbcdc4afd	32032690	af327b318b7fec7b062b79f7521c38f39737397be0e28e1fdf052bc3122aaff2	5020892	421a7266bbb811f1b1bffb88f31381f0e6523e752a64aaefd444b5b70ffd17d8	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-217.lrat.xz
218	p01-c055	01	055	2750	2800	50	26099	159968	10784715	e4963f4aeb8335169430450c3f9ef9a7e7caee964659b469a465064ded0039bd	30487017	476b44d6306892481d184bb978a84e368edd50f2de83dd9e88662ec3f4dc780a	4721248	230b181b7e5700bf3bcac928fd37e2ff2edd35a1b9575f7f237e2646bac1727d	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-218.lrat.xz
219	p01-c056	01	056	2800	2850	50	26099	159968	10784715	7a9853c27012de494b4a672d226929005316145a3a6252baecc5741babf10ce3	25969673	2883787e210bd5c847871eb8acf43120047d04ccc5ed8628648cd43edc994612	3563688	1c537adb8eba3cf5b1cca0f4d14178da089e49f48aedae5b5b595ba60492c069	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-219.lrat.xz
220	p01-c057	01	057	2850	2900	50	26099	159968	10784715	8921e4a1ce7d131aaaf961eff378da53526cbfd363b270802b382e4ca5df0b4b	36311312	ee26f84f14ff12bca22e41b73873257c9332aad0097dbc246e320fa638587f42	5784520	b28f29600d7263ccda198fcc6812fa4a6ed3825a5ebd40ba3cf2af465ea5c920	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-220.lrat.xz
221	p01-c058	01	058	2900	2950	50	26099	159968	10784715	e2040a2a8bbcb7a45b6869ca6192efda5af310663df950ace7d3ca2be956ce33	28928144	10809802cedd97abe252685f44738133683a93a750cc973fab4f5c895647cc4a	4521260	e33d990c76696daaabce8b44fff9e181f4fefbea3c063966168a880f402a86f3	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-221.lrat.xz
222	p01-c059	01	059	2950	3000	50	26099	159968	10784715	fac77ca99a5286b122f65eee11b7e0027e72649973ecf4188c648b78a455d149	28872927	dd7da026969accde7a8ac8781e5dc4c7c84bb36a03d03fb89e7588d65436b53c	4145680	11691bf0fb16b160565ad86b86a5ee74ab0d13b0f4c9fb4c4fa1685414e94c09	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-222.lrat.xz
223	p01-c060	01	060	3000	3050	50	26099	159968	10784715	a735414b58dfb1cbaea40de2d1b966a8e46df936a635b7c3042a4b4bcb8168d0	31384909	c36e528a1e1e88e284a08be6f750091de493fe6dbe2a04ed81a4e79d6617d08a	4725148	79f1079306ee64a1486a42bba6794c5f8d81b99875a8a0461cd98af76f483d39	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-223.lrat.xz
224	p01-c061	01	061	3050	3100	50	26099	159968	10784715	2d9d511af25f847ee6336b7d85eea4c21eca7388e2a7669c6bc39c9aa18f8d68	29132110	7303f745e7cf4374c71f3f07651e28e131aabe6a66156d8d7435318c0355ce1d	4379468	6bf78e520b7eab6c7711149b4aa0c8d9ac0045beecf6ba3c22ed355c626f331e	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-224.lrat.xz
225	p01-c062	01	062	3100	3150	50	26099	159968	10784715	4491429760accee75f23f8dbdb897d6eb1baf4cb134331a3ed74f685237b213f	30072038	f915e1f0c41f374fe32221edd3b6f099ec9139a2542f9db6239a58de58e5efb9	4589004	b6f3e2c067d408d6896ed6e039dcf62bdbd137b95286309026547bf944bd70ea	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-225.lrat.xz
226	p01-c063	01	063	3150	3200	50	26099	159968	10784715	e338d9eebcff64f26c6c16bb0b0b1a06c167faf147fbb2c7d931268805ac748a	28914272	0f7a4d4cb2fa247c155fa06ec838755d03f95829ee42d9cd06b5c856787f80a1	4422848	b04f19f6dd56500c9ac60d645f946cb08e51fd382c763050c0a4453bc26a8e34	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-226.lrat.xz
227	p01-c064	01	064	3200	3250	50	26099	159968	10784715	42b6d96ec8de4a217dde0f04f8f5619921cfe4b534f291fef9f38bf35c49f627	40104313	e86396cbace37e453a6faa2af5ca7923352cb63a3d9f57370b838cd4c97f00e2	6461220	2f317ea3dccb0071da095794d9982b33ac9e51599d678f9bb1ec9ed1e3c49fd6	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-227.lrat.xz
228	p01-c065	01	065	3250	3300	50	26099	159968	10784715	496b157898492e23fa51b83a7f57958cf4688b9586eb617c9139dee3c407184d	24627166	ca48565ab61b09231f86c3dd41c63bdbe227f520bd2de5ede8350ef530158bcf	3342736	cd710346cb95aa0e851fc7abd6ece3f441f87619aa009933d69700341af6e9fe	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-228.lrat.xz
229	p01-c066	01	066	3300	3350	50	26099	159968	10784715	191f18712221895511efdb545eea5857ad76c3f3d279e537671577cf739e2bd0	24747207	97a3b62b80f3028c0ee08f72f157821d200093f16b9c356d305b28c7e231a3d2	3497424	3d5de7a8887a0b7ce71e0273925edefa1e60880e1f036071ce6f4e3b052576ac	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-229.lrat.xz
230	p01-c067	01	067	3350	3400	50	26099	159968	10784715	73bb9136923fe9a657d4db5fd76a30f66ce99e9656372d653b4c549d0ba6ca32	26393856	85df0761f83d8f1f513a249131981441f192af727bb6af00a66873a18f5566c9	3756944	cda2a33a784ab01af06a7a5cd1bccd7e7fa5e35e44a6f67b986dfa0497635f58	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-230.lrat.xz
231	p01-c068	01	068	3400	3450	50	26099	159968	10784715	3d9d497d9f2d53ecf22cdae47c8170edfb129f8f2957ae9bbc571500eb9c61ba	28221796	90c293b8525982459e2ed7c0e8fc3ce597736b49f2e6a20ea962809a2b4ec4ff	4043096	ef67d0bf11780617641c98b0ddfe8f7cf33593403376405bb6755173489e96a6	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-231.lrat.xz
232	p01-c069	01	069	3450	3500	50	26099	159968	10784715	9fc45b05078cb043d3637f71c225c1d25380dc3180bfaea9e16725e716cd12c1	25392916	6b411f746ea3d7801dd844f608bf3da56be0f95047de22144b02001a68ebcdac	3470276	c98e221bb574ca78bd7c2ce319fa068d1971e03f70ad34fe53017dc1fbfd04bf	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-232.lrat.xz
233	p01-c070	01	070	3500	3550	50	26099	159968	10784715	fd609936962067f0da04a869d15eb3f55e3b7d3712e23722e793214f37a49444	33952480	ae33b25cd71e4e900274d61e69e47b32c66940c19bee3986d2f0ecd4abe10e88	5381096	a5010d86ee0ed6a19e406520852cc2a289aa5fadab21b34dd96d889b02b1ec59	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-233.lrat.xz
234	p01-c071	01	071	3550	3600	50	26099	159968	10784715	01a800e02d7a0301bc30263a2e03d890bd937d7efdb879392b23a81556e4d959	25242198	edefea2ca8ca636a966acfacbf604526b12f463042cad572e6e3c6d555f8e4f9	3558932	9b900eb0f9b3d0db7b9178ba52b844a68ea32a52d367282600b3669cb4d1ed53	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-234.lrat.xz
235	p01-c072	01	072	3600	3650	50	26099	159968	10784715	1e5448a43581d95f432f0405fce822b55041734d1120c598a8b6b745bc7c7a79	25019019	8d9a8574089b7998eb061395cc92b470245972504db0d8f7c47d80be1750279f	3475128	8abeda497b1f9919a2ed932b272df42d5b6ed6db08ceb7792097f52c7d6b3ec3	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-235.lrat.xz
236	p01-c073	01	073	3650	3700	50	26099	159968	10784715	1f42129032fa04d9b2efcb9df1e0b7484dd6253c59d529fd75d6eb9df7c9f3c0	26680752	133f0275bcf640b7da46d5882c4f214b2a765e37978a52b6fb086f73f3c5f688	3675208	1047a818af6d94ed68582d8145c2d9524cd2bda8e8295c167fc2da0910f66053	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-236.lrat.xz
237	p01-c074	01	074	3700	3750	50	26099	159968	10784715	3cfe897dcdf331d46f88fc00fd04d07b65149300e503a18275973b853a6428de	30710269	e9273fbc1ae01e8b2466ff5ae2c9b16e8d05e24354b1449b2422fc0eb55dd8c4	4552736	27f2da15d1ed9c718354a69424478e66fc55bf25f571183ffbed1ee951798e6a	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-237.lrat.xz
238	p01-c075	01	075	3750	3800	50	26099	159968	10784715	1a1784f4266265cc41a8945a46bd12507c7932301153fc31bb4ed1cd597d4779	24810062	a07c43aad002f0adfdb21b8b396a3facaf4ebf7c8c395818a36c70b68ea6cb49	3542516	4eba6d901b29a2da267f46bfdd7604993142c53e5042ab87e241138552f0983b	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-238.lrat.xz
