011	p00-c011	00	011	0550	0600	50	26099	159968	10784714	fe9957e1d7cf59636ac1dd3b80c640d3378b9335c3ecbeef574185c241489136	53125888	168ff58e6044942850a68fdad7f88527ee3a83f5746dc400a6bf9c5c1579d2f9	9420648	c785d33362fe50bfb4d7844bc8dde7fb288de658d62443d4d9beca2c8709bc7b	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-011.lrat.xz
012	p00-c012	00	012	0600	0650	50	26099	159968	10784714	6203812c094980b413937f1d3ff1456d86e69d0a65906f1ffacb05d12061a7d9	55363497	192b1feb9d0a5b299e76e3657cc1d914a4b0f9d742e8af750a57e511bfa003ca	9908036	8c85b3a02fb64beca5a32392dc4f1c58a8aee4d688298497a573165916aa2a2d	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-012.lrat.xz
013	p00-c013	00	013	0650	0700	50	26099	159968	10784714	a102b635b37572dfaec600dd956c1cd8246dc756d7b7d21303d553396cc7b534	56018554	f6c7bc1f4b92c4e54cafbd5e20659d1a869e4037d96bd4a19907d3d8379c8003	10007796	116bd8f4b7a3b65a573e928ac432eb82a3ce93077c05dded8c71d0412e5bfafd	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-013.lrat.xz
014	p00-c014	00	014	0700	0750	50	26099	159968	10784714	bb84e47db10989634bf7c5b575bbd294106e0590b4d5033694e2571b3105b291	48608505	8a7995947610ea02dc0ce2208e4ea79ab209278bc390bca10b1166af3ebc89fd	8326400	d648302055336260cef494d47a7af02dbaf154f4050ed8891506b4aa7bab01f5	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-014.lrat.xz
015	p00-c015	00	015	0750	0800	50	26099	159968	10784714	5da43975500f39eef5f093b0c4f8a69718ceb951a28cf2eb6dbffc97a6226385	53990475	ad964c2e016743cc0b74eb83097787fcddb99680a658ac6c865310abbab90acf	9390804	079ea2a42c775d95da05f00679db2e938366c04c35a43ae3a660d33f35438411	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-015.lrat.xz
016	p00-c016	00	016	0800	0850	50	26099	159968	10784714	0848ec6ff4cae0a26e222151e06ef6afd9b330cb4e8787d69425f742ea4b2e27	53709684	49595cb13e5fb888579b9b13bb18359fd8a17990a79c28b813c6cb2f8776cefd	9533104	bd195075bdde446968964324ef5c5a61bc746f5957ad3845499dfb573edc89cc	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-016.lrat.xz
017	p00-c017	00	017	0850	0900	50	26099	159968	10784714	12f4f3adc437f1d615984889f94040d1ecff0c5ccd0f348aa2fb4d79e4d1da9e	49829526	bdad4a896702a243a079073aa6eafa1a6c2a08bd1d3d7f62879c868ee911e039	8593512	be26b78b083d98dc443eb5e14a0d527c7ff7e5d8c033ce4ef14d3fde81f957d6	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-017.lrat.xz
018	p00-c018	00	018	0900	0950	50	26099	159968	10784714	f6e4ffdb5de39126fb6d731dce2369926011a28baeb032d47df020c19225638b	58201818	75f09870ce9f32bd410fdb7d2ee8c43d893d72ec5f146b5ba343a809059fb2dd	10348392	43aadd19f2ba15bb2f80221fd6f654f7beae77a8ee3df14426d8716236d44f16	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-018.lrat.xz
019	p00-c019	00	019	0950	1000	50	26099	159968	10784715	1a36f4dcb44561619b6de77351f820eddc5991193d659f97b0918267f855f999	66486466	ae07396fc329ca719534104cd076bc58ff4c01b12fad7b7e96a87020e5885986	12045356	9add9aad4e1aaa7820a47595f45fd65dc8fcc007173dac8491207b18bd8439b1	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-019.lrat.xz
020	p00-c020	00	020	1000	1050	50	26099	159968	10784716	40267133fc02c418c8a1e0441dd5d49c1d17b25c18c1b1223f84251b25353b61	48536471	270479126300a19f3ab2058ded226ea7c4729a9f5216cf1c2e5ec55a29f23883	8147196	cfc0aca5b7a5829522d83fe9750d4e74dc4b0a16380686fa077a3b5780bd0982	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-020.lrat.xz
021	p00-c021	00	021	1050	1100	50	26099	159968	10784716	1856b7828a753a5e74b065b592b77c2b186e8ad78ec1fb24abf6fbcf4a5a4e68	60965687	9f6e4f2433e5fc3cdcc45ff234456759c57d5242de3c5d0191c71998dbc93bd6	10966432	b6db1a7e4c4df971b27425f456e112af013e5ba37870ed11fafe205f1c51f212	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-021.lrat.xz
022	p00-c022	00	022	1100	1150	50	26099	159968	10784716	3876924684e632a6837890a5731a47cc376c8126433be6d186489df905bca02b	61125548	68b813a755b4529e021c80014d08665616190f9ccd056ade6bf34312b259e511	10912532	c9e834f50da3f97e5a5fc9136533fbfaf2f647f88ddb876ccd4c02cf7457ae42	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-022.lrat.xz
023	p00-c023	00	023	1150	1200	50	26099	159968	10784716	1685fd8a0876d908102aa9059b5151ed921f21d18185bdcf11563846416963f7	54850337	24f239a6b8d3f85f5af596cb6fb2d4eef3cc81e0ea8911e27f2975c640551617	9961128	c6392f92bcf3247f8502d6544fce955c7956de650a9f1a043de4bf813a2e729e	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-023.lrat.xz
