n,H_negative,mu,mertens,abs_mertens,mertens_d1,mertens_back4,mertens_forward4,mertens_back8,mertens_forward8,is_prime,omega,bigomega,is_squarefree,is_prime_power,prime_power_exponent,prime_gap,distance_prev_prime,distance_next_prime,squarefree_run_left,squarefree_run_right,squarefree_count_5,squarefree_count_9,prime_power_count_9,psi_bit_mass_d1,psi_bit_mass_back4,psi_bit_mass_forward4,psi_bit_curvature4
378,0,0,-2,2,0,1,0,0,-1,0,3,5,0,0,0,6,5,1,0,0,2,5,1,0,0,9,9
379,0,-1,-3,3,-1,0,1,-2,0,1,1,1,1,1,1,10,0,0,1,1,3,5,2,9,9,9,0
380,0,0,-3,3,0,0,1,-2,1,0,3,4,0,0,0,4,1,3,0,0,3,5,2,0,9,9,0
381,0,1,-2,2,1,0,1,0,1,0,2,2,1,0,0,4,2,2,1,3,4,6,2,0,9,9,0
382,0,1,-1,1,1,1,-1,2,-1,0,2,2,1,0,0,4,3,1,2,2,3,6,2,0,9,9,0
383,0,-1,-2,2,-1,1,-1,1,-1,1,1,1,1,1,1,10,0,0,3,1,4,6,2,9,9,9,0
384,0,0,-2,2,0,1,0,1,1,0,2,8,0,0,0,6,1,5,0,0,4,5,1,0,9,0,-9
385,0,-1,-3,3,-1,-1,0,-1,1,0,3,3,1,0,0,6,2,4,1,2,3,6,2,0,9,0,-9
386,0,1,-2,2,1,-1,0,0,3,0,2,2,1,0,0,6,3,3,2,1,2,6,2,0,9,9,0
387,0,0,-2,2,0,0,0,1,3,0,2,3,0,0,0,6,4,2,0,0,3,6,2,0,0,9,9
388,0,0,-2,2,0,0,1,1,4,0,2,3,0,0,0,6,5,1,0,0,3,5,1,0,0,9,9
389,0,-1,-3,3,-1,0,1,-1,4,1,1,1,1,1,1,14,0,0,1,3,3,6,1,9,9,9,0
390,0,1,-2,2,1,0,3,-1,4,0,4,4,1,0,0,8,1,7,2,2,3,6,1,0,9,0,-9
391,0,1,-1,1,1,1,3,1,4,0,2,2,1,0,0,8,2,6,3,1,4,6,1,0,9,0,-9
392,0,0,-1,1,0,1,3,1,2,0,2,5,0,0,0,8,3,5,0,0,4,6,1,0,9,0,-9
393,0,1,0,0,1,3,3,3,2,0,2,2,1,0,0,8,4,4,1,3,4,7,2,0,0,0,0
394,0,1,1,1,1,3,1,3,0,0,2,2,1,0,0,8,5,3,2,2,3,7,1,0,0,9,9
395,0,1,2,2,1,3,1,4,-2,0,2,2,1,0,0,8,6,2,3,1,4,7,1,0,0,9,9
396,0,0,2,2,0,3,-1,4,-2,0,3,5,0,0,0,8,7,1,0,0,4,6,1,0,0,9,9
397,0,-1,1,1,-1,1,-1,4,-2,1,1,1,1,1,1,12,0,0,1,3,4,7,2,9,9,9,0
398,0,1,2,2,1,1,-1,4,-1,0,2,2,1,0,0,4,1,3,2,2,3,7,2,0,9,9,0
399,0,-1,1,1,-1,-1,-3,2,-3,0,3,3,1,0,0,4,2,2,3,1,4,7,2,0,9,9,0
400,0,0,1,1,0,-1,-1,2,-1,0,2,6,0,0,0,4,3,1,0,0,4,6,2,0,9,9,0
401,0,-1,0,0,-1,-1,-1,0,-1,1,1,1,1,1,1,12,0,0,1,3,4,6,2,9,9,9,0
402,0,-1,-1,1,-1,-3,0,-2,-1,0,3,3,1,0,0,8,1,7,2,2,3,6,1,0,9,0,-9
403,0,1,0,0,1,-1,0,-2,-1,0,2,2,1,0,0,8,2,6,3,1,3,6,1,0,9,0,-9
404,0,0,0,0,0,-1,0,-2,-1,0,2,3,0,0,0,8,3,5,0,0,3,5,1,0,9,0,-9
405,0,0,0,0,0,0,0,-1,-1,0,2,5,0,0,0,8,4,4,0,0,3,6,2,0,0,0,0
406,0,-1,-1,1,-1,0,-1,-3,0,0,3,3,1,0,0,8,5,3,1,2,2,6,1,0,0,9,9
407,0,1,0,0,1,0,-1,-1,1,0,2,2,1,0,0,8,6,2,2,1,3,6,1,0,0,9,9
408,0,0,0,0,0,0,-1,-1,1,0,3,5,0,0,0,8,7,1,0,0,4,5,1,0,0,9,9
409,0,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,18,0,0,1,3,4,6,1,9,9,9,0
410,0,-1,-2,2,-1,-1,1,-1,3,0,3,3,1,0,0,10,1,9,2,2,3,6,1,0,9,0,-9
411,0,1,-1,1,1,-1,2,-1,3,0,2,2,1,0,0,10,2,8,3,1,4,6,1,0,9,0,-9
412,0,0,-1,1,0,-1,2,-1,1,0,2,3,0,0,0,10,3,7,0,0,3,5,1,0,9,0,-9
413,0,1,0,0,1,1,2,0,1,0,2,2,1,0,0,10,4,6,1,1,3,6,1,0,0,0,0
414,0,0,0,0,0,2,2,1,-1,0,3,4,0,0,0,10,5,5,0,0,2,6,0,0,0,0,0
415,0,1,1,1,1,2,1,1,0,0,2,2,1,0,0,10,6,4,1,1,3,6,1,0,0,0,0
416,0,0,1,1,0,2,-1,1,-1,0,2,6,0,0,0,10,7,3,0,0,3,5,1,0,0,9,9
417,0,1,2,2,1,2,-1,3,-1,0,2,2,1,0,0,10,8,2,1,3,4,6,2,0,0,9,9
418,0,-1,1,1,-1,1,-3,3,-2,0,3,3,1,0,0,10,9,1,2,2,3,6,2,0,0,18,18
419,0,-1,0,0,-1,-1,-1,1,-2,1,1,1,1,1,1,12,0,0,3,1,4,6,2,9,9,18,9
420,0,0,0,0,0,-1,0,1,0,0,4,5,0,0,0,2,1,1,0,0,4,5,2,0,9,9,0
421,0,-1,-1,1,-1,-3,0,-1,0,1,1,1,1,1,1,12,0,0,1,2,3,5,2,9,18,9,-9
422,0,1,0,0,1,-1,1,0,0,0,2,2,1,0,0,10,1,9,2,1,2,5,2,0,18,0,-18
423,0,0,0,0,0,0,-1,-1,-2,0,2,3,0,0,0,10,2,8,0,0,2,5,2,0,9,0,-9
424,0,0,0,0,0,0,0,-1,-3,0,2,4,0,0,0,10,3,7,0,0,2,4,1,0,9,0,-9
425,0,0,0,0,0,1,0,-2,-3,0,2,3,0,0,0,10,4,6,0,0,2,5,1,0,0,0,0
426,0,-1,-1,1,-1,-1,-1,-2,-4,0,3,3,1,0,0,10,5,5,1,2,2,5,0,0,0,0,0
427,0,1,0,0,1,0,-1,0,-4,0,2,2,1,0,0,10,6,4,2,1,3,5,1,0,0,0,0
428,0,0,0,0,0,0,-3,0,-6,0,2,3,0,0,0,10,7,3,0,0,4,5,1,0,0,9,9
429,0,-1,-1,1,-1,-1,-3,0,-6,0,3,3,1,0,0,10,8,2,1,3,4,6,2,0,0,9,9
430,0,-1,-2,2,-1,-1,-3,-2,-4,0,3,3,1,0,0,10,9,1,2,2,3,7,2,0,0,18,18
431,0,-1,-3,3,-1,-3,-3,-3,-4,1,1,1,1,1,1,12,0,0,3,1,4,7,2,9,9,18,9
432,0,0,-3,3,0,-3,-3,-3,-4,0,2,7,0,0,0,2,1,1,0,0,4,6,2,0,9,9,0
433,0,-1,-4,4,-1,-3,-3,-4,-4,1,1,1,1,1,1,8,0,0,1,3,4,7,2,9,18,9,-9
434,0,-1,-5,5,-1,-3,-1,-4,-3,0,3,3,1,0,0,6,1,5,2,2,3,7,2,0,18,0,-18
435,0,-1,-6,6,-1,-3,-1,-6,-3,0,3,3,1,0,0,6,2,4,3,1,4,7,3,0,9,0,-9
436,0,0,-6,6,0,-3,-1,-6,-3,0,2,3,0,0,0,6,3,3,0,0,4,6,2,0,9,9,0
437,0,1,-5,5,1,-1,-1,-4,-3,0,2,2,1,0,0,6,4,2,1,3,4,6,2,0,0,9,9
438,0,-1,-6,6,-1,-1,-2,-4,-3,0,3,3,1,0,0,6,5,1,2,2,3,6,1,0,0,9,9
439,0,-1,-7,7,-1,-1,-2,-4,-1,1,1,1,1,1,1,10,0,0,3,1,3,6,2,9,9,9,0
440,0,0,-7,7,0,-1,-2,-4,1,0,3,5,0,0,0,4,1,3,0,0,3,5,2,0,9,9,0
441,0,0,-7,7,0,-2,-2,-3,1,0,2,4,0,0,0,4,2,2,0,0,3,6,2,0,9,9,0
442,0,-1,-8,8,-1,-2,-1,-3,0,0,3,3,1,0,0,4,3,1,1,2,2,6,2,0,9,9,0
443,0,-1,-9,9,-1,-2,1,-3,1,1,1,1,1,1,1,10,0,0,2,1,3,6,2,9,9,9,0
444,0,0,-9,9,0,-2,3,-3,3,0,3,4,0,0,0,6,1,5,0,0,4,5,1,0,9,0,-9
445,0,1,-8,8,1,-1,3,-3,3,0,2,2,1,0,0,6,2,4,1,3,4,6,2,0,9,0,-9
446,0,1,-7,7,1,1,1,-1,3,0,2,2,1,0,0,6,3,3,2,2,3,6,2,0,9,9,0
447,0,1,-6,6,1,3,0,1,3,0,2,2,1,0,0,6,4,2,3,1,4,6,2,0,0,9,9
448,0,0,-6,6,0,3,0,1,1,0,2,7,0,0,0,6,5,1,0,0,3,5,1,0,0,9,9
449,0,-1,-7,7,-1,1,0,0,1,1,1,1,1,1,1,14,0,0,1,1,3,6,1,9,9,9,0
450,0,0,-7,7,0,0,2,1,1,0,3,5,0,0,0,8,1,7,0,0,2,6,1,0,9,0,-9
451,0,1,-6,6,1,0,3,3,2,0,2,2,1,0,0,8,2,6,1,1,3,6,1,0,9,0,-9
452,0,0,-6,6,0,0,1,3,1,0,2,3,0,0,0,8,3,5,0,0,3,5,1,0,9,0,-9
453,0,1,-5,5,1,2,1,3,1,0,2,2,1,0,0,8,4,4,1,3,4,6,2,0,0,0,0
454,0,1,-4,4,1,3,-1,3,-1,0,2,2,1,0,0,8,5,3,2,2,3,6,1,0,0,9,9
455,0,-1,-5,5,-1,1,-1,1,-1,0,3,3,1,0,0,8,6,2,3,1,4,6,1,0,0,9,9
456,0,0,-5,5,0,1,0,1,-1,0,3,5,0,0,0,8,7,1,0,0,4,5,1,0,0,9,9
457,0,-1,-6,6,-1,-1,0,1,-1,1,1,1,1,1,1,12,0,0,1,2,3,6,2,9,9,9,0
458,0,1,-5,5,1,-1,0,2,-1,0,2,2,1,0,0,4,1,3,2,1,2,6,2,0,9,9,0
459,0,0,-5,5,0,0,0,1,-1,0,2,4,0,0,0,4,2,2,0,0,3,6,3,0,9,9,0
460,0,0,-5,5,0,0,-1,1,-2,0,3,4,0,0,0,4,3,1,0,0,3,5,3,0,9,18,9
461,0,-1,-6,6,-1,0,-1,-1,-2,1,1,1,1,1,1,6,0,0,1,3,3,6,3,9,9,18,9
462,0,1,-5,5,1,0,-1,-1,0,0,4,4,1,0,0,2,1,1,2,2,3,6,2,0,9,9,0
463,0,-1,-6,6,-1,-1,-1,-1,-2,1,1,1,1,1,1,6,0,0,3,1,4,6,3,9,18,9,-9
464,0,0,-6,6,0,-1,-1,-1,0,0,2,5,0,0,0,4,1,3,0,0,4,6,3,0,18,9,-9
465,0,-1,-7,7,-1,-1,-1,-1,0,0,3,3,1,0,0,4,2,2,1,3,4,7,3,0,9,9,0
466,0,1,-6,6,1,-1,1,-1,2,0,2,2,1,0,0,4,3,1,2,2,3,7,2,0,9,9,0
467,0,-1,-7,7,-1,-1,-1,-2,0,1,1,1,1,1,1,16,0,0,3,1,4,7,2,9,9,9,0
468,0,0,-7,7,0,-1,1,-2,1,0,3,5,0,0,0,12,1,11,0,0,4,6,1,0,9,0,-9
469,0,1,-6,6,1,1,1,0,1,0,2,2,1,0,0,12,2,10,1,3,4,7,1,0,9,0,-9
470,0,-1,-7,7,-1,-1,1,-2,0,0,3,3,1,0,0,12,3,9,2,2,3,7,1,0,9,0,-9
471,0,1,-6,6,1,1,1,0,2,0,2,2,1,0,0,12,4,8,3,1,4,6,1,0,0,0,0
472,0,0,-6,6,0,1,0,0,0,0,2,4,0,0,0,12,5,7,0,0,4,5,0,0,0,0,0
473,0,1,-5,5,1,1,0,2,0,0,2,2,1,0,0,12,6,6,1,2,3,5,0,0,0,0,0
474,0,-1,-6,6,-1,1,-1,0,0,0,3,3,1,0,0,12,7,5,2,1,2,5,0,0,0,0,0
475,0,0,-6,6,0,0,1,1,2,0,2,3,0,0,0,12,8,4,0,0,2,5,1,0,0,0,0
476,0,0,-6,6,0,0,0,1,1,0,3,4,0,0,0,12,9,3,0,0,2,4,1,0,0,9,9
477,0,0,-6,6,0,-1,0,0,1,0,2,3,0,0,0,12,10,2,0,0,2,5,1,0,0,9,9
478,0,1,-5,5,1,1,1,2,2,0,2,2,1,0,0,12,11,1,1,2,2,5,1,0,0,9,9
479,0,-1,-6,6,-1,0,1,0,1,1,1,1,1,1,1,20,0,0,2,1,3,5,1,9,9,9,0
480,0,0,-6,6,0,0,1,0,1,0,3,7,0,0,0,8,1,7,0,0,4,5,1,0,9,0,-9
481,0,1,-5,5,1,1,1,0,1,0,2,2,1,0,0,8,2,6,1,3,4,6,1,0,9,0,-9
482,0,1,-4,4,1,1,1,2,1,0,2,2,1,0,0,8,3,5,2,2,3,6,1,0,9,0,-9
483,0,-1,-5,5,-1,1,0,1,0,0,3,3,1,0,0,8,4,4,3,1,4,6,2,0,0,0,0
484,0,0,-5,5,0,1,0,1,0,0,2,4,0,0,0,8,5,3,0,0,3,5,1,0,0,9,9
485,0,1,-4,4,1,1,0,2,0,0,2,2,1,0,0,8,6,2,1,1,3,6,1,0,0,9,9
486,0,0,-4,4,0,0,0,1,0,0,2,6,0,0,0,8,7,1,0,0,2,5,1,0,0,9,9
487,0,-1,-5,5,-1,0,0,1,-1,1,1,1,1,1,1,12,0,0,1,1,3,5,2,9,9,9,0
488,0,0,-5,5,0,0,0,1,0,0,2,4,0,0,0,4,1,3,0,0,2,4,2,0,9,9,0
489,0,1,-4,4,1,0,0,1,0,0,2,2,1,0,0,4,2,2,1,1,3,5,2,0,9,9,0
490,0,0,-4,4,0,0,0,0,0,0,3,4,0,0,0,4,3,1,0,0,2,5,2,0,9,9,0
491,0,-1,-5,5,-1,0,-1,0,-1,1,1,1,1,1,1,12,0,0,1,1,3,5,2,9,9,9,0
492,0,0,-5,5,0,0,0,0,-1,0,3,4,0,0,0,8,1,7,0,0,3,4,1,0,9,0,-9
493,0,1,-4,4,1,0,0,0,-1,0,2,2,1,0,0,8,2,6,1,2,3,5,1,0,9,0,-9
494,0,-1,-5,5,-1,-1,0,-1,-1,0,3,3,1,0,0,8,3,5,2,1,2,5,1,0,9,0,-9
495,0,0,-5,5,0,0,0,0,1,0,3,4,0,0,0,8,4,4,0,0,3,6,2,0,0,0,0
496,0,0,-5,5,0,0,-1,0,0,0,2,5,0,0,0,8,5,3,0,0,3,5,1,0,0,9,9
497,0,1,-4,4,1,0,-1,0,0,0,2,2,1,0,0,8,6,2,1,3,3,6,1,0,0,9,9
498,0,-1,-5,5,-1,0,-1,-1,0,0,3,3,1,0,0,8,7,1,2,2,3,6,1,0,0,9,9
499,0,-1,-6,6,-1,-1,1,-1,0,1,1,1,1,1,1,12,0,0,3,1,4,6,2,9,9,9,0
500,0,0,-6,6,0,-1,1,-1,1,0,2,5,0,0,0,4,1,3,0,0,4,6,2,0,9,9,0
501,0,1,-5,5,1,-1,1,-1,1,0,2,2,1,0,0,4,2,2,1,3,4,7,2,0,9,9,0
502,0,1,-4,4,1,1,1,1,-1,0,2,2,1,0,0,4,3,1,2,2,3,7,2,0,9,9,0
503,0,-1,-5,5,-1,1,-1,0,-1,1,1,1,1,1,1,10,0,0,3,1,4,6,2,9,9,9,0
504,0,0,-5,5,0,1,0,0,1,0,3,6,0,0,0,6,1,5,0,0,4,5,1,0,9,0,-9
505,0,1,-4,4,1,1,0,0,1,0,2,2,1,0,0,6,2,4,1,2,3,6,2,0,9,0,-9
506,0,-1,-5,5,-1,-1,-2,0,0,0,3,3,1,0,0,6,3,3,2,1,2,6,2,0,9,9,0
507,0,0,-5,5,0,0,0,1,2,0,2,3,0,0,0,6,4,2,0,0,3,6,2,0,0,9,9
508,0,0,-5,5,0,0,1,1,3,0,2,3,0,0,0,6,5,1,0,0,3,5,2,0,0,9,9
509,0,-1,-6,6,-1,-2,1,-1,3,1,1,1,1,1,1,18,0,0,1,3,3,5,2,9,9,11,2
510,0,1,-5,5,1,0,2,-1,5,0,4,4,1,0,0,12,1,11,2,2,3,5,2,0,9,2,-7
511,0,1,-4,4,1,1,2,1,3,0,2,2,1,0,0,12,2,10,3,1,3,5,2,0,9,2,-7
512,0,0,-4,4,0,1,2,1,3,0,1,9,0,1,9,12,3,9,0,0,3,5,2,2,11,2,-9
513,0,0,-4,4,0,2,2,0,3,0,2,4,0,0,0,12,4,8,0,0,3,6,2,0,2,0,-2
514,0,1,-3,3,1,2,3,2,2,0,2,2,1,0,0,12,5,7,1,2,2,6,1,0,2,0,-2
515,0,1,-2,2,1,2,1,3,1,0,2,2,1,0,0,12,6,6,2,1,3,6,1,0,2,0,-2
516,0,0,-2,2,0,2,1,3,-1,0,3,4,0,0,0,12,7,5,0,0,4,5,1,0,0,0,0
517,0,1,-1,1,1,3,1,5,-1,0,2,2,1,0,0,12,8,4,1,3,4,6,1,0,0,0,0
518,0,-1,-2,2,-1,1,-1,3,-2,0,3,3,1,0,0,12,9,3,2,2,3,6,1,0,0,10,10
519,0,1,-1,1,1,1,0,3,0,0,2,2,1,0,0,12,10,2,3,1,4,6,2,0,0,10,10
520,0,0,-1,1,0,1,-2,3,0,0,3,5,0,0,0,12,11,1,0,0,3,5,2,0,0,20,20
521,0,-1,-2,2,-1,-1,-2,2,0,1,1,1,1,1,1,14,0,0,1,1,3,5,2,10,10,20,10
522,0,0,-2,2,0,0,-1,1,1,0,3,4,0,0,0,2,1,1,0,0,2,5,2,0,10,10,0
523,0,-1,-3,3,-1,-2,0,-1,0,1,1,1,1,1,1,20,0,0,1,1,2,5,2,10,20,10,-10
524,0,0,-3,3,0,-2,2,-1,1,0,2,3,0,0,0,18,1,17,0,0,2,4,2,0,20,0,-20
525,0,0,-3,3,0,-1,2,-2,1,0,3,4,0,0,0,18,2,16,0,0,3,4,3,0,10,0,-10
526,0,1,-2,2,1,0,2,0,2,0,2,2,1,0,0,18,3,15,1,2,2,4,2,0,10,5,-5
527,0,1,-1,1,1,2,0,0,0,0,2,2,1,0,0,18,4,14,2,1,2,4,2,0,0,5,5
528,0,0,-1,1,0,2,-1,0,0,0,3,6,0,0,0,18,5,13,0,0,3,3,1,0,0,5,5
529,0,0,-1,1,0,2,-1,1,0,0,1,2,0,1,2,18,6,12,0,0,2,4,1,5,5,5,0
530,0,-1,-2,2,-1,0,0,0,1,0,3,3,1,0,0,18,7,11,1,1,1,5,1,0,5,0,-5
531,0,0,-2,2,0,-1,0,1,3,0,2,3,0,0,0,18,8,10,0,0,2,5,1,0,5,0,-5
532,0,0,-2,2,0,-1,1,1,3,0,3,4,0,0,0,18,9,9,0,0,3,4,1,0,5,0,-5
533,0,1,-1,1,1,0,1,2,3,0,2,2,1,0,0,18,10,8,1,3,3,5,1,0,0,0,0
534,0,-1,-2,2,-1,0,1,0,1,0,3,3,1,0,0,18,11,7,2,2,3,6,0,0,0,0,0
535,0,1,-1,1,1,1,3,0,3,0,2,2,1,0,0,18,12,6,3,1,4,5,0,0,0,0,0
536,0,0,-1,1,0,1,2,0,3,0,2,4,0,0,0,18,13,5,0,0,4,5,0,0,0,0,0
537,0,1,0,0,1,1,2,1,3,0,2,2,1,0,0,18,14,4,1,2,3,6,1,0,0,0,0
538,0,1,1,1,1,3,0,3,3,0,2,2,1,0,0,18,15,3,2,1,2,6,1,0,0,10,10
539,0,0,1,1,0,2,0,3,3,0,2,3,0,0,0,18,16,2,0,0,3,6,1,0,0,10,10
540,0,0,1,1,0,2,1,3,2,0,3,6,0,0,0,18,17,1,0,0,3,5,1,0,0,10,10
541,0,-1,0,0,-1,0,1,1,2,1,1,1,1,1,1,24,0,0,1,3,3,6,1,10,10,10,0
542,0,1,1,1,1,0,3,3,3,0,2,2,1,0,0,6,1,5,2,2,3,6,1,0,10,0,-10
543,0,1,2,2,1,1,3,3,2,0,2,2,1,0,0,6,2,4,3,1,4,6,2,0,10,0,-10
544,0,0,2,2,0,1,1,3,2,0,2,6,0,0,0,6,3,3,0,0,4,6,2,0,10,10,0
545,0,1,3,3,1,3,1,3,2,0,2,2,1,0,0,6,4,2,1,3,4,6,2,0,0,10,10
546,0,1,4,4,1,3,0,3,2,0,4,4,1,0,0,6,5,1,2,2,3,5,1,0,0,10,10
547,0,-1,3,3,-1,1,-1,2,2,1,1,1,1,1,1,16,0,0,3,1,3,5,1,10,10,10,0
548,0,0,3,3,0,1,1,2,2,0,2,3,0,0,0,10,1,9,0,0,2,4,1,0,10,0,-10
549,0,0,3,3,0,0,1,3,2,0,2,3,0,0,0,10,2,8,0,0,2,5,1,0,10,0,-10
550,0,0,3,3,0,-1,2,2,1,0,3,4,0,0,0,10,3,7,0,0,1,5,1,0,10,0,-10
551,0,1,4,4,1,1,3,2,1,0,2,2,1,0,0,10,4,6,1,1,2,5,1,0,0,0,0
552,0,0,4,4,0,1,1,2,1,0,3,5,0,0,0,10,5,5,0,0,3,4,0,0,0,0,0
553,0,1,5,5,1,2,1,2,1,0,2,2,1,0,0,10,6,4,1,3,4,5,1,0,0,0,0
554,0,1,6,6,1,3,-1,2,-1,0,2,2,1,0,0,10,7,3,2,2,3,5,1,0,0,10,10
555,0,-1,5,5,-1,1,-2,2,-1,0,3,3,1,0,0,10,8,2,3,1,4,6,1,0,0,10,10
556,0,0,5,5,0,1,0,2,-1,0,2,3,0,0,0,10,9,1,0,0,3,5,1,0,0,10,10
557,0,-1,4,4,-1,-1,0,1,-1,1,1,1,1,1,1,16,0,0,1,1,3,6,1,10,10,10,0
558,0,0,4,4,0,-2,0,1,1,0,3,4,0,0,0,6,1,5,0,0,2,6,1,0,10,0,-10
559,0,1,5,5,1,0,1,1,2,0,2,2,1,0,0,6,2,4,1,1,3,6,2,0,10,0,-10
560,0,0,5,5,0,0,-1,1,1,0,3,6,0,0,0,6,3,3,0,0,3,5,2,0,10,10,0
561,0,-1,4,4,-1,0,-1,-1,1,0,3,3,1,0,0,6,4,2,1,3,4,6,2,0,0,10,10
562,0,1,5,5,1,1,1,-1,1,0,2,2,1,0,0,6,5,1,2,2,3,6,1,0,0,10,10
563,0,-1,4,4,-1,-1,1,-1,1,1,1,1,1,1,1,12,0,0,3,1,4,6,1,10,10,10,0
564,0,0,4,4,0,-1,2,-1,1,0,3,4,0,0,0,6,1,5,0,0,4,5,1,0,10,0,-10
565,0,1,5,5,1,1,2,1,1,0,2,2,1,0,0,6,2,4,1,2,3,6,2,0,10,0,-10
566,0,1,6,6,1,1,0,2,1,0,2,2,1,0,0,6,3,3,2,1,2,6,2,0,10,10,0
567,0,0,6,6,0,2,0,1,-1,0,2,5,0,0,0,6,4,2,0,0,3,6,3,0,0,10,10
568,0,0,6,6,0,2,-1,1,-1,0,2,4,0,0,0,6,5,1,0,0,3,5,2,0,0,20,20
569,0,-1,5,5,-1,0,-1,1,-1,1,1,1,1,1,1,8,0,0,1,3,3,6,2,10,10,20,10
570,0,1,6,6,1,0,1,1,-1,0,4,4,1,0,0,2,1,1,2,2,3,6,2,0,10,10,0
571,0,-1,5,5,-1,-1,-1,1,-2,1,1,1,1,1,1,8,0,0,3,1,4,5,2,10,20,10,-10
572,0,0,5,5,0,-1,0,1,0,0,3,4,0,0,0,6,1,5,0,0,4,5,2,0,20,0,-20
573,0,1,6,6,1,1,0,1,0,0,2,2,1,0,0,6,2,4,1,2,3,6,3,0,10,0,-10
574,0,-1,5,5,-1,-1,-2,-1,0,0,3,3,1,0,0,6,3,3,2,1,2,5,2,0,10,10,0
575,0,0,5,5,0,0,-1,-1,0,0,2,3,0,0,0,6,4,2,0,0,3,5,2,0,0,10,10
576,0,0,5,5,0,0,0,-1,1,0,2,8,0,0,0,6,5,1,0,0,2,4,1,0,0,10,10
577,0,-1,4,4,-1,-2,0,-1,1,1,1,1,1,1,1,16,0,0,1,1,2,5,1,10,10,10,0
578,0,0,4,4,0,-1,2,-2,2,0,2,3,0,0,0,10,1,9,0,0,2,5,1,0,10,0,-10
579,0,1,5,5,1,0,1,0,3,0,2,2,1,0,0,10,2,8,1,1,3,5,1,0,10,0,-10
580,0,0,5,5,0,0,1,0,1,0,3,4,0,0,0,10,3,7,0,0,3,5,1,0,10,0,-10
581,0,1,6,6,1,2,1,0,1,0,2,2,1,0,0,10,4,6,1,3,4,5,1,0,0,0,0
582,0,-1,5,5,-1,1,0,0,1,0,3,3,1,0,0,10,5,5,2,2,3,5,0,0,0,0,0
583,0,1,6,6,1,1,2,1,1,0,2,2,1,0,0,10,6,4,3,1,3,6,1,0,0,0,0
584,0,0,6,6,0,1,0,1,1,0,2,4,0,0,0,10,7,3,0,0,3,5,1,0,0,10,10
585,0,0,6,6,0,0,0,2,1,0,3,4,0,0,0,10,8,2,0,0,3,6,1,0,0,10,10
586,0,1,7,7,1,2,1,3,0,0,2,2,1,0,0,10,9,1,1,2,2,6,1,0,0,10,10
587,0,-1,6,6,-1,0,-1,1,-1,1,1,1,1,1,1,16,0,0,2,1,3,6,1,10,10,10,0
588,0,0,6,6,0,0,1,1,-1,0,3,5,0,0,0,6,1,5,0,0,4,5,1,0,10,0,-10
589,0,1,7,7,1,1,1,1,-1,0,2,2,1,0,0,6,2,4,1,3,4,6,2,0,10,0,-10
590,0,-1,6,6,-1,-1,-1,1,-1,0,3,3,1,0,0,6,3,3,2,2,3,6,2,0,10,10,0
591,0,1,7,7,1,1,0,1,-1,0,2,2,1,0,0,6,4,2,3,1,4,6,2,0,0,10,10
592,0,0,7,7,0,1,-2,1,-3,0,2,5,0,0,0,6,5,1,0,0,3,5,1,0,0,10,10
593,0,-1,6,6,-1,-1,-2,0,-3,1,1,1,1,1,1,12,0,0,1,1,3,6,1,10,10,10,0
594,0,0,6,6,0,0,0,-1,-3,0,3,5,0,0,0,6,1,5,0,0,2,6,1,0,10,0,-10
595,0,-1,5,5,-1,-2,-1,-1,-4,0,3,3,1,0,0,6,2,4,1,1,3,6,2,0,10,0,-10
596,0,0,5,5,0,-2,-1,-1,-3,0,2,3,0,0,0,6,3,3,0,0,3,5,2,0,10,10,0
597,0,1,6,6,1,0,-1,-1,-3,0,2,2,1,0,0,6,4,2,1,3,4,6,3,0,0,10,10
598,0,-1,5,5,-1,-1,-3,-1,-4,0,3,3,1,0,0,6,5,1,2,2,3,6,2,0,0,20,20
599,0,-1,4,4,-1,-1,-3,-3,-4,1,1,1,1,1,1,8,0,0,3,1,4,6,2,10,10,20,10
600,0,0,4,4,0,-1,-2,-3,-4,0,3,6,0,0,0,2,1,1,0,0,4,5,2,0,10,10,0
601,0,-1,3,3,-1,-3,-2,-3,-4,1,1,1,1,1,1,8,0,0,1,2,3,5,2,10,20,10,-10
602,0,-1,2,2,-1,-3,-1,-4,-4,0,3,3,1,0,0,6,1,5,2,1,2,5,2,0,20,0,-20
603,0,0,2,2,0,-2,-1,-3,-4,0,2,3,0,0,0,6,2,4,0,0,2,5,3,0,10,0,-10
604,0,0,2,2,0,-2,-2,-3,-3,0,2,3,0,0,0,6,3,3,0,0,2,4,2,0,10,10,0
605,0,0,2,2,0,-1,-2,-4,-3,0,2,3,0,0,0,6,4,2,0,0,2,5,2,0,0,10,10
606,0,-1,1,1,-1,-1,-3,-4,-4,0,3,3,1,0,0,6,5,1,1,2,2,5,1,0,0,10,10
607,0,-1,0,0,-1,-2,-3,-4,-2,1,1,1,1,1,1,12,0,0,2,1,3,5,1,10,10,10,0
608,0,0,0,0,0,-2,-1,-4,-2,0,2,6,0,0,0,6,1,5,0,0,4,5,1,0,10,0,-10
609,0,-1,-1,1,-1,-3,-1,-4,-2,0,3,3,1,0,0,6,2,4,1,3,4,6,2,0,10,0,-10
610,0,-1,-2,2,-1,-3,-1,-4,-2,0,3,3,1,0,0,6,3,3,2,2,3,7,2,0,10,10,0
