n,H_negative,mu,mertens,abs_mertens,mertens_d1,mertens_back4,mertens_forward4,mertens_back8,mertens_forward8,is_prime,omega,bigomega,is_squarefree,is_prime_power,prime_power_exponent,prime_gap,distance_prev_prime,distance_next_prime,squarefree_run_left,squarefree_run_right,squarefree_count_5,squarefree_count_9,prime_power_count_9,psi_bit_mass_d1,psi_bit_mass_back4,psi_bit_mass_forward4,psi_bit_curvature4
210,0,1,-1,1,1,2,1,5,4,0,4,4,1,0,0,12,11,1,2,2,3,6,1,0,0,8,8
211,0,-1,-2,2,-1,1,1,3,4,1,1,1,1,1,1,24,0,0,3,1,4,6,1,8,8,8,0
212,0,0,-2,2,0,1,3,3,6,0,2,3,0,0,0,12,1,11,0,0,4,6,1,0,8,0,-8
213,0,1,-1,1,1,1,3,3,6,0,2,2,1,0,0,12,2,10,1,3,4,7,1,0,8,0,-8
214,0,1,0,0,1,1,3,3,6,0,2,2,1,0,0,12,3,9,2,2,3,7,1,0,8,0,-8
215,0,1,1,1,1,3,3,4,4,0,2,2,1,0,0,12,4,8,3,1,4,7,1,0,0,0,0
216,0,0,1,1,0,3,3,4,2,0,2,6,0,0,0,12,5,7,0,0,4,6,0,0,0,0,0
217,0,1,2,2,1,3,3,4,2,0,2,2,1,0,0,12,6,6,1,3,4,7,0,0,0,0,0
218,0,1,3,3,1,3,3,4,1,0,2,2,1,0,0,12,7,5,2,2,3,7,0,0,0,0,0
219,1,1,4,4,1,3,1,6,1,0,2,2,1,0,0,12,8,4,3,1,4,7,1,0,0,0,0
220,1,0,4,4,0,3,-1,6,-1,0,3,4,0,0,0,12,9,3,0,0,4,6,1,0,0,8,8
221,1,1,5,5,1,3,-1,6,-1,0,2,2,1,0,0,12,10,2,1,3,4,6,1,0,0,8,8
222,1,-1,4,4,-1,1,-2,4,-3,0,3,3,1,0,0,12,11,1,2,2,3,6,1,0,0,8,8
223,0,-1,3,3,-1,-1,0,2,-3,1,1,1,1,1,1,16,0,0,3,1,3,6,2,8,8,8,0
224,0,0,3,3,0,-1,0,2,-3,0,2,6,0,0,0,4,1,3,0,0,3,5,2,0,8,8,0
225,0,0,3,3,0,-2,0,1,-3,0,2,4,0,0,0,4,2,2,0,0,3,6,3,0,8,8,0
