cycle255-floating-screen-checkpoint-v1
index	a	sigma	epsilon	T	q0	M	alpha	initial_l3	final_l3	forward_ratio	reverse_ratio	both_directions_ratio	energy_drift	enstrophy_drift
386	1,-2,-2,-2,0	1/16	1/256	1/8	5/4	77/64	77/64	0.11559844773154428	0.11559821891118137	0.99999802055851617	1.0000026490495237	1.0000026490495237	4.4408920985006262e-16	4.4408920985006262e-16
418	1,-2,-2,-2,0	1/16	1/512	1/8	5/4	77/64	77/64	0.11559844771154679	0.11559821889104129	0.99999802055728226	1.0000026490509244	1.0000026490509244	1.1102230246251565e-16	5.5511151231257827e-16
450	1,-2,-2,-2,0	1/16	1/1024	1/8	5/4	77/64	77/64	0.11559844770154801	0.11559821888097117	0.99999802055666509	1.0000026490516252	1.0000026490516252	1.2212453270876722e-15	1.2212453270876722e-15
482	1,-2,-2,-2,0	1/24	1/256	1/8	5/4	77/64	77/64	0.11559844769679468	0.11559821887617663	0.99999802055630838	1.0000026490520224	1.0000026490520224	8.8817841970012523e-16	6.6613381477509392e-16
514	1,-2,-2,-2,0	1/24	1/512	1/8	5/4	77/64	77/64	0.115598447694172	0.11559821887353894	0.99999802055617848	1.0000026490521738	1.0000026490521738	4.4408920985006262e-16	5.5511151231257827e-16
546	1,-2,-2,-2,0	1/24	1/1024	1/8	5/4	77/64	77/64	0.11559844769286064	0.11559821887222005	0.99999802055611342	1.0000026490522504	1.0000026490522504	2.2204460492503131e-16	2.2204460492503131e-16
1346	1,-2,-2,-1,0	1/16	1/256	1/8	9/8	11/16	11/16	0.094503583646444109	0.094505245768001886	1.0000175879209405	0.99998261789197096	1.0000175879209405	1.1102230246251565e-15	7.7715611723760958e-16
1378	1,-2,-2,-1,0	1/16	1/512	1/8	9/8	11/16	11/16	0.094503583629181001	0.094505245750653361	1.0000175879200399	0.99998261789295562	1.0000175879200399	2.2204460492503131e-16	4.4408920985006262e-16
1410	1,-2,-2,-1,0	1/16	1/1024	1/8	9/8	11/16	11/16	0.094503583620549489	0.094505245741979174	1.0000175879195901	0.99998261789344611	1.0000175879195901	1.5543122344752192e-15	1.7763568394002505e-15
1442	1,-2,-2,-1,0	1/24	1/256	1/8	9/8	11/16	11/16	0.094503583616488918	0.09450524573789601	1.0000175879193516	0.9999826178937018	1.0000175879193516	8.8817841970012523e-16	1.7763568394002505e-15
1474	1,-2,-2,-1,0	1/24	1/512	1/8	9/8	11/16	11/16	0.094503583614203496	0.094505245735600485	1.0000175879192452	0.9999826178938187	1.0000175879192452	9.9920072216264089e-16	7.7715611723760958e-16
1506	1,-2,-2,-1,0	1/24	1/1024	1/8	9/8	11/16	11/16	0.094503583613060771	0.094505245734452542	1.0000175879191902	0.99998261789387799	1.0000175879191902	6.6613381477509392e-16	4.4408920985006262e-16
2114	1,-2,-2,0,-1	1/16	1/256	1/8	5/4	43/32	43/32	0.10106150830085889	0.10106994076560448	1.0000834389362219	0.99991751877721402	1.0000834389362219	7.7715611723760958e-16	4.4408920985006262e-16
2146	1,-2,-2,0,-1	1/16	1/512	1/8	5/4	43/32	43/32	0.10106150830557793	0.10106994077050836	1.0000834389380469	0.99991751877539747	1.0000834389380469	1.7763568394002505e-15	9.9920072216264089e-16
2178	1,-2,-2,0,-1	1/16	1/1024	1/8	5/4	43/32	43/32	0.10106150830793736	0.10106994077296022	1.0000834389389595	0.9999175187744912	1.0000834389389595	9.9920072216264089e-16	3.3306690738754696e-16
2210	1,-2,-2,0,-1	1/24	1/256	1/8	5/4	43/32	43/32	0.10106150830902445	0.10106994077409152	1.000083438939396	0.99991751877405621	1.000083438939396	1.3322676295501878e-15	1.6653345369377348e-15
2242	1,-2,-2,0,-1	1/24	1/512	1/8	5/4	43/32	43/32	0.10106150830966071	0.10106994077475193	1.0000834389396345	0.99991751877381918	1.0000834389396345	6.6613381477509392e-16	6.6613381477509392e-16
2274	1,-2,-2,0,-1	1/24	1/1024	1/8	5/4	43/32	43/32	0.1010615083099789	0.10106994077508201	1.0000834389397519	0.9999175187737005	1.0000834389397519	7.7715611723760958e-16	5.5511151231257827e-16
2306	1,-2,-2,0,0	1/16	1/256	1/8	17/16	27/64	27/64	0.085354462039433227	0.085359769773319605	1.0000621846094457	0.99993800317726567	1.0000621846094457	2.4424906541753444e-15	1.9984014443252818e-15
2308	1,-2,-2,0,0	1/16	1/256	1/4	5/4	19/32	19/32	0.085354462039433227	0.085365094021713397	1.000124562700369	0.99987618873760864	1.000124562700369	2.4424906541753444e-15	2.7755575615628914e-15
2338	1,-2,-2,0,0	1/16	1/512	1/8	17/16	27/64	27/64	0.085354462040085163	0.08535976977384685	1.0000621846079845	0.9999380031787245	1.0000621846079845	1.3322676295501878e-15	9.9920072216264089e-16
2340	1,-2,-2,0,0	1/16	1/512	1/4	5/4	19/32	19/32	0.085354462040085163	0.085365094022115812	1.0001245626974447	0.99987618874051387	1.0001245626974447	7.7715611723760958e-16	9.9920072216264089e-16
2370	1,-2,-2,0,0	1/16	1/1024	1/8	17/16	27/64	27/64	0.085354462040411083	0.085359769774110611	1.0000621846072559	0.99993800317945269	1.0000621846072559	7.7715611723760958e-16	2.2204460492503131e-16
2372	1,-2,-2,0,0	1/16	1/1024	1/4	5/4	19/32	19/32	0.085354462040411083	0.085365094022317053	1.0001245626959834	0.99987618874196849	1.0001245626959834	8.8817841970012523e-16	1.2212453270876722e-15
2402	1,-2,-2,0,0	1/24	1/256	1/8	17/16	27/64	27/64	0.085354462040665713	0.085359769774335445	1.0000621846069067	0.99993800317979709	1.0000621846069067	5.5511151231257827e-16	1.1102230246251565e-15
2404	1,-2,-2,0,0	1/24	1/256	1/4	5/4	19/32	19/32	0.085354462040665713	0.085365094022511842	1.0001245626952819	0.9998761887426606	1.0001245626952819	7.7715611723760958e-16	4.4408920985006262e-16
2434	1,-2,-2,0,0	1/24	1/512	1/8	17/16	27/64	27/64	0.085354462040701434	0.085359769774354929	1.0000621846067164	0.99993800317998882	1.0000621846067164	8.8817841970012523e-16	1.5543122344752192e-15
2436	1,-2,-2,0,0	1/24	1/512	1/4	5/4	19/32	19/32	0.085354462040701434	0.085365094022515006	1.0001245626949005	0.99987618874303996	1.0001245626949005	1.8873791418627661e-15	2.2204460492503131e-15
2466	1,-2,-2,0,0	1/24	1/1024	1/8	17/16	27/64	27/64	0.085354462040719337	0.085359769774364672	1.0000621846066209	0.99993800318008408	1.0000621846066209	8.8817841970012523e-16	1.5543122344752192e-15
2468	1,-2,-2,0,0	1/24	1/1024	1/4	5/4	19/32	19/32	0.085354462040719337	0.085365094022516477	1.000124562694708	0.99987618874322925	1.000124562694708	1.2212453270876722e-15	1.4432899320127035e-15
2498	1,-2,-2,0,1	1/16	1/256	1/8	5/4	43/32	43/32	0.10084885593189906	0.10084521828483403	0.99996392971411119	1.0000365628484709	1.0000365628484709	1.9984014443252818e-15	1.6653345369377348e-15
2530	1,-2,-2,0,1	1/16	1/512	1/8	5/4	43/32	43/32	0.1008488559171505	0.10084521826987039	0.99996392971197323	1.0000365628506012	1.0000365628506012	1.5543122344752192e-15	1.6653345369377348e-15
2562	1,-2,-2,0,1	1/16	1/1024	1/8	5/4	43/32	43/32	0.10084885590977621	0.10084521826238854	0.99996392971090398	1.000036562851667	1.000036562851667	1.9984014443252818e-15	8.8817841970012523e-16
2594	1,-2,-2,0,1	1/24	1/256	1/8	5/4	43/32	43/32	0.1008488559062814	0.10084521825884245	0.99996392971039427	1.0000365628521768	1.0000365628521768	1.3322676295501878e-15	1.5543122344752192e-15
2626	1,-2,-2,0,1	1/24	1/512	1/8	5/4	43/32	43/32	0.10084885590434155	0.10084521825687462	0.99996392971011616	1.0000365628524555	1.0000365628524555	1.3322676295501878e-15	9.9920072216264089e-16
2658	1,-2,-2,0,1	1/24	1/1024	1/8	5/4	43/32	43/32	0.1008488559033718	0.10084521825589059	0.99996392970997416	1.0000365628525942	1.0000365628525942	9.9920072216264089e-16	1.3322676295501878e-15
3266	1,-2,-2,1,0	1/16	1/256	1/8	9/8	11/16	11/16	0.093764001565471919	0.093769494195157232	1.0000585793011563	0.99994213257280917	1.0000585793011563	2.4424906541753444e-15	2.1094237467877974e-15
3298	1,-2,-2,1,0	1/16	1/512	1/8	9/8	11/16	11/16	0.09376400158266672	0.09376949421206271	1.0000585792980599	0.99994213257590292	1.0000585792980599	1.9984014443252818e-15	7.7715611723760958e-16
3330	1,-2,-2,1,0	1/16	1/1024	1/8	9/8	11/16	11/16	0.093764001591264218	0.093769494220515573	1.000058579296512	0.9999421325774499	1.000058579296512	1.9984014443252818e-15	8.8817841970012523e-16
3362	1,-2,-2,1,0	1/24	1/256	1/8	9/8	11/16	11/16	0.093764001595400756	0.093769494224581806	1.0000585792957595	0.99994213257819997	1.0000585792957595	1.5543122344752192e-15	1.4432899320127035e-15
3394	1,-2,-2,1,0	1/24	1/512	1/8	9/8	11/16	11/16	0.093764001597631264	0.093769494226774927	1.0000585792953594	0.99994213257859854	1.0000585792953594	1.5543122344752192e-15	9.9920072216264089e-16
3426	1,-2,-2,1,0	1/24	1/1024	1/8	9/8	11/16	11/16	0.093764001598746413	0.093769494227871703	1.0000585792951626	0.99994213257879838	1.0000585792951626	2.4424906541753444e-15	5.5511151231257827e-16
4226	1,-2,-2,2,0	1/16	1/256	1/8	5/4	77/64	77/64	0.11474732440626563	0.11474920661068239	1.0000164030353342	0.99998495568434775	1.0000164030353342	1.6653345369377348e-15	2.2204460492503131e-15
4258	1,-2,-2,2,0	1/16	1/512	1/8	5/4	77/64	77/64	0.11474732442334837	0.11474920662747549	1.0000164030328078	0.99998495568685619	1.0000164030328078	7.7715611723760958e-16	9.9920072216264089e-16
4290	1,-2,-2,2,0	1/16	1/1024	1/8	5/4	77/64	77/64	0.11474732443188987	0.11474920663587192	1.0000164030315424	0.99998495568810897	1.0000164030315424	7.7715611723760958e-16	8.8817841970012523e-16
4322	1,-2,-2,2,0	1/24	1/256	1/8	5/4	77/64	77/64	0.11474732443591609	0.11474920663982946	1.0000164030309431	0.99998495568870704	1.0000164030309431	1.1102230246251565e-15	5.5511151231257827e-16
4354	1,-2,-2,2,0	1/24	1/512	1/8	5/4	77/64	77/64	0.11474732443817359	0.11474920664204891	1.0000164030306111	0.99998495568903634	1.0000164030306111	1.1102230246251565e-15	2.2204460492503131e-16
4386	1,-2,-2,2,0	1/24	1/1024	1/8	5/4	77/64	77/64	0.11474732443930223	0.11474920664315866	1.0000164030304464	0.99998495568920298	1.0000164030304464	4.4408920985006262e-16	4.4408920985006262e-16
5186	1,-2,-1,-2,0	1/16	1/256	1/8	9/8	49/64	49/64	0.1009047760423681	0.10090490458056812	1.0000012738564523	0.99999962489935346	1.0000012738564523	1.2212453270876722e-15	9.9920072216264089e-16
5218	1,-2,-1,-2,0	1/16	1/512	1/8	9/8	49/64	49/64	0.10090477602522684	0.10090490456333581	1.0000012738555502	0.99999962490033378	1.0000012738555502	1.2212453270876722e-15	1.3322676295501878e-15
5250	1,-2,-1,-2,0	1/16	1/1024	1/8	9/8	49/64	49/64	0.10090477601665589	0.10090490455471954	1.0000012738551012	0.99999962490082472	1.0000012738551012	1.2212453270876722e-15	9.9920072216264089e-16
5282	1,-2,-1,-2,0	1/24	1/256	1/8	9/8	49/64	49/64	0.10090477601258986	0.10090490455062312	1.0000012738547999	0.99999962490114369	1.0000012738547999	1.3322676295501878e-15	1.2212453270876722e-15
5314	1,-2,-1,-2,0	1/24	1/512	1/8	9/8	49/64	49/64	0.10090477601033759	0.10090490454836325	1.0000012738547246	0.99999962490122929	1.0000012738547246	1.7763568394002505e-15	1.8873791418627661e-15
5346	1,-2,-1,-2,0	1/24	1/1024	1/8	9/8	49/64	49/64	0.10090477600921152	0.10090490454723319	1.0000012738546851	0.99999962490127059	1.0000012738546851	9.9920072216264089e-16	1.2212453270876722e-15
5954	1,-2,-1,-1,-1	1/16	1/256	1/8	5/4	93/64	93/64	0.093512910866190319	0.093508642094825234	0.99995435099468577	1.0000478210589359	1.0000478210589359	4.4408920985006262e-16	1.7763568394002505e-15
5986	1,-2,-1,-1,-1	1/16	1/512	1/8	5/4	93/64	93/64	0.093512910860002005	0.093508642088694194	0.99995435099529517	1.000047821058367	1.000047821058367	8.8817841970012523e-16	1.8873791418627661e-15
6018	1,-2,-1,-1,-1	1/16	1/1024	1/8	5/4	93/64	93/64	0.093512910856908035	0.093508642085628826	0.99995435099559948	1.0000478210580794	1.0000478210580794	8.8817841970012523e-16	4.4408920985006262e-16
6050	1,-2,-1,-1,-1	1/24	1/256	1/8	5/4	93/64	93/64	0.09351291085541856	0.093508642084153715	0.99995435099575236	1.0000478210579371	1.0000478210579371	1.3322676295501878e-15	8.8817841970012523e-16
6082	1,-2,-1,-1,-1	1/24	1/512	1/8	5/4	93/64	93/64	0.093512910854616202	0.093508642083358545	0.99995435099582886	1.0000478210578658	1.0000478210578658	6.6613381477509392e-16	6.6613381477509392e-16
6114	1,-2,-1,-1,-1	1/24	1/1024	1/8	5/4	93/64	93/64	0.093512910854215051	0.093508642082960891	0.99995435099586605	1.0000478210578307	1.0000478210578307	6.6613381477509392e-16	3.3306690738754696e-16
6146	1,-2,-1,-1,0	1/16	1/256	1/8	17/16	15/32	15/32	0.076760742179037861	0.07676222546056273	1.0000193234390753	0.99998099615564162	1.0000193234390753	8.8817841970012523e-16	6.6613381477509392e-16
6148	1,-2,-1,-1,0	1/16	1/256	1/4	5/4	11/16	11/16	0.076760742179037861	0.076763733549576219	1.0000389700575247	0.99996230808251219	1.0000389700575247	1.1102230246251565e-15	2.2204460492503131e-16
