cycle255-floating-screen-checkpoint-v1
index	a	sigma	epsilon	T	q0	M	alpha	initial_l3	final_l3	forward_ratio	reverse_ratio	both_directions_ratio	energy_drift	enstrophy_drift
30913	1,-1,-1,0,-1	1/16	1/256	1/16	17/16	41/64	41/64	0.071738859823000475	0.071740909662467781	1.0000285736276318	0.99997171313404898	1.0000285736276318	5.5511151231257827e-16	0
30945	1,-1,-1,0,-1	1/16	1/512	1/16	17/16	41/64	41/64	0.071738859826235415	0.071740909665779007	1.0000285736286938	0.99997171313299138	1.0000285736286938	9.9920072216264089e-16	1.2212453270876722e-15
30977	1,-1,-1,0,-1	1/16	1/1024	1/16	17/16	41/64	41/64	0.071738859827852927	0.071740909667434558	1.0000285736292234	0.99997171313246058	1.0000285736292234	5.5511151231257827e-16	6.6613381477509392e-16
31009	1,-1,-1,0,-1	1/24	1/256	1/16	17/16	41/64	41/64	0.071738859828473972	0.071740909668073963	1.0000285736294792	0.99997171313220878	1.0000285736294792	3.3306690738754696e-16	7.7715611723760958e-16
31041	1,-1,-1,0,-1	1/24	1/512	1/16	17/16	41/64	41/64	0.071738859828972212	0.071740909668582153	1.0000285736296175	0.99997171313207145	1.0000285736296175	1.3322676295501878e-15	1.1102230246251565e-15
31073	1,-1,-1,0,-1	1/24	1/1024	1/16	17/16	41/64	41/64	0.071738859829221277	0.071740909668836256	1.0000285736296877	0.99997171313200151	1.0000285736296877	9.9920072216264089e-16	8.8817841970012523e-16
31105	1,-1,-1,0,0	1/16	1/256	1/16	33/32	7/32	7/32	0.048306708479150633	0.048307575258170497	1.0000179432432297	0.99998206101516074	1.0000179432432297	4.4408920985006262e-16	1.1102230246251565e-15
31107	1,-1,-1,0,0	1/16	1/256	3/16	17/16	15/64	15/64	0.048306708479150633	0.048309309422570203	1.0000538422819822	0.99994619605777113	1.0000538422819822	1.1102230246251565e-15	2.2204460492503131e-16
31109	1,-1,-1,0,0	1/16	1/256	5/16	9/8	17/64	17/64	0.048306708479150633	0.048311044378453565	1.0000897577052845	0.99991034886454644	1.0000897577052845	4.4408920985006262e-16	8.8817841970012523e-16
31111	1,-1,-1,0,0	1/16	1/256	7/16	5/4	21/64	21/64	0.048306708479150633	0.04831278010670715	1.0001256891174677	0.99987451995825893	1.0001256891174677	1.5543122344752192e-15	2.2204460492503131e-16
31113	1,-1,-1,0,0	1/16	1/256	9/16	5/4	21/64	21/64	0.048306708479150633	0.048314516589702469	1.0001616361536039	0.99983870989040657	1.0001616361536039	2.4424906541753444e-15	8.8817841970012523e-16
31137	1,-1,-1,0,0	1/16	1/512	1/16	33/32	7/32	7/32	0.048306708478916688	0.04830757525788127	1.0000179432420853	0.99998206101629705	1.0000179432420853	4.4408920985006262e-16	8.8817841970012523e-16
31139	1,-1,-1,0,0	1/16	1/512	3/16	17/16	15/64	15/64	0.048306708478916688	0.048309309422169641	1.0000538422785334	0.99994619606116109	1.0000538422785334	1.1102230246251565e-15	1.1102230246251565e-15
31141	1,-1,-1,0,0	1/16	1/512	5/16	9/8	17/64	17/64	0.048306708478916688	0.048311044377940211	1.0000897576995007	0.99991034887016506	1.0000897576995007	8.8817841970012523e-16	1.3322676295501878e-15
31143	1,-1,-1,0,0	1/16	1/512	7/16	5/4	21/64	21/64	0.048306708478916688	0.048312780106080033	1.0001256891093293	0.99987451996607635	1.0001256891093293	1.7763568394002505e-15	2.2204460492503131e-15
31145	1,-1,-1,0,0	1/16	1/512	9/16	5/4	21/64	21/64	0.048306708478916688	0.048314516588960223	1.0001616361430823	0.99983870990039481	1.0001616361430823	8.8817841970012523e-16	3.4416913763379853e-15
31169	1,-1,-1,0,0	1/16	1/1024	1/16	33/32	7/32	7/32	0.048306708478799705	0.048307575257736733	1.0000179432415151	0.99998206101686438	1.0000179432415151	4.4408920985006262e-16	4.4408920985006262e-16
31171	1,-1,-1,0,0	1/16	1/1024	3/16	17/16	15/64	15/64	0.048306708478799705	0.048309309421969308	1.0000538422768082	0.99994619606285751	1.0000538422768082	1.3322676295501878e-15	8.8817841970012523e-16
31173	1,-1,-1,0,0	1/16	1/1024	5/16	9/8	17/64	17/64	0.048306708478799705	0.048311044377683604	1.0000897576966106	0.9999103488729737	1.0000897576966106	2.2204460492503131e-16	1.6653345369377348e-15
31175	1,-1,-1,0,0	1/16	1/1024	7/16	5/4	21/64	21/64	0.048306708478799705	0.048312780105766361	1.0001256891052579	0.99987451996998433	1.0001256891052579	1.1102230246251565e-15	3.3306690738754696e-15
31177	1,-1,-1,0,0	1/16	1/1024	9/16	5/4	21/64	21/64	0.048306708478799705	0.048314516588589124	1.0001616361378223	0.99983870990538937	1.0001616361378223	1.1102230246251565e-15	1.6653345369377348e-15
31201	1,-1,-1,0,0	1/24	1/256	1/16	33/32	7/32	7/32	0.048306708478789664	0.04830757525771346	1.000017943241241	0.99998206101713416	1.000017943241241	4.4408920985006262e-16	4.4408920985006262e-16
31203	1,-1,-1,0,0	1/24	1/256	3/16	17/16	15/64	15/64	0.048306708478789664	0.048309309421919466	1.0000538422759842	0.99994619606366653	1.0000538422759842	1.5543122344752192e-15	1.1102230246251565e-15
31205	1,-1,-1,0,0	1/24	1/256	5/16	9/8	17/64	17/64	0.048306708478789664	0.048311044377606929	1.0000897576952312	0.99991034887431396	1.0000897576952312	1.7763568394002505e-15	2.4424906541753444e-15
31207	1,-1,-1,0,0	1/24	1/256	7/16	5/4	21/64	21/64	0.048306708478789664	0.048312780105662624	1.0001256891033183	0.99987451997185339	1.0001256891033183	1.7763568394002505e-15	1.6653345369377348e-15
31209	1,-1,-1,0,0	1/24	1/256	9/16	5/4	21/64	21/64	0.048306708478789664	0.04831451658845802	1.0001616361353161	0.9998387099077779	1.0001616361353161	2.6645352591003757e-15	3.7747582837255322e-15
31233	1,-1,-1,0,0	1/24	1/512	1/16	33/32	7/32	7/32	0.048306708478736214	0.048307575257652793	1.0000179432410916	0.99998206101728426	1.0000179432410916	6.6613381477509392e-16	6.6613381477509392e-16
31235	1,-1,-1,0,0	1/24	1/512	3/16	17/16	15/64	15/64	0.048306708478736214	0.048309309421844221	1.000053842275533	0.99994619606410862	1.000053842275533	1.1102230246251565e-15	1.4432899320127035e-15
31237	1,-1,-1,0,0	1/24	1/512	5/16	9/8	17/64	17/64	0.048306708478736214	0.048311044377516883	1.0000897576944738	0.9999103488750487	1.0000897576944738	1.1102230246251565e-15	1.3322676295501878e-15
31239	1,-1,-1,0,0	1/24	1/512	7/16	5/4	21/64	21/64	0.048306708478736214	0.048312780105557764	1.0001256891022543	0.99987451997287136	1.0001256891022543	1.9984014443252818e-15	2.4424906541753444e-15
31241	1,-1,-1,0,0	1/24	1/512	9/16	5/4	21/64	21/64	0.048306708478736214	0.048314516588337977	1.0001616361339378	0.99983870990907853	1.0001616361339378	2.886579864025407e-15	2.2204460492503131e-15
31265	1,-1,-1,0,0	1/24	1/1024	1/16	33/32	7/32	7/32	0.048306708478709458	0.04830757525762245	1.0000179432410174	0.99998206101735976	1.0000179432410174	8.8817841970012523e-16	4.4408920985006262e-16
31267	1,-1,-1,0,0	1/24	1/1024	3/16	17/16	15/64	15/64	0.048306708478709458	0.048309309421806598	1.000053842275308	0.99994619606433055	1.000053842275308	1.3322676295501878e-15	1.6653345369377348e-15
31269	1,-1,-1,0,0	1/24	1/1024	5/16	9/8	17/64	17/64	0.048306708478709458	0.048311044377471947	1.0000897576940975	0.99991034887541552	1.0000897576940975	8.8817841970012523e-16	4.4408920985006262e-16
31271	1,-1,-1,0,0	1/24	1/1024	7/16	5/4	21/64	21/64	0.048306708478709458	0.048312780105505264	1.0001256891017214	0.99987451997338206	1.0001256891017214	6.6613381477509392e-16	1.1102230246251565e-15
31273	1,-1,-1,0,0	1/24	1/1024	9/16	5/4	21/64	21/64	0.048306708478709458	0.048314516588278004	1.0001616361332504	0.99983870990973123	1.0001616361332504	1.7763568394002505e-15	8.8817841970012523e-16
31297	1,-1,-1,0,1	1/16	1/256	1/16	17/16	41/64	41/64	0.071847267838619666	0.071845456883227368	0.99997479437358194	1.0000254344342172	1.0000254344342172	5.5511151231257827e-16	6.6613381477509392e-16
31329	1,-1,-1,0,1	1/16	1/512	1/16	17/16	41/64	41/64	0.071847267820030661	0.071845456864625901	0.99997479437340198	1.0000254344343988	1.0000254344343988	1.3322676295501878e-15	1.4432899320127035e-15
31361	1,-1,-1,0,1	1/16	1/1024	1/16	17/16	41/64	41/64	0.071847267810736068	0.071845456855325243	0.99997479437331427	1.0000254344344903	1.0000254344344903	1.3322676295501878e-15	1.2212453270876722e-15
31393	1,-1,-1,0,1	1/24	1/256	1/16	17/16	41/64	41/64	0.071847267806375945	0.071845456850962219	0.99997479437327241	1.0000254344345376	1.0000254344345376	6.6613381477509392e-16	6.6613381477509392e-16
31425	1,-1,-1,0,1	1/24	1/512	1/16	17/16	41/64	41/64	0.071847267803908821	0.071845456848493444	0.99997479437324854	1.0000254344345583	1.0000254344345583	5.5511151231257827e-16	9.9920072216264089e-16
31457	1,-1,-1,0,1	1/24	1/1024	1/16	17/16	41/64	41/64	0.071847267802675113	0.071845456847258987	0.99997479437323766	1.0000254344345709	1.0000254344345709	5.5511151231257827e-16	5.5511151231257827e-16
31489	1,-1,-1,0,2	1/16	1/256	1/16	9/8	81/64	81/64	0.11440099163174193	0.11440018148301487	0.99999291834174242	1.0000075072746744	1.0000075072746744	2.2204460492503131e-16	5.5511151231257827e-16
31521	1,-1,-1,0,2	1/16	1/512	1/16	9/8	81/64	81/64	0.11440099161716405	0.11440018146844919	0.99999291834184811	1.0000075072745864	1.0000075072745864	2.2204460492503131e-16	1.2212453270876722e-15
31553	1,-1,-1,0,2	1/16	1/1024	1/16	9/8	81/64	81/64	0.1144009916098753	0.11440018146116644	0.99999291834190029	1.0000075072745414	1.0000075072745414	3.3306690738754696e-16	1.1102230246251565e-15
31585	1,-1,-1,0,2	1/24	1/256	1/16	9/8	81/64	81/64	0.11440099160640849	0.1144001814577026	0.99999291834192594	1.0000075072745225	1.0000075072745225	8.8817841970012523e-16	1.6653345369377348e-15
31617	1,-1,-1,0,2	1/24	1/512	1/16	9/8	81/64	81/64	0.1144009916044975	0.11440018145579313	0.99999291834193904	1.00000750727451	1.00000750727451	1.1102230246251565e-15	1.2212453270876722e-15
31649	1,-1,-1,0,2	1/24	1/1024	1/16	9/8	81/64	81/64	0.114400991603542	0.11440018145483848	0.99999291834194648	1.000007507274504	1.000007507274504	6.6613381477509392e-16	1.2212453270876722e-15
31681	1,-1,-1,1,-2	1/16	1/256	1/16	9/8	95/64	95/64	0.12116891102117067	0.12117197759441727	1.0000253082512729	0.99997546121045966	1.0000253082512729	8.8817841970012523e-16	1.1102230246251565e-15
31713	1,-1,-1,1,-2	1/16	1/512	1/16	9/8	95/64	95/64	0.12116891101817309	0.12117197759148032	1.000025308251774	0.99997546120996694	1.000025308251774	2.2204460492503131e-16	4.4408920985006262e-16
31745	1,-1,-1,1,-2	1/16	1/1024	1/16	9/8	95/64	95/64	0.12116891101667424	0.12117197759001172	1.0000253082520241	0.99997546120972036	1.0000253082520241	7.7715611723760958e-16	3.3306690738754696e-16
31777	1,-1,-1,1,-2	1/24	1/256	1/16	9/8	95/64	95/64	0.12116891101583771	0.12117197758918952	1.0000253082521424	0.9999754612096039	1.0000253082521424	6.6613381477509392e-16	6.6613381477509392e-16
31809	1,-1,-1,1,-2	1/24	1/512	1/16	9/8	95/64	95/64	0.12116891101550673	0.12117197758886655	1.0000253082522086	0.99997546120953562	1.0000253082522086	1.4432899320127035e-15	1.8873791418627661e-15
31841	1,-1,-1,1,-2	1/24	1/1024	1/16	9/8	95/64	95/64	0.12116891101534111	0.12117197758870499	1.0000253082522421	0.99997546120950531	1.0000253082522421	6.6613381477509392e-16	4.4408920985006262e-16
31873	1,-1,-1,1,-1	1/16	1/256	1/16	17/16	53/64	53/64	0.081764311997018127	0.081768924198731524	1.0000564084941308	0.9999439340492573	1.0000564084941308	4.4408920985006262e-16	7.7715611723760958e-16
31905	1,-1,-1,1,-1	1/16	1/512	1/16	17/16	53/64	53/64	0.081764312004681233	0.081768924206465796	1.0000564084949959	0.99994393404839166	1.0000564084949959	7.7715611723760958e-16	9.9920072216264089e-16
31937	1,-1,-1,1,-1	1/16	1/1024	1/16	17/16	53/64	53/64	0.081764312008512877	0.081768924210332911	1.0000564084954271	0.99994393404795756	1.0000564084954271	6.6613381477509392e-16	4.4408920985006262e-16
31969	1,-1,-1,1,-1	1/24	1/256	1/16	17/16	53/64	53/64	0.081764312010158491	0.081768924211995497	1.0000564084956336	0.99994393404775384	1.0000564084956336	6.6613381477509392e-16	7.7715611723760958e-16
32001	1,-1,-1,1,-1	1/24	1/512	1/16	17/16	53/64	53/64	0.081764312011251616	0.081768924213097685	1.0000564084957437	0.99994393404763904	1.0000564084957437	5.5511151231257827e-16	1.7763568394002505e-15
32033	1,-1,-1,1,-1	1/24	1/1024	1/16	17/16	53/64	53/64	0.081764312011797971	0.081768924213648855	1.0000564084958021	0.99994393404758286	1.0000564084958021	4.4408920985006262e-16	4.4408920985006262e-16
32065	1,-1,-1,1,0	1/16	1/256	1/16	33/32	25/64	25/64	0.062183741274891319	0.062183284523588137	0.99999265481146971	1.0000074159258774	1.0000074159258774	4.4408920985006262e-16	9.9920072216264089e-16
32067	1,-1,-1,1,0	1/16	1/256	3/16	9/8	31/64	31/64	0.062183741274891319	0.062182384166610143	0.99997817583417536	1.0000224607708501	1.0000224607708501	9.9920072216264089e-16	1.1102230246251565e-15
32069	1,-1,-1,1,0	1/16	1/256	5/16	5/4	5/8	5/8	0.062183741274891319	0.062181501248288938	0.99996397729444297	1.00003779090283	1.00003779090283	4.4408920985006262e-16	6.6613381477509392e-16
32097	1,-1,-1,1,0	1/16	1/512	1/16	33/32	25/64	25/64	0.062183741290329782	0.062183284538962186	0.99999265481043564	1.000007415926915	1.000007415926915	6.6613381477509392e-16	8.8817841970012523e-16
32099	1,-1,-1,1,0	1/16	1/512	3/16	9/8	31/64	31/64	0.062183741290329782	0.062182384181855427	0.99997817583107429	1.0000224607739654	1.0000224607739654	2.2204460492503131e-16	9.9920072216264089e-16
32101	1,-1,-1,1,0	1/16	1/512	5/16	5/4	5/8	5/8	0.062183741290329782	0.062181501263405901	0.99996397728928177	1.0000377909080302	1.0000377909080302	1.1102230246251565e-15	1.3322676295501878e-15
32129	1,-1,-1,1,0	1/16	1/1024	1/16	33/32	25/64	25/64	0.062183741298049072	0.06218328454664921	0.99999265480991772	1.0000074159274308	1.0000074159274308	4.4408920985006262e-16	6.6613381477509392e-16
32131	1,-1,-1,1,0	1/16	1/1024	3/16	9/8	31/64	31/64	0.062183741298049072	0.062182384189478183	0.99997817582952453	1.000022460775521	1.000022460775521	7.7715611723760958e-16	7.7715611723760958e-16
32133	1,-1,-1,1,0	1/16	1/1024	5/16	5/4	5/8	5/8	0.062183741298049072	0.062181501270964383	0.99996397728670017	1.0000377909106277	1.0000377909106277	8.8817841970012523e-16	8.8817841970012523e-16
32161	1,-1,-1,1,0	1/24	1/256	1/16	33/32	25/64	25/64	0.06218374130169451	0.062183284550279383	0.9999926548096727	1.0000074159276786	1.0000074159276786	8.8817841970012523e-16	8.8817841970012523e-16
32163	1,-1,-1,1,0	1/24	1/256	3/16	9/8	31/64	31/64	0.06218374130169451	0.062182384193077818	0.99997817582878923	1.0000224607762587	1.0000224607762587	9.9920072216264089e-16	1.4432899320127035e-15
32165	1,-1,-1,1,0	1/24	1/256	5/16	5/4	5/8	5/8	0.06218374130169451	0.062181501274533542	0.99996397728547559	1.0000377909118572	1.0000377909118572	5.5511151231257827e-16	1.1102230246251565e-15
32193	1,-1,-1,1,0	1/24	1/512	1/16	33/32	25/64	25/64	0.062183741303731416	0.062183284552307781	0.99999265480953614	1.0000074159278134	1.0000074159278134	6.6613381477509392e-16	6.6613381477509392e-16
32195	1,-1,-1,1,0	1/24	1/512	3/16	9/8	31/64	31/64	0.062183741303731416	0.062182384195089285	0.99997817582838089	1.0000224607766686	1.0000224607766686	4.4408920985006262e-16	1.1102230246251565e-15
32197	1,-1,-1,1,0	1/24	1/512	5/16	5/4	5/8	5/8	0.062183741303731416	0.062181501276528259	0.99996397728479836	1.0000377909125429	1.0000377909125429	2.2204460492503131e-16	3.3306690738754696e-16
32225	1,-1,-1,1,0	1/24	1/1024	1/16	33/32	25/64	25/64	0.062183741304749851	0.062183284553321984	0.9999926548094682	1.0000074159278813	1.0000074159278813	2.2204460492503131e-16	6.6613381477509392e-16
32227	1,-1,-1,1,0	1/24	1/1024	3/16	9/8	31/64	31/64	0.062183741304749851	0.062182384196095029	0.99997817582817716	1.0000224607768744	1.0000224607768744	8.8817841970012523e-16	8.8817841970012523e-16
32229	1,-1,-1,1,0	1/24	1/1024	5/16	5/4	5/8	5/8	0.062183741304749851	0.062181501277525426	0.99996397728445696	1.0000377909128848	1.0000377909128848	8.8817841970012523e-16	7.7715611723760958e-16
32257	1,-1,-1,1,1	1/16	1/256	1/16	17/16	53/64	53/64	0.082002526309231383	0.081997938450809826	0.99994405223072935	1.0000565336062539	1.0000565336062539	3.3306690738754696e-16	2.2204460492503131e-16
32289	1,-1,-1,1,1	1/16	1/512	1/16	17/16	53/64	53/64	0.082002526302820788	0.081997938444344928	0.99994405223006277	1.0000565336069112	1.0000565336069112	2.2204460492503131e-16	1.2212453270876722e-15
32321	1,-1,-1,1,1	1/16	1/1024	1/16	17/16	53/64	53/64	0.082002526299615658	0.081997938441112542	0.99994405222972826	1.0000565336072382	1.0000565336072382	1.1102230246251565e-16	4.4408920985006262e-16
32353	1,-1,-1,1,1	1/24	1/256	1/16	17/16	53/64	53/64	0.082002526298179806	0.081997938439663381	0.99994405222956495	1.0000565336074025	1.0000565336074025	2.2204460492503131e-16	9.9920072216264089e-16
32385	1,-1,-1,1,1	1/24	1/512	1/16	17/16	53/64	53/64	0.082002526297295042	0.081997938438771817	0.99994405222948146	1.0000565336074856	1.0000565336074856	7.7715611723760958e-16	1.7763568394002505e-15
32417	1,-1,-1,1,1	1/24	1/1024	1/16	17/16	53/64	53/64	0.082002526296852618	0.081997938438325979	0.9999440522294395	1.000056533607528	1.000056533607528	4.4408920985006262e-16	1.3322676295501878e-15
32449	1,-1,-1,1,2	1/16	1/256	1/16	9/8	95/64	95/64	0.12131936776419336	0.1213165018000545	0.99997637669737593	1.000024551812922	1.000024551812922	1.1102230246251565e-15	5.5511151231257827e-16
32481	1,-1,-1,1,2	1/16	1/512	1/16	9/8	95/64	95/64	0.12131936775407183	0.12131650178992136	0.99997637669727824	1.0000245518130246	1.0000245518130246	5.5511151231257827e-16	1.3322676295501878e-15
32513	1,-1,-1,1,2	1/16	1/1024	1/16	9/8	95/64	95/64	0.12131936774901117	0.12131650178485497	0.99997637669722994	1.0000245518130746	1.0000245518130746	5.5511151231257827e-16	6.6613381477509392e-16
32545	1,-1,-1,1,2	1/24	1/256	1/16	9/8	95/64	95/64	0.1213193677466423	0.12131650178248309	0.99997637669720463	1.0000245518131028	1.0000245518131028	6.6613381477509392e-16	9.9920072216264089e-16
32577	1,-1,-1,1,2	1/24	1/512	1/16	9/8	95/64	95/64	0.12131936774529631	0.12131650178113568	0.99997637669719275	1.0000245518131141	1.0000245518131141	8.8817841970012523e-16	1.9984014443252818e-15
32609	1,-1,-1,1,2	1/24	1/1024	1/16	9/8	95/64	95/64	0.12131936774462343	0.12131650178046219	0.99997637669718764	1.0000245518131199	1.0000245518131199	2.2204460492503131e-16	1.1102230246251565e-16
32641	1,-1,-1,2,-2	1/16	1/256	1/16	9/8	109/64	109/64	0.1385036494960552	0.13850723039400753	1.0000258541776001	0.99997511085972579	1.0000258541776001	9.9920072216264089e-16	6.6613381477509392e-16
32673	1,-1,-1,2,-2	1/16	1/512	1/16	9/8	109/64	109/64	0.13850364949567631	0.13850723039368495	1.0000258541780067	0.99997511085932256	1.0000258541780067	1.2212453270876722e-15	1.7763568394002505e-15
32705	1,-1,-1,2,-2	1/16	1/1024	1/16	9/8	109/64	109/64	0.13850364949548724	0.13850723039352386	1.0000258541782088	0.99997511085911994	1.0000258541782088	6.6613381477509392e-16	4.4408920985006262e-16
32737	1,-1,-1,2,-2	1/24	1/256	1/16	9/8	109/64	109/64	0.13850364949523711	0.13850723039328752	1.0000258541783085	0.99997511085902147	1.0000258541783085	1.6653345369377348e-15	1.5543122344752192e-15
32769	1,-1,-1,2,-2	1/24	1/512	1/16	9/8	109/64	109/64	0.13850364949526736	0.13850723039332502	1.0000258541783607	0.99997511085896995	1.0000258541783607	6.6613381477509392e-16	8.8817841970012523e-16
32801	1,-1,-1,2,-2	1/24	1/1024	1/16	9/8	109/64	109/64	0.13850364949528249	0.13850723039334362	1.0000258541783857	0.99997511085894508	1.0000258541783857	1.4432899320127035e-15	1.7763568394002505e-15
32833	1,-1,-1,2,-1	1/16	1/256	1/16	9/8	77/64	77/64	0.10428205847151145	0.10428524647883691	1.0000305710049475	0.99996959980341316	1.0000305710049475	1.3322676295501878e-15	1.1102230246251565e-15
32865	1,-1,-1,2,-1	1/16	1/512	1/16	9/8	77/64	77/64	0.10428205847770179	0.10428524648508573	1.0000305710055064	0.99996959980286171	1.0000305710055064	6.6613381477509392e-16	4.4408920985006262e-16
32897	1,-1,-1,2,-1	1/16	1/1024	1/16	9/8	77/64	77/64	0.10428205848079707	0.10428524648820997	1.0000305710057833	0.99996959980258326	1.0000305710057833	1.3322676295501878e-15	9.9920072216264089e-16
32929	1,-1,-1,2,-1	1/24	1/256	1/16	9/8	77/64	77/64	0.10428205848209258	0.10428524648952055	1.0000305710059272	0.99996959980243694	1.0000305710059272	1.1102230246251565e-15	1.1102230246251565e-15
32961	1,-1,-1,2,-1	1/24	1/512	1/16	9/8	77/64	77/64	0.10428205848299253	0.1042852464904275	1.0000305710059942	0.9999695998023721	1.0000305710059942	5.5511151231257827e-16	2.2204460492503131e-16
32993	1,-1,-1,2,-1	1/24	1/1024	1/16	9/8	77/64	77/64	0.10428205848344253	0.10428524649088078	1.0000305710060255	0.99996959980233691	1.0000305710060255	8.8817841970012523e-16	6.6613381477509392e-16
33025	1,-1,-1,2,0	1/16	1/256	1/16	17/16	39/64	39/64	0.089410044801775196	0.089409469121070145	0.99999356134194628	1.0000066109735419	1.0000066109735419	7.7715611723760958e-16	1.3322676295501878e-15
33027	1,-1,-1,2,0	1/16	1/256	3/16	5/4	15/16	15/16	0.089410044801775196	0.089408364050559672	0.99998120176296468	1.0000203489207908	1.0000203489207908	1.7763568394002505e-15	1.7763568394002505e-15
33057	1,-1,-1,2,0	1/16	1/512	1/16	17/16	39/64	39/64	0.089410044810318653	0.089409469129601474	0.99999356134181117	1.0000066109736743	1.0000066109736743	8.8817841970012523e-16	8.8817841970012523e-16
33059	1,-1,-1,2,0	1/16	1/512	3/16	5/4	15/16	15/16	0.089410044810318653	0.089408364059065298	0.99998120176254335	1.0000203489211723	1.0000203489211723	6.6613381477509392e-16	1.1102230246251565e-15
33089	1,-1,-1,2,0	1/16	1/1024	1/16	17/16	39/64	39/64	0.089410044814590417	0.089409469133867103	0.99999356134174289	1.000006610973738	1.000006610973738	1.1102230246251565e-16	5.5511151231257827e-16
33091	1,-1,-1,2,0	1/16	1/1024	3/16	5/4	15/16	15/16	0.089410044814590417	0.089408364063318174	0.99998120176233296	1.0000203489213619	1.0000203489213619	3.3306690738754696e-16	4.4408920985006262e-16
33121	1,-1,-1,2,0	1/24	1/256	1/16	17/16	39/64	39/64	0.089410044816562534	0.089409469135837957	0.9999935613417289	1.0000066109737518	1.0000066109737518	3.3306690738754696e-16	5.5511151231257827e-16
33123	1,-1,-1,2,0	1/24	1/256	3/16	5/4	15/16	15/16	0.089410044816562534	0.0894083640652861	0.99998120176228655	1.000020348921399	1.000020348921399	1.5543122344752192e-15	1.9984014443252818e-15
33153	1,-1,-1,2,0	1/24	1/512	1/16	17/16	39/64	39/64	0.089410044817712198	0.089409469136985331	0.99999356134170336	1.000006610973778	1.000006610973778	7.7715611723760958e-16	2.2204460492503131e-16
33155	1,-1,-1,2,0	1/24	1/512	3/16	5/4	15/16	15/16	0.089410044817712198	0.08940836406642845	0.99998120176220495	1.0000203489214752	1.0000203489214752	4.4408920985006262e-16	2.2204460492503131e-16
33185	1,-1,-1,2,0	1/24	1/1024	1/16	17/16	39/64	39/64	0.089410044818287196	0.089409469137559025	0.99999356134168882	1.0000066109737902	1.0000066109737902	6.6613381477509392e-16	6.6613381477509392e-16
33187	1,-1,-1,2,0	1/24	1/1024	3/16	5/4	15/16	15/16	0.089410044818287196	0.089408364066999702	0.99998120176216321	1.0000203489215136	1.0000203489215136	9.9920072216264089e-16	1.4432899320127035e-15
33217	1,-1,-1,2,1	1/16	1/256	1/16	9/8	77/64	77/64	0.10529670686779852	0.10529286510593054	0.99996351489061475	1.0000370347035918	1.0000370347035918	1.5543122344752192e-15	1.3322676295501878e-15
33249	1,-1,-1,2,1	1/16	1/512	1/16	9/8	77/64	77/64	0.10529670686907258	0.10529286510716304	0.99996351489022051	1.0000370347039758	1.0000370347039758	8.8817841970012523e-16	1.7763568394002505e-15
33281	1,-1,-1,2,1	1/16	1/1024	1/16	9/8	77/64	77/64	0.10529670686970957	0.1052928651077791	0.999963514890022	1.0000370347041685	1.0000370347041685	7.7715611723760958e-16	3.3306690738754696e-16
33313	1,-1,-1,2,1	1/24	1/256	1/16	9/8	77/64	77/64	0.10529670687009715	0.10529286510815676	0.99996351488992785	1.0000370347042589	1.0000370347042589	8.8817841970012523e-16	1.5543122344752192e-15
33345	1,-1,-1,2,1	1/24	1/512	1/16	9/8	77/64	77/64	0.10529670687022193	0.10529286510827608	0.99996351488987611	1.0000370347043086	1.0000370347043086	5.5511151231257827e-16	6.6613381477509392e-16
33377	1,-1,-1,2,1	1/24	1/1024	1/16	9/8	77/64	77/64	0.10529670687028432	0.10529286510833581	0.9999635148898508	1.000037034704335	1.000037034704335	8.8817841970012523e-16	2.2204460492503131e-16
33409	1,-1,-1,2,2	1/16	1/256	1/16	9/8	109/64	109/64	0.13931106673832186	0.13930757512949035	0.99997493660113834	1.000026384822466	1.000026384822466	4.4408920985006262e-16	6.6613381477509392e-16
33441	1,-1,-1,2,2	1/16	1/512	1/16	9/8	109/64	109/64	0.13931106673413257	0.13930757512527633	0.99997493660096004	1.0000263848226363	1.0000263848226363	1.4432899320127035e-15	2.2204460492503131e-15
33473	1,-1,-1,2,2	1/16	1/1024	1/16	9/8	109/64	109/64	0.13931106673203775	0.13930757512316949	0.99997493660087344	1.0000263848227249	1.0000263848227249	9.9920072216264089e-16	2.4424906541753444e-15
33505	1,-1,-1,2,2	1/24	1/256	1/16	9/8	109/64	109/64	0.13931106673112459	0.13930757512224981	0.99997493660082648	1.00002638482277	1.00002638482277	4.4408920985006262e-16	1.9984014443252818e-15
33537	1,-1,-1,2,2	1/24	1/512	1/16	9/8	109/64	109/64	0.13931106673053381	0.13930757512165617	0.99997493660080583	1.000026384822791	1.000026384822791	4.4408920985006262e-16	8.8817841970012523e-16
33569	1,-1,-1,2,2	1/24	1/1024	1/16	9/8	109/64	109/64	0.1393110667302383	0.13930757512135941	0.99997493660079673	1.000026384822801	1.000026384822801	1.3322676295501878e-15	4.4408920985006262e-16
33601	1,-1,0,-2,-2	1/16	1/256	1/16	9/8	25/16	25/16	0.13497567242698133	0.13497658228553958	1.0000067409077642	0.99999448213583741	1.0000067409077642	1.1102230246251565e-15	1.2212453270876722e-15
33633	1,-1,0,-2,-2	1/16	1/512	1/16	9/8	25/16	25/16	0.1349756724272467	0.13497658228577386	1.0000067409075339	0.99999448213607778	1.0000067409075339	1.5543122344752192e-15	8.8817841970012523e-16
